the price of gas is high
the price of gas is high
Basic
List

0.6 0.6
432 388.8
Began 2465.687 347 572 -0.0300926 0.4732509
Stationary 2465.718 347 572 -0.0300926 0.4732509
Stationary 2465.749 347 572 -0.0300926 0.4732509
Moved 2465.779 347 565.7852 -0.0300926 0.4572664
Moved 2465.81 358.2918 551.4164 -0.003954122 0.4203096
Moved 2465.841 367.4395 528.3079 0.01722107 0.3608741
Moved 2465.872 372.0898 511.7307 0.02798557 0.3182372
Moved 2465.902 377.5306 494.4082 0.04058004 0.2736836
Moved 2465.933 384.9178 475.8857 0.05768021 0.2260435
Moved 2465.964 391.731 460.1725 0.0734513 0.1856289
Moved 2465.994 398.2665 448.6447 0.08857995 0.1559789
Moved 2466.025 402.2473 441.1291 0.09779453 0.1366488
Moved 2466.056 406.4613 434.308 0.1075493 0.119105
Moved 2466.087 410.9484 425.1548 0.1179361 0.09556267
Moved 2466.117 414.6683 416.6634 0.126547 0.07372268
Moved 2466.148 417.0445 412.911 0.1320474 0.06407145
Moved 2466.179 418.7825 407.435 0.1360706 0.04998705
Moved 2466.209 420 404.4984 0.1388889 0.04243403
Moved 2466.24 420 402.5 0.1388889 0.03729416
Moved 2466.271 421 400.5 0.1412037 0.03215016
Moved 2466.302 421 400 0.1412037 0.03086416
Moved 2466.333 409.4632 399 0.1144981 0.02829214
Moved 2466.363 392.2297 412.1216 0.07460584 0.06204122
Moved 2466.394 371.7248 436.9578 0.02714068 0.1259203
Moved 2466.425 354.3505 462.4743 -0.01307761 0.191549
Moved 2466.455 338.0128 482.3163 -0.05089631 0.2425829
Moved 2466.486 325.0836 498.2997 -0.08082503 0.2836925
Moved 2466.517 312.9491 510.0509 -0.1089141 0.3139168
Moved 2466.548 303.5593 519.4407 -0.1306497 0.3380677
Moved 2466.578 295.3928 527.6072 -0.1495538 0.359072
Moved 2466.609 287.8877 534.1123 -0.1669267 0.3758032
Moved 2466.64 281.3286 541.0071 -0.1821098 0.3935368
Moved 2466.67 276.9427 546.0573 -0.1922622 0.4065258
Ended 2466.701 275 548 -0.1967592 0.4115225
Candidates 2466.793 13 the there other they turkey where right tiger threw title figure tyler either
Began 2468.207 557 491 0.4560185 0.2649176
Stationary 2468.238 557 491 0.4560185 0.2649176
Stationary 2468.269 557 491 0.4560185 0.2649176
Moved 2468.299 545.7003 491 0.4298618 0.2649176
Moved 2468.33 538.1666 491 0.4124226 0.2649176
Moved 2468.361 528.0461 491 0.3889957 0.2649176
Moved 2468.392 515.1333 491 0.3591049 0.2649176
Moved 2468.422 501.4866 491 0.3275153 0.2649176
Moved 2468.453 472.99 500.6683 0.2615509 0.2897847
Moved 2468.484 450.5618 504.5548 0.2096337 0.2997808
Moved 2468.514 429.0542 508.278 0.1598476 0.3093568
Moved 2468.545 410.5894 510.5513 0.117105 0.315204
Moved 2468.576 391.072 512 0.07192592 0.31893
Moved 2468.607 373.0171 512 0.03013214 0.31893
Moved 2468.637 355.4057 512 -0.01063501 0.31893
Moved 2468.668 343.3176 512 -0.03861661 0.31893
Moved 2468.699 330.5668 512 -0.06813248 0.31893
Moved 2468.729 321.2709 512 -0.08965075 0.31893
Moved 2468.76 313.5488 512 -0.107526 0.31893
Moved 2468.791 305.944 507.2026 -0.1251297 0.3065909
Moved 2468.822 297.9266 505 -0.1436883 0.3009258
Moved 2468.853 292.9333 503.9667 -0.155247 0.2982681
Moved 2468.883 291.6136 504 -0.1583018 0.2983539
Moved 2468.914 291 502.8143 -0.1597222 0.2953041
Moved 2468.945 311.2751 497.1611 -0.112789 0.280764
Moved 2468.975 352.1654 489.7194 -0.01813566 0.261624
Moved 2469.006 393.6347 486.9666 0.07785808 0.2545437
