they might find your comment offensive
they might find your comment offensive
FixStart
List

0.6 0.6
432 388.8
Began 3564.508 362 402 0.004629592 0.03600815
Moved 3564.539 362 415.6555 0.004629592 0.07113017
Moved 3564.569 362 437.283 0.004629592 0.1267565
Moved 3564.6 350.356 457.3983 -0.02232417 0.1784934
Moved 3564.631 344 489 -0.03703703 0.2597736
Moved 3564.661 341 514.9191 -0.04398147 0.326438
Moved 3564.692 339 529.151 -0.04861111 0.3630426
Moved 3564.723 336.6243 538.5027 -0.05411034 0.3870954
Moved 3564.754 335.7351 543.5298 -0.05616878 0.4000252
Moved 3564.784 333.9698 547.0302 -0.06025513 0.4090282
Moved 3564.815 333 548 -0.06249999 0.4115225
Stationary 3564.846 333 548 -0.06249999 0.4115225
Moved 3564.876 352.7798 516.3303 -0.01671344 0.3300676
Moved 3564.907 370.3127 485.0934 0.02387206 0.2497257
Moved 3564.938 386.8975 458.6537 0.06226271 0.1817226
Moved 3564.969 396.7044 443.3547 0.08496394 0.1423731
Moved 3565 407.7705 424.5369 0.1105798 0.09397353
Moved 3565.03 413.8755 413.6867 0.1247119 0.06606659
Moved 3565.061 416.906 406.2819 0.131727 0.0470214
Moved 3565.092 408.8022 405 0.1129681 0.04372424
Moved 3565.122 375.3597 418.9335 0.03555486 0.07956135
Moved 3565.153 341.3133 442.1245 -0.04325629 0.1392089
Moved 3565.184 323.2614 455.2045 -0.08504316 0.1728511
Moved 3565.214 304.8994 470.8005 -0.1275476 0.2129641
Moved 3565.245 292.7083 487.4084 -0.1557679 0.2556799
Moved 3565.276 282.7883 502.0146 -0.1787308 0.2932475
Moved 3565.307 275.191 516.618 -0.1963172 0.3308076
Moved 3565.337 267.9614 532.0964 -0.2130522 0.3706183
Moved 3565.368 265.2323 540.3032 -0.2193697 0.3917261
Moved 3565.399 260.5776 552.2673 -0.2301445 0.422498
Moved 3565.429 259 559.7089 -0.2337963 0.4416379
Moved 3565.46 258 565.3448 -0.2361111 0.4561338
Moved 3565.491 258 571.4958 -0.2361111 0.4719541
Moved 3565.522 258 577.9558 -0.2361111 0.4885694
Moved 3565.552 289.7673 587.2064 -0.1625757 0.5123619
