the union will go on strike
the union will go on strike
FixStart
List

0.6 0.6
432 388.8
Began 3582.571 327 409 -0.07638887 0.05401234
Stationary 3582.601 327 409 -0.07638887 0.05401234
Moved 3582.632 327 425.2583 -0.07638887 0.09582888
Moved 3582.663 327 439.113 -0.07638887 0.1314633
Moved 3582.693 327 452.4841 -0.07638887 0.1658542
Moved 3582.724 327 466.9611 -0.07638887 0.2030893
Moved 3582.755 315.5679 484.0031 -0.1028521 0.2469214
Moved 3582.786 314.2115 498.3656 -0.1059919 0.283862
Moved 3582.816 309 509.5 -0.1180555 0.3124999
Moved 3582.847 305.4546 515.8181 -0.1262625 0.3287502
Moved 3582.878 302.9478 520.1044 -0.1320653 0.3397747
Moved 3582.908 301 522.5622 -0.1365741 0.3460961
Moved 3582.939 298.2838 525.7162 -0.1428616 0.3542082
Moved 3582.97 298 527 -0.1435185 0.3575102
Moved 3583 304.9289 515.7405 -0.1274793 0.3285505
Moved 3583.031 335.0028 477.4576 -0.0578638 0.2300863
Moved 3583.062 359.4979 443.2808 -0.001162291 0.1421831
Moved 3583.093 380.0042 417.1617 0.04630595 0.0750044
Moved 3583.124 390.5 402.5 0.0706019 0.03729416
Moved 3583.154 395.024 395.9521 0.08107394 0.02045278
Moved 3583.185 398 391.2076 0.08796295 0.008250067
Moved 3583.216 400 388.4483 0.09259263 0.001152925
Moved 3583.246 385.818 388 0.05976389 -3.924585E-08
Moved 3583.277 334.1858 433.4969 -0.0597551 0.1170187
Moved 3583.308 299.5 461 -0.1400463 0.1877571
Moved 3583.339 269.8599 486.5692 -0.2086576 0.2535214
Moved 3583.369 223.3069 526.8104 -0.3164192 0.3570225
Moved 3583.4 198.2605 546.353 -0.374397 0.4072863
Moved 3583.431 168 566 -0.4444444 0.4578188
Moved 3583.461 157.2336 571.8832 -0.4693667 0.4729506
Ended 3583.492 156 573 -0.4722222 0.4758229
Candidates 3583.677 13 the there he these threw e re where she tiger higher r huge
Began 3584.475 281 410 -0.1828704 0.05658428
Stationary 3584.506 281 410 -0.1828704 0.05658428
Moved 3584.537 285.0243 425.0243 -0.1735549 0.09522705
Moved 3584.567 297.778 449.0746 -0.1440324 0.1570849
Moved 3584.598 313.2673 477.4009 -0.1081776 0.2299405
Moved 3584.629 326.4448 499.408 -0.07767408 0.286543
Moved 3584.659 333.7082 513.1804 -0.06086067 0.3219658
Moved 3584.69 339.5145 524.0289 -0.04742021 0.3498686
Moved 3584.721 344.4286 535.7143 -0.03604501 0.3799235
Moved 3584.752 347.1775 541.355 -0.02968173 0.3944314
Moved 3584.782 347 543.5 -0.0300926 0.3999484
Moved 3584.813 347 544.1567 -0.0300926 0.4016376
Moved 3584.844 347 545.1671 -0.0300926 0.4042361
Stationary 3584.875 347 545 -0.0300926 0.4038065
Moved 3584.905 339.1981 525.981 -0.04815255 0.3548894
Moved 3584.936 337.8714 502.5574 -0.05122354 0.2946433
Moved 3584.967 338 441.8624 -0.05092591 0.1385348
Moved 3584.997 338 409.1878 -0.05092591 0.05449534
Moved 3585.028 338 386.2436 -0.05092591 -0.004517591
Moved 3585.059 346.7965 364.6277 -0.03056357 -0.06011406
Moved 3585.09 350.5613 348.1934 -0.02184883 -0.1023832
Moved 3585.12 354.6243 335.4393 -0.01244381 -0.135187
Moved 3585.151 357.8105 327.379 -0.005068332 -0.1559181
Moved 3585.182 360.5064 320.9872 0.001172125 -0.172358
Moved 3585.212 363.2692 313.1925 0.007567506 -0.1924062
Moved 3585.243 364 308.9738 0.009259283 -0.2032568
Moved 3585.274 365 305.6648 0.01157403 -0.2117676
Moved 3585.304 366 304 0.01388888 -0.2160494
Moved 3585.335 367.5 302.5 0.01736114 -0.2199075
Moved 3585.366 368.3596 303 0.01935095 -0.2186215
Moved 3585.397 369.2077 303 0.02131413 -0.2186215
Stationary 3585.427 369.2077 303 0.02131413 -0.2186215
Moved 3585.458 369 320.5491 0.02083332 -0.1734849
Moved 3585.489 369 334.796 0.02083332 -0.1368415
Moved 3585.52 369 358.7026 0.02083332 -0.07535346
Moved 3585.55 369 390.9319 0.02083332 0.007540816
Moved 3585.581 359.3717 419.7548 -0.001454453 0.08167368
Moved 3585.612 362 451.9587 0.004629592 0.1645028
Moved 3585.642 362 488.8118 0.004629592 0.2592896
Moved 3585.673 370.2959 509.7755 0.02383322 0.3132086
Moved 3585.704 373.0639 524.3193 0.03024042 0.3506155
Moved 3585.735 376.5119 535.0477 0.03822208 0.3782091
Moved 3585.765 380.5264 544.7896 0.04751484 0.4032654
Moved 3585.796 384.0743 550.0743 0.05572746 0.4168576
Moved 3585.827 390.4077 557.4077 0.07038821 0.4357193
Moved 3585.857 400.0145 563.6087 0.0926261 0.4516684
Moved 3585.888 446.5457 575.8864 0.2003373 0.4832468
Moved 3585.919 473.1097 579 0.2618281 0.4912551
Moved 3585.95 492.3763 579 0.3064267 0.4912551
Moved 3585.98 504.8423 579 0.3352832 0.4912551
Moved 3586.011 516.947 579 0.3633031 0.4912551
Moved 3586.042 523.5021 566.4937 0.3784772 0.4590885
