if you were not so stupid
if you were not so stupid
FixStart
Radial

0.6 0.6
432 388.8
Began 930.7137 315 361 -0.1041667 -0.06944452
Moved 930.7444 324.571 379.9608 -0.08201147 -0.02067715
Moved 930.7751 344.2189 410.2011 -0.0365303 0.05710154
Moved 930.8058 364.4993 439.0615 0.01041502 0.131331
Moved 930.8365 389.8574 471.1024 0.06911436 0.2137406
Moved 930.8674 402.9695 488.9619 0.09946644 0.2596755
Moved 930.8981 407.8634 499.5902 0.1107949 0.2870118
Moved 930.9288 410.4078 503.8157 0.1166848 0.2978798
Moved 930.9595 410 505 0.1157407 0.3009258
Moved 930.9902 387.3881 494.6812 0.06339828 0.2743856
Moved 931.021 345.6825 471.964 -0.03314247 0.2159567
Moved 931.0516 309.1367 450.2688 -0.1177391 0.1601563
Moved 931.0824 281.946 437.3784 -0.1806806 0.1270021
Moved 931.1131 266.6352 429.3176 -0.2161223 0.1062693
Moved 931.1439 250.9388 422.4694 -0.2524566 0.08865572
Moved 931.1746 239.1706 416.5853 -0.2796977 0.07352173
Moved 931.2048 230.819 413.4095 -0.29903 0.06535357
Moved 931.236 226.5388 410.5388 -0.3089379 0.05797013
Moved 931.2667 225 411 -0.3125 0.05915629
Ended 931.2974 223.5681 411 -0.3158145 0.05915629
Candidates 931.4203 13 is if us its it id his hits our ford toys this fits
Began 932.1884 284 393.6842 -0.1759259 0.01461979
Moved 932.2191 328.6705 463.1398 -0.07252206 0.1932608
Moved 932.2499 400.976 564.2797 0.09485185 0.4533942
Moved 932.2805 459.8979 623.9668 0.2312452 0.6069103
Ended 932.3112 499.0579 654.9026 0.3218932 0.6864777
Accept 932.3724 1 if
Began 932.6185 240 414 -0.2777777 0.06687239
Stationary 932.6492 240 414 -0.2777777 0.06687239
Moved 932.6799 256.1363 453.7271 -0.2404253 0.1690509
Moved 932.7106 270.5957 487.1915 -0.2069543 0.255122
Moved 932.7413 281.6049 514.1635 -0.1814702 0.3244943
Moved 932.7721 291.0518 542.1553 -0.1596024 0.3964899
Moved 932.8029 295.395 556.9747 -0.1495487 0.4346056
Moved 932.8336 298.9304 567.652 -0.1413648 0.4620677
Moved 932.8643 300.7826 573.7825 -0.1370774 0.4778357
Moved 932.895 305.957 580.957 -0.1250996 0.4962884
Moved 932.9257 323.6899 586.5271 -0.08405119 0.5106149
Moved 932.9564 361.0126 588 0.002343953 0.5144032
Moved 932.9871 407.594 579.2436 0.1101713 0.4918816
Moved 933.0179 429.2723 573.2911 0.1603526 0.4765716
Moved 933.0486 440 568 0.1851852 0.4629629
Moved 933.0793 444.2529 565.7471 0.19503 0.4571683
Moved 933.11 444 563.8657 0.1944444 0.4523293
Moved 933.1407 410.7867 564 0.1175619 0.4526748
Moved 933.1714 354.1402 575.54 -0.01356438 0.4823558
Moved 933.2022 301.1397 579 -0.1362507 0.4912551
Moved 933.233 282.185 579 -0.1801273 0.4912551
Ended 933.2636 275 579 -0.1967592 0.4912551
Candidates 933.3558 13 you your it got toy tour for hot i foot report out our
Began 934.001 177 466 -0.4236111 0.2006171
Moved 934.0316 212.2051 466 -0.3421178 0.2006171
Moved 934.0624 331.8065 473.5613 -0.06526282 0.2200649
Ended 934.0931 455 491 0.2199073 0.2649176
Accept 934.1545 0 you
Began 934.5233 316 459 -0.1018519 0.1826131
Stationary 934.554 316 459 -0.1018519 0.1826131
Stationary 934.5847 316 459 -0.1018519 0.1826131
Moved 934.6154 302.3199 468.2081 -0.1335187 0.2062965
Moved 934.6461 289.1556 475.9222 -0.1639917 0.2261372
Moved 934.6768 275.0959 484.5424 -0.1965372 0.2483087
Moved 934.7076 264.8374 492.1084 -0.2202839 0.2677684
Moved 934.7383 255.9042 499.3972 -0.2409624 0.2865153
Moved 934.769 247.6069 504.9287 -0.2601691 0.3007425
Moved 934.7997 235.6399 514.02 -0.2878705 0.3241254
Moved 934.8304 223.1695 520.4153 -0.3167373 0.3405742
Moved 934.8611 214.1435 528.1423 -0.3376307 0.3604483
Moved 934.8919 203.6668 536.7499 -0.3618823 0.382587
Moved 934.9226 194.6561 544.3439 -0.3827405 0.4021192
Moved 934.9533 188.0349 548.3217 -0.3980674 0.41235
Moved 934.9841 184.1346 551.8654 -0.4070957 0.4214643
Moved 935.0147 180.263 554 -0.4160579 0.4269547
Moved 935.0455 176.7829 556.6086 -0.4241137 0.4336639
Moved 935.0762 173.9046 560.1908 -0.4307764 0.4428775
Moved 935.1069 172 566.0027 -0.4351852 0.4578258
Moved 935.1377 178.1212 572.6234 -0.4210159 0.4748542
Moved 935.1684 199.4963 582.2489 -0.3715363 0.4996113
Moved 935.1991 225.7704 590.2568 -0.3107166 0.5202078
Moved 935.2298 242.9297 594.186 -0.270996 0.5303136
Moved 935.2606 250.0571 595 -0.2544975 0.5324073
Moved 935.2913 252.5 595 -0.2488426 0.5324073
Stationary 935.322 252.5 595 -0.2488426 0.5324073
Moved 935.3527 239.9384 598.3402 -0.2779204 0.5409985
Moved 935.3834 222.7222 602.213 -0.3177727 0.5509591
Moved 935.4141 213.1461 603.7135 -0.3399396 0.5548186
Moved 935.4449 205.8311 605.5844 -0.3568723 0.5596306
Moved 935.4756 202.5473 606 -0.3644737 0.5606995
Moved 935.5063 199.6694 608.3306 -0.3711357 0.5666938
Moved 935.537 198.6679 608 -0.3734539 0.5658435
Moved 935.5677 196.5 609 -0.3784722 0.5684156
Moved 935.5985 197 610.0905 -0.3773148 0.5712202
Moved 935.6293 196 611.056 -0.3796296 0.5737036
Moved 935.66 194.5 611 -0.3831018 0.5735595
Moved 935.6907 194 612.5 -0.3842593 0.5774176
Moved 935.7214 192.7506 612 -0.3871514 0.5761316
Moved 935.7521 193 613.3236 -0.3865741 0.5795358
Moved 935.7828 193 614.1946 -0.3865741 0.5817762
Moved 935.8135 193 615.0233 -0.3865741 0.5839076
Moved 935.8442 193 616.7034 -0.3865741 0.5882287
Moved 935.875 204.8032 618 -0.3592517 0.5915637
Moved 935.9057 204.3393 619 -0.3603256 0.5941358
Moved 935.9363 206.5 620 -0.3553241 0.5967077
Moved 935.9672 207.2097 620 -0.3536813 0.5967077
