he is just like everyone else
he is just like everyone else
Basic
Radial

0.6 0.6
432 388.8
Began 2071.742 426 330 0.1527777 -0.149177
Stationary 2071.772 426 330 0.1527777 -0.149177
Stationary 2071.803 426 330 0.1527777 -0.149177
Moved 2071.834 408.6919 338.6541 0.1127127 -0.1269186
Moved 2071.865 370.3695 367.9267 0.02400349 -0.05162886
Moved 2071.896 316.0686 424.2836 -0.101693 0.09332205
Moved 2071.926 288.8059 457.4135 -0.1648011 0.1785327
Moved 2071.957 270.2844 480.92 -0.207675 0.2389918
Moved 2071.988 261.9767 493.3722 -0.2269058 0.2710189
Moved 2072.018 255.9244 502.6135 -0.2409158 0.2947876
Moved 2072.049 251.5856 508.8289 -0.2509593 0.3107737
Moved 2072.08 250 512.9652 -0.2546296 0.3214125
Ended 2072.111 248.6001 515.7998 -0.2578702 0.3287031
Candidates 2072.233 13 new he be net ne meet me met her beer the news mer
Began 2073.032 303 466 -0.1319445 0.2006171
Stationary 2073.063 303 466 -0.1319445 0.2006171
Moved 2073.094 332.6382 510.5707 -0.06333759 0.3152538
Moved 2073.125 419.5696 616.8298 0.1378926 0.5885538
Ended 2073.155 499 689 0.3217593 0.7741769
Accept 2073.217 1 he
Began 2073.585 445 585 0.1967593 0.5066872
Stationary 2073.616 445 585 0.1967593 0.5066872
Moved 2073.647 433.9999 577.9999 0.171296 0.4886829
Moved 2073.677 409.4592 562.7959 0.1144889 0.4495778
Moved 2073.708 380.0059 544.6706 0.04630983 0.4029593
Moved 2073.739 351.6696 528.5435 -0.01928344 0.3614801
Moved 2073.77 323.747 507.9036 -0.08391888 0.308394
Moved 2073.801 305.678 496.1986 -0.1257453 0.2782885
Moved 2073.831 288.2357 484.7886 -0.166121 0.2489417
Moved 2073.862 273.8609 474.2887 -0.1993961 0.2219359
Moved 2073.893 259.5145 464.8116 -0.2326052 0.1975606
Moved 2073.923 250.5688 456.5688 -0.2533129 0.1763601
Moved 2073.954 240.8086 450.5391 -0.275906 0.1608514
Moved 2073.985 231.1745 442.783 -0.2982073 0.1409026
Moved 2074.016 222.5573 436.0382 -0.3181543 0.123555
Moved 2074.046 213.9415 428.9561 -0.3380983 0.1053397
Moved 2074.077 205.2194 419.3291 -0.3582884 0.08057892
Moved 2074.108 196.7278 411.7277 -0.377945 0.06102797
Moved 2074.138 189.4291 404.4291 -0.39484 0.04225597
