the five boxing wizards jump quickly
the five boxing wizards jump quickly
Basic
List

0.6 0.6
432 388.8
Began 2774.965 275 437 -0.1967592 0.1260288
Stationary 2774.996 275 437 -0.1967592 0.1260288
Moved 2775.027 292.4427 420.5573 -0.1563825 0.0837377
Moved 2775.058 316.4401 394.7332 -0.1008331 0.01731782
Moved 2775.088 335.3473 371.3159 -0.05706638 -0.04291197
Moved 2775.119 357.9007 339.1561 -0.004859517 -0.1256274
Moved 2775.15 374.6931 311.3524 0.0340118 -0.1971391
Moved 2775.181 388.4875 290.5174 0.0659434 -0.2507269
Moved 2775.211 392.9324 280.1351 0.07623246 -0.2774304
Moved 2775.242 396.7163 275.2837 0.08499146 -0.2899082
Moved 2775.273 397 273.9116 0.0856481 -0.2934374
Stationary 2775.303 397 274 0.0856481 -0.2932099
Moved 2775.334 382.9806 295.3592 0.05319585 -0.2382737
Moved 2775.365 360.26 324.9866 0.0006019076 -0.1620714
Moved 2775.396 339.849 349.3154 -0.04664585 -0.0994975
Moved 2775.427 321.2982 370.3734 -0.08958737 -0.04533587
Moved 2775.457 299.5895 395.7117 -0.139839 0.01983466
Moved 2775.488 282.7083 417.3403 -0.178916 0.07546358
Moved 2775.519 270.0249 435.7701 -0.2082758 0.1228656
Moved 2775.549 261.4613 448.8978 -0.2280989 0.1566301
Moved 2775.58 254.0307 460.954 -0.2452994 0.1876387
Moved 2775.611 248.531 471.2034 -0.25803 0.2140005
Moved 2775.642 244.5279 476.9443 -0.2672966 0.2287661
Moved 2775.672 241.1038 480.8962 -0.2752226 0.2389304
Moved 2775.703 240 483.6396 -0.2777777 0.2459865
Moved 2775.734 239 485 -0.2800926 0.2494856
Ended 2775.764 239 485 -0.2800926 0.2494856
Candidates 2775.857 13 ended andrew enter anne ever under and dna save denver eve tennessee answer
Began 2776.748 336 481 -0.05555556 0.2391974
Stationary 2776.779 336 481 -0.05555556 0.2391974
Moved 2776.81 314.0858 476.9667 -0.106283 0.2288236
Moved 2776.84 275.8289 463.384 -0.1948405 0.1938889
Moved 2776.871 244.2566 453.5641 -0.2679245 0.168632
Moved 2776.902 215.851 445.4553 -0.3336781 0.147776
Moved 2776.933 195.0662 439.4474 -0.3817913 0.1323236
Moved 2776.963 175.7933 433.9409 -0.4264045 0.1181608
Moved 2776.994 164.4075 430.363 -0.4527603 0.1089584
Moved 2777.025 151.139 427.8278 -0.4834745 0.1024378
Moved 2777.055 142.259 427 -0.50403 0.1003086
Moved 2777.086 134.6706 425 -0.5215959 0.09516452
Moved 2777.117 128.7937 422.8969 -0.5351998 0.08975519
Moved 2777.148 122.2637 423 -0.5503155 0.09002049
Moved 2777.178 116.7531 423 -0.5630715 0.09002049
Moved 2777.209 112.6223 422 -0.5726335 0.08744851
Moved 2777.24 109.2095 421.2095 -0.5805334 0.08541534
Moved 2777.271 106.4568 420.4568 -0.5869056 0.08347927
Moved 2777.301 103.6975 420 -0.5932928 0.08230445
Moved 2777.332 101.1771 419 -0.5991271 0.07973251
Moved 2777.363 98.46588 417.4659 -0.6054031 0.07578669
Ended 2777.394 95.70164 416 -0.6118017 0.07201634
Accept 2777.455 0 ended
Delete 2777.455 LeftSwipe
Began 2778.346 282 465 -0.1805555 0.1980452
Stationary 2778.377 282 465 -0.1805555 0.1980452
Stationary 2778.408 282 465 -0.1805555 0.1980452
Stationary 2778.439 282 465 -0.1805555 0.1980452
Stationary 2778.469 282 465 -0.1805555 0.1980452
Stationary 2778.5 282 465 -0.1805555 0.1980452
Moved 2778.531 292.4782 453.4739 -0.1563004 0.1684
Moved 2778.562 300.8996 445.1004 -0.1368065 0.1468631
Moved 2778.592 311.0134 437.24 -0.113395 0.126646
Moved 2778.623 319.9912 427.011 -0.092613 0.1003369
Moved 2778.654 331.9687 413.2892 -0.06488735 0.06504412
Moved 2778.685 341.4271 400.4305 -0.04299278 0.03197136
Moved 2778.715 354.6831 385.3803 -0.01230771 -0.006737925
Moved 2778.746 368.4382 367.1865 0.01953284 -0.05353276
Moved 2778.777 383.3033 347.7753 0.0539429 -0.1034585
Moved 2778.808 392.5285 338.3536 0.07529735 -0.1276913
Moved 2778.838 398.2907 330.7093 0.08863588 -0.1473526
Moved 2778.869 402.4036 326.1929 0.09815643 -0.158969
Moved 2778.9 404.0813 324.9187 0.1020401 -0.1622462
Moved 2778.93 405 324.3641 0.1041667 -0.1636726
Moved 2778.961 405 323.5 0.1041667 -0.1658951
Moved 2778.992 390.0824 344.2235 0.06963512 -0.1125938
