I want to hold your hand
I want to hold your hand
FixStart
Radial

0.6 0.6
432 388.8
Began 543.5609 440 273 0.1851852 -0.295782
Stationary 543.5916 440 273 0.1851852 -0.295782
Moved 543.6223 440 300.0804 0.1851852 -0.2261306
Moved 543.653 460.4244 341.8185 0.2324639 -0.1187795
Moved 543.6837 483.4731 383.7884 0.2858173 -0.0108324
Moved 543.7144 509.1199 414.9439 0.345185 0.06930013
Moved 543.7451 531.2898 441.8622 0.3965042 0.1385346
Moved 543.7758 547.5 462.5 0.4340278 0.1916151
Moved 543.8066 555.3685 472.5527 0.4522418 0.2174708
Moved 543.8373 560.0495 479.0991 0.4630775 0.2343082
Moved 543.868 562 482.8536 0.4675925 0.2439649
Moved 543.8987 563 484.3129 0.4699074 0.2477184
Moved 543.9294 565.3039 486 0.4752404 0.2520575
Ended 543.9601 565 487.5 0.474537 0.2559156
Candidates 544.0523 13 you I to up top yo u too go yup ii tip o
Began 544.7589 384 328 0.0555556 -0.1543211
Stationary 544.7896 384 328 0.0555556 -0.1543211
Moved 544.8203 404.1117 356.6675 0.1021103 -0.08058783
Moved 544.851 426.1248 399.2289 0.1530668 0.02888083
Moved 544.8817 440.3768 431.7536 0.1860574 0.1125349
Moved 544.9124 452.2657 460.3751 0.2135779 0.18615
Moved 544.9431 465.9204 492.4543 0.2451861 0.2686582
Moved 544.9738 471.1621 507.8107 0.2573198 0.3081549
Moved 545.0045 474.6841 517.3682 0.2654724 0.332737
Moved 545.0353 476 526.6667 0.2685185 0.3566531
Moved 545.066 478.426 536.7039 0.2741342 0.3824687
Moved 545.0967 479.9957 544.9827 0.2777678 0.4037621
Moved 545.1274 480.8642 551.7285 0.2797784 0.4211121
Moved 545.1581 481 556.7369 0.2800926 0.4339939
Moved 545.1888 481 559.6083 0.2800926 0.4413792
Moved 545.2195 481 561.5 0.2800926 0.4462448
Moved 545.2502 482.5 562 0.2835648 0.4475308
Ended 545.281 482.5 562 0.2835648 0.4475308
Accept 545.3731 1 I
Began 545.926 446 386 0.199074 -0.005144111
Stationary 545.9568 446 386 0.199074 -0.005144111
Moved 545.9874 427.7278 386 0.1567772 -0.005144111
Moved 546.0182 410.1032 397.9484 0.1159796 0.02558739
Moved 546.0489 393.9854 408.3431 0.07866989 0.05232265
Moved 546.0797 376.4866 418.108 0.03816346 0.07743827
Moved 546.1104 363.719 427.7108 0.008608798 0.1021367
Moved 546.141 352.6591 438.3409 -0.01699284 0.1294775
Moved 546.1718 343.0543 450.9276 -0.03922616 0.1618508
Moved 546.2025 334.4236 462.2941 -0.05920475 0.1910855
Moved 546.2332 327.8061 471.1939 -0.07452294 0.2139761
Moved 546.264 322.5018 478.7473 -0.0868013 0.2334033
Moved 546.2946 317.885 485.2299 -0.09748831 0.2500769
Moved 546.3254 314.0136 487.9864 -0.10645 0.2571665
Moved 546.3561 311.3415 489.6585 -0.1126354 0.2614673
Moved 546.3868 309.788 490 -0.1162315 0.2623456
Moved 546.4175 309 490 -0.1180555 0.2623456
Moved 546.4482 307.9443 490 -0.1204994 0.2623456
Moved 546.4789 305.292 470.5035 -0.1266389 0.2122002
Moved 546.5097 303.4283 445.8546 -0.130953 0.1488028
Moved 546.5405 303 417.5247 -0.1319445 0.07593779
Moved 546.5711 303 396.8898 -0.1319445 0.0228646
Moved 546.6019 311.6133 378.5468 -0.1120062 -0.02431375
Moved 546.6325 319.0519 362.2642 -0.09478733 -0.06619301
Moved 546.6633 330.2226 348.2217 -0.06892909 -0.1023106
Moved 546.694 341.3818 339.7709 -0.04309768 -0.124046
Moved 546.7247 355.7695 332.0768 -0.009792845 -0.1438354
Moved 546.7554 374.1888 325.1622 0.03284454 -0.1616198
Moved 546.7861 393.9717 320.2897 0.0786382 -0.174152
Moved 546.8168 414.0848 316.5367 0.1251963 -0.1838049
Moved 546.8476 431.4194 315 0.1653227 -0.1877573
Moved 546.8782 446.8117 313 0.200953 -0.1929013
