the five boxing wizards jump quickly
the five boxing wizards jump quickly
Basic
Radial

0.6 0.6
432 388.8
Began 1927.564 357 552 -0.006944438 0.4218106
Stationary 1927.595 357 552 -0.006944438 0.4218106
Stationary 1927.625 357 552 -0.006944438 0.4218106
Stationary 1927.656 357 552 -0.006944438 0.4218106
Moved 1927.687 357 564.5638 -0.006944438 0.454125
Moved 1927.717 357 569.3128 -0.006944438 0.4663394
Moved 1927.748 357 572.5256 -0.006944438 0.4746029
Moved 1927.779 357 575.3917 -0.006944438 0.4819745
Moved 1927.81 357 577.9438 -0.006944438 0.4885386
Moved 1927.84 349.1794 579.8207 -0.02504781 0.4933658
Moved 1927.871 347.7551 581.2449 -0.02834459 0.4970289
Moved 1927.902 345.9131 582 -0.03260851 0.4989711
Moved 1927.932 343.9615 584.0385 -0.03712619 0.5042142
Moved 1927.963 342.626 584 -0.04021749 0.5041152
Moved 1927.994 342 584 -0.04166668 0.5041152
Moved 1928.025 340.6743 584 -0.04473533 0.5041152
Moved 1928.055 339.9331 584 -0.04645114 0.5041152
Stationary 1928.086 340 584 -0.04629632 0.5041152
Moved 1928.117 340 564.689 -0.04629632 0.4544468
Moved 1928.147 354.6955 536.07 -0.012279 0.3808384
Moved 1928.178 372.8817 508.4716 0.02981882 0.3098548
Moved 1928.209 401.8096 478.9094 0.09678155 0.2338204
Moved 1928.24 419.2592 462.5232 0.1371741 0.1916748
Moved 1928.27 438.9734 445.6888 0.1828088 0.1483764
Moved 1928.301 451.166 434.3755 0.2110323 0.1192785
Moved 1928.332 463.0261 423.3791 0.2384864 0.09099556
Moved 1928.362 466.8957 417.1564 0.2474438 0.07499079
Moved 1928.393 469.821 414.179 0.2542153 0.06733266
Moved 1928.424 471.6921 410.6158 0.2585466 0.05816805
Moved 1928.454 472 408.8411 0.2592593 0.05360368
Moved 1928.485 461.5412 409 0.2350491 0.05401234
Moved 1928.516 433.4673 437.6729 0.1700633 0.1277593
Moved 1928.547 407.1378 460.0248 0.1091152 0.1852489
Moved 1928.577 389.2023 471.5987 0.06759802 0.2150172
Moved 1928.608 374.6255 484.0995 0.03385544 0.2471695
Moved 1928.639 360.2864 495.5709 0.000662903 0.2766741
Moved 1928.669 347.1725 505.2965 -0.02969339 0.3016885
Moved 1928.7 335.2245 513.6653 -0.05735065 0.3232131
Moved 1928.731 325.7598 519.8268 -0.07925983 0.3390608
Moved 1928.762 317.1339 524.5775 -0.09922718 0.3512793
Moved 1928.792 309.6282 528.5812 -0.1166014 0.361577
Moved 1928.823 302.6632 532.6684 -0.1327241 0.3720894
Moved 1928.854 295.9218 536.5391 -0.148329 0.3820449
Moved 1928.885 292.5859 538.4141 -0.1560511 0.3868674
Ended 1928.915 291.606 539.394 -0.1583193 0.3893878
Candidates 1929.038 13 title the rule turkey outlet right your role tyler yellow style other error
Began 1929.898 376 369 0.03703703 -0.04886839
Moved 1929.929 376 384.0882 0.03703703 -0.01006122
Moved 1929.959 404.1576 447.2098 0.1022166 0.1522884
Moved 1929.99 426.5 508 0.1539352 0.3086419
Moved 1930.021 455.9315 562.2836 0.2220637 0.4482601
Moved 1930.052 477.4762 596.8163 0.2719357 0.537079
Moved 1930.082 500.5142 627.332 0.3252644 0.6155658
Moved 1930.113 527.0853 660.0975 0.3867715 0.6998392
Moved 1930.144 562.9348 696.9348 0.4697563 0.794585
Moved 1930.174 608.1079 732.1516 0.5743238 0.8851636
Moved 1930.205 644.0648 749.3803 0.6575575 0.929476
Ended 1930.236 659.9818 753.5284 0.6944022 0.9401451
Accept 1930.297 1 the
Began 1930.758 362 411 0.004629592 0.05915629
Stationary 1930.789 362 411 0.004629592 0.05915629
Stationary 1930.819 362 411 0.004629592 0.05915629
Stationary 1930.85 362 411 0.004629592 0.05915629
Stationary 1930.881 362 411 0.004629592 0.05915629
Moved 1930.911 352.273 411 -0.01788656 0.05915629
Moved 1930.942 348.7972 411 -0.02593244 0.05915629
Moved 1930.973 344.8873 411 -0.03498311 0.05915629
Moved 1931.004 339.9422 411 -0.04643008 0.05915629
Moved 1931.034 334.1031 411 -0.05994662 0.05915629
Moved 1931.065 329.4696 411 -0.07067224 0.05915629
Moved 1931.096 326.7109 411 -0.07705817 0.05915629
Moved 1931.126 323.8383 411 -0.08370768 0.05915629
Moved 1931.157 321.5 411 -0.08912037 0.05915629
Moved 1931.188 319.5 411 -0.09375001 0.05915629
Moved 1931.219 319 411 -0.09490739 0.05915629
Moved 1931.249 318 411 -0.09722222 0.05915629
Stationary 1931.28 318 411 -0.09722222 0.05915629
