I can play much better now
I can play much better now
Basic
Radial

0.6 0.6
432 388.8
Began 1519.836 457 569 0.2245371 0.4655349
Stationary 1519.867 457 569 0.2245371 0.4655349
Stationary 1519.898 457 569 0.2245371 0.4655349
Stationary 1519.929 457 569 0.2245371 0.4655349
Stationary 1519.959 457 569 0.2245371 0.4655349
Ended 1519.99 457 569 0.2245371 0.4655349
Candidates 1520.051 6 I u o y p t
Began 1521.28 379 421 0.04398147 0.08487643
Stationary 1521.311 379 421 0.04398147 0.08487643
Stationary 1521.341 379 421 0.04398147 0.08487643
Stationary 1521.372 379 421 0.04398147 0.08487643
Moved 1521.403 404.047 421 0.1019607 0.08487643
Moved 1521.433 429.5799 421 0.1610647 0.08487643
Moved 1521.464 445.7747 421 0.1985526 0.08487643
Moved 1521.495 456.289 428 0.2228912 0.1028806
Ended 1521.525 459 428 0.2291666 0.1028806
Accept 1521.587 0 I
Began 1522.324 324 292 -0.08333336 -0.2469136
Stationary 1522.355 324 292 -0.08333336 -0.2469136
Stationary 1522.385 324 292 -0.08333336 -0.2469136
Stationary 1522.416 324 292 -0.08333336 -0.2469136
Stationary 1522.447 324 292 -0.08333336 -0.2469136
Stationary 1522.477 324 292 -0.08333336 -0.2469136
Moved 1522.508 316.914 301.1105 -0.09973611 -0.2234811
Moved 1522.539 308.7455 310.2545 -0.1186447 -0.1999627
Moved 1522.57 294.4044 330.8934 -0.1518417 -0.146879
Moved 1522.6 269.9366 361.9664 -0.2084802 -0.06695877
Moved 1522.631 236.7889 401.5322 -0.2852109 0.03480499
Moved 1522.662 221.6481 416.3519 -0.3202591 0.07292154
Moved 1522.692 214.0936 424.2709 -0.3377462 0.09328936
Moved 1522.723 208 431.5 -0.3518518 0.1118827
Moved 1522.754 204.6227 435.7545 -0.3596696 0.1228253
Moved 1522.784 203 437 -0.3634259 0.1260288
Moved 1522.815 201.2333 439 -0.3675156 0.1311728
Moved 1522.846 201 440.2009 -0.3680556 0.1342616
Moved 1522.877 200 442.5 -0.3703704 0.1401748
Moved 1522.907 200 443.0324 -0.3703704 0.1415442
Moved 1522.938 200 443.9443 -0.3703704 0.1438897
Moved 1522.969 206.5983 444 -0.3550966 0.1440329
Moved 1523 239.5 414 -0.2789352 0.06687239
Moved 1523.03 293.4688 371.7625 -0.1540075 -0.04176324
Moved 1523.061 317.9239 348.0761 -0.09739841 -0.102685
Moved 1523.092 340.8215 327.2008 -0.04439458 -0.1563765
Moved 1523.122 353.4122 315.5878 -0.01524945 -0.1862455
Moved 1523.153 372.1584 300.2013 0.02814452 -0.2258197
Moved 1523.184 381.9518 292.2861 0.05081444 -0.2461776
Moved 1523.214 386.2184 288.7816 0.06069074 -0.2551913
Ended 1523.245 387.1694 289 0.06289224 -0.2546296
Candidates 1523.368 13 can van fan cash ban cream march jan mean csn beach bag been
Began 1524.105 386 419 0.06018519 0.07973251
Stationary 1524.136 386 419 0.06018519 0.07973251
Moved 1524.166 408.6214 419 0.1125495 0.07973251
Moved 1524.197 428.8122 419 0.1592875 0.07973251
Moved 1524.228 444.176 419 0.1948519 0.07973251
Moved 1524.259 453.1212 419 0.2155583 0.07973251
Moved 1524.289 460.718 419 0.2331437 0.07973251
Ended 1524.32 462 419 0.2361111 0.07973251
Accept 1524.381 0 can
Began 1524.965 617 563 0.5949074 0.4501028
Stationary 1524.995 617 563 0.5949074 0.4501028
Stationary 1525.026 617 563 0.5949074 0.4501028
Moved 1525.057 603.2062 563 0.5629774 0.4501028
Moved 1525.088 583.7984 556.2896 0.5180519 0.4328435
Moved 1525.118 535.7723 543.3083 0.4068803 0.3994555
Moved 1525.149 412.4012 508.0884 0.1212992 0.3088692
Moved 1525.18 348.9124 487.9708 -0.02566571 0.2571265
Moved 1525.21 317.8978 477.9659 -0.09745871 0.2313937
Moved 1525.241 286.7279 467.4911 -0.1696114 0.2044525
Moved 1525.272 263 457 -0.2245371 0.1774691
