the five boxing wizards jump quickly
the five boxing wizards jump quickly
FixStart
List

0.6 0.6
432 388.8
Began 1304.973 473 321 0.2615741 -0.1723252
Stationary 1305.003 473 321 0.2615741 -0.1723252
Moved 1305.034 462.7473 358.3604 0.2378409 -0.07623358
Moved 1305.065 450.3797 403.9572 0.2092122 0.04104214
Moved 1305.096 438.8638 442.4767 0.1825551 0.1401149
Moved 1305.126 429.2943 468.117 0.1604035 0.2060621
Moved 1305.157 426 479.5496 0.1527777 0.2354671
Moved 1305.188 425 483.5 0.150463 0.2456274
Moved 1305.219 425 484 0.150463 0.2469135
Moved 1305.249 462.6325 448.3042 0.2375753 0.1551034
Moved 1305.28 485.5855 409.6513 0.2907073 0.05568743
Moved 1305.311 498.6921 386.9542 0.3210467 -0.002689989
Moved 1305.341 510.0068 360.6507 0.3472381 -0.07034286
Moved 1305.372 515.4071 347.3893 0.3597387 -0.1044513
Moved 1305.403 517 338.847 0.3634259 -0.1264224
Moved 1305.433 517 336.3607 0.3634259 -0.1328172
Moved 1305.464 487.3043 343.1826 0.2946859 -0.1152711
Moved 1305.495 436.1538 376.1838 0.1762819 -0.03039152
Moved 1305.526 401.6695 398.5983 0.09645721 0.0272588
Moved 1305.556 381.0787 412.3528 0.04879326 0.06263572
Moved 1305.587 372.03 419.3133 0.02784729 0.08053818
Moved 1305.618 365.4702 424.5298 0.01266241 0.09395524
Moved 1305.649 360.9264 429.0736 0.002144377 0.1056419
Moved 1305.679 354.1813 434.8187 -0.01346926 0.1204184
Moved 1305.71 348.4376 443.3436 -0.02676477 0.1423445
Moved 1305.741 344.5 449 -0.03587961 0.156893
Moved 1305.771 342 453.1911 -0.04166668 0.1676725
Moved 1305.802 341 456.0724 -0.04398147 0.1750832
Ended 1305.833 341 456 -0.04398147 0.174897
Candidates 1305.956 13 the there further where tiger trigger either other true threw roger ride huge
Began 1306.263 416 337 0.1296297 -0.1311728
Stationary 1306.294 416 337 0.1296297 -0.1311728
Stationary 1306.325 416 337 0.1296297 -0.1311728
Stationary 1306.355 416 337 0.1296297 -0.1311728
Moved 1306.386 426.4729 350.9639 0.1538725 -0.09525762
Moved 1306.417 448.7617 369.6664 0.2054668 -0.04715429
Moved 1306.448 473.6733 392.6733 0.2631326 0.01201963
Moved 1306.478 493.0367 411.1973 0.3079554 0.05966374
Moved 1306.509 507.4526 422.6351 0.3413255 0.08908189
Moved 1306.54 521.0846 433.8135 0.372881 0.1178329
Moved 1306.57 532.6053 444.454 0.3995494 0.1452006
Moved 1306.601 539.5276 451.5276 0.4155732 0.163394
Moved 1306.632 544.5557 456.1115 0.4272123 0.1751837
Moved 1306.663 547.4323 460.4323 0.4338709 0.1862968
Moved 1306.693 549.2983 463.2983 0.4381905 0.1936683
Moved 1306.724 549 465.7974 0.4375 0.200096
Moved 1306.755 549 467.3326 0.4375 0.2040446
Moved 1306.786 549 468.0572 0.4375 0.2059083
Moved 1306.816 549 469.3718 0.4375 0.2092896
Moved 1306.847 549 470.1733 0.4375 0.2113509
Stationary 1306.878 549 470 0.4375 0.2109053
Moved 1306.908 541.2853 470 0.4196418 0.2109053
Moved 1306.939 535.4908 470 0.4062287 0.2109053
Moved 1306.97 517.2531 447.3598 0.3640118 0.1526743
Moved 1307.001 497.0995 427.0995 0.3173599 0.1005645
Moved 1307.031 475.2052 402.3559 0.2666787 0.03692352
Moved 1307.062 446.5747 373.992 0.2004043 -0.03602887
Moved 1307.093 429.2867 350.7156 0.1603859 -0.09589607
Moved 1307.124 412.1763 331.0115 0.1207784 -0.1465753
Moved 1307.154 399.1293 315.3552 0.0905771 -0.1868438
Moved 1307.185 388.297 300.1617 0.06550243 -0.2259217
Moved 1307.216 381.1045 288.209 0.04885306 -0.256664
Moved 1307.246 377.3742 279.0613 0.04021803 -0.2801923
Moved 1307.277 376.18 273.3599 0.03745357 -0.2948562
Moved 1307.308 375 267.6188 0.03472219 -0.3096225
Moved 1307.339 375 260.8758 0.03472219 -0.3269656
Moved 1307.369 375 256.5625 0.03472219 -0.3380594
Moved 1307.4 375 254.0212 0.03472219 -0.3445957
Stationary 1307.431 375 254 0.03472219 -0.3446502
Stationary 1307.462 375 254 0.03472219 -0.3446502
Moved 1307.492 362.0912 279.6359 0.004840593 -0.2787143
Moved 1307.523 346.4153 307.0524 -0.03144602 -0.2081985
Moved 1307.554 333.0295 334.9263 -0.06243174 -0.1365066
Moved 1307.584 322.4073 359.0495 -0.08702005 -0.07446124
Moved 1307.615 313.6698 386.434 -0.1072457 -0.004027999
Moved 1307.646 309.7019 405.4904 -0.1164307 0.04498537
Moved 1307.677 304.8216 428.2491 -0.1277279 0.1035213
Moved 1307.707 302.2171 444.9145 -0.1337567 0.1463849
Moved 1307.738 302 456.3586 -0.1342593 0.1758193
Moved 1307.769 301 464.9271 -0.1365741 0.1978578
Moved 1307.8 301 471.6692 -0.1365741 0.2151984
Moved 1307.83 300 475.8384 -0.1388889 0.2259218
Moved 1307.861 300 478.5 -0.1388889 0.2327674
Moved 1307.892 300 478 -0.1388889 0.2314814
Ended 1307.922 300 478 -0.1388889 0.2314814
Accept 1308.015 0 the
Candidates 1308.015 13 ice five offer juice over guide house office higher offset give founder past
Began 1308.844 478 386 0.2731481 -0.005144111
Stationary 1308.875 478 386 0.2731481 -0.005144111
Moved 1308.906 478 405.1129 0.2731481 0.04401446
Moved 1308.937 487.0916 429.8247 0.2941936 0.1075738
Moved 1308.967 488.6373 448.4614 0.2977716 0.1555076
Moved 1308.998 489 468.566 0.2986111 0.2072171
Moved 1309.029 489 485.2975 0.2986111 0.2502506
Moved 1309.059 489 497.0561 0.2986111 0.280494
Moved 1309.09 481 506.0975 0.2800926 0.3037487
Moved 1309.121 479 514.9404 0.275463 0.3264928
Moved 1309.152 477 523.0455 0.2708333 0.3473391
Moved 1309.182 476 528.1467 0.2685185 0.3604597
Moved 1309.213 474.0394 533.9213 0.26398 0.3753118
Moved 1309.244 472.1649 539.6703 0.2596409 0.3900984
Moved 1309.274 470.2913 543.4175 0.2553039 0.3997362
Moved 1309.305 467.7517 547.4965 0.2494254 0.4102276
Moved 1309.336 464.8819 552.118 0.2427822 0.4221142
Moved 1309.367 462.0186 557.9628 0.2361542 0.4371469
Moved 1309.397 458.3744 561.6256 0.2277185 0.4465678
Moved 1309.428 454.6419 566.7162 0.2190785 0.4596609
Moved 1309.459 448.5367 572.4633 0.2049462 0.4744424
Moved 1309.49 443.7922 577.2078 0.1939636 0.4866454
Moved 1309.52 440.6939 582.3061 0.1867914 0.4997584
Moved 1309.551 437.475 587.05 0.1793403 0.5119597
Moved 1309.582 434.6022 592.7957 0.1726903 0.5267376
Moved 1309.613 432.7307 597.5387 0.168358 0.5389369
Moved 1309.643 431 601.5793 0.1643519 0.5493295
Moved 1309.674 429.3392 604 0.1605075 0.5555555
Moved 1309.705 427.5 606.5 0.15625 0.5619856
Moved 1309.735 426.921 608.079 0.1549097 0.5660467
Moved 1309.766 427 609.374 0.1550926 0.5693774
Moved 1309.797 426 610.5 0.1527777 0.5722736
Moved 1309.828 426 611 0.1527777 0.5735595
Stationary 1309.858 426 611 0.1527777 0.5735595
Moved 1309.889 424.7928 611 0.1499833 0.5735595
Stationary 1309.92 425 611 0.150463 0.5735595
Ended 1309.95 425 611 0.150463 0.5735595
Accept 1310.012 1 five
Began 1310.104 486 437 0.2916667 0.1260288
Stationary 1310.135 486 437 0.2916667 0.1260288
Stationary 1310.166 486 437 0.2916667 0.1260288
Moved 1310.196 475.3026 402.3618 0.2669042 0.03693863
Moved 1310.227 468.9509 377.8036 0.2522013 -0.02622526
Moved 1310.258 465.7688 350.9196 0.2448352 -0.09537151
Moved 1310.288 462.9104 332.4623 0.2382185 -0.1428438
Moved 1310.319 461.2739 317.8216 0.2344302 -0.1805001
Moved 1310.35 460 307.9728 0.2314815 -0.2058312
Moved 1310.381 459 302.2258 0.2291666 -0.2206128
Moved 1310.411 458 296.7421 0.2268519 -0.2347167
Moved 1310.442 457 292.44 0.2245371 -0.245782
Moved 1310.473 456 287.3466 0.2222222 -0.2588823
Moved 1310.504 456 284.8351 0.2222222 -0.2653418
Moved 1310.534 456 282.62 0.2222222 -0.2710392
Stationary 1310.565 456 282.62 0.2222222 -0.2710392
Moved 1310.596 472.9041 307.9908 0.2613522 -0.2057849
Moved 1310.626 494.5604 346.7307 0.3114823 -0.1061455
Moved 1310.657 512.2115 379.5962 0.3523415 -0.02161481
Moved 1310.688 528.502 405.9034 0.3900508 0.04604787
Moved 1310.719 542.8797 426.8315 0.4233326 0.09987532
Moved 1310.749 554.4095 444.262 0.4500221 0.1447067
Moved 1310.78 562.3809 455.7261 0.4684742 0.1741925
Moved 1310.811 569.4681 464.7022 0.4848799 0.1972793
Moved 1310.842 573.0938 470.0938 0.4932726 0.2111464
Moved 1310.872 574.7355 473 0.4970728 0.2186213
Moved 1310.903 575 475.5196 0.4976852 0.2251018
Moved 1310.934 575 477.5 0.4976852 0.2301954
Moved 1310.964 575 478 0.4976852 0.2314814
Moved 1310.995 562.2816 478 0.4682444 0.2314814
Moved 1311.026 537.1026 462.3932 0.4099598 0.1913404
Moved 1311.057 500.5091 438.6932 0.3252526 0.1303836
Moved 1311.087 452.4226 402.067 0.2139413 0.03618036
Moved 1311.118 421.2521 374.2521 0.1417872 -0.03535996
Moved 1311.149 397.0092 352.0092 0.08566946 -0.09256896
Moved 1311.18 382.0832 335.354 0.05111853 -0.1354064
Moved 1311.21 372.2038 323.0048 0.02824952 -0.1671689
Moved 1311.241 364.7349 312.7349 0.0109603 -0.1935832
Moved 1311.272 362 307.9946 0.004629592 -0.2057753
Moved 1311.302 360.1198 307 0.0002773603 -0.2083334
Stationary 1311.333 360 307 0 -0.2083334
Moved 1311.364 360 318.254 0 -0.1793879
Moved 1311.395 392.474 350.5925 0.07517119 -0.09621286
Moved 1311.425 401.2691 360.269 0.09553024 -0.07132448
Moved 1311.456 429.3745 391.912 0.1605892 0.0100617
Moved 1311.487 453.2019 421.4027 0.2157452 0.08591224
Moved 1311.518 475.9382 447.2151 0.2683756 0.1523023
Moved 1311.548 491.7987 465.7987 0.3050897 0.2000995
Moved 1311.579 505.3384 480.6708 0.3364315 0.2383507
Moved 1311.61 516.6298 493.173 0.3625689 0.2705066
Moved 1311.641 526.2155 502.2155 0.3847581 0.2937641
Moved 1311.671 533.9477 509.9477 0.4026567 0.3136514
Moved 1311.702 543.4202 517.5652 0.4245839 0.3332437
Moved 1311.733 550.4541 522.7271 0.440866 0.3465201
Moved 1311.763 553.1994 525 0.4472208 0.3523662
Moved 1311.794 555 527 0.4513889 0.3575102
Moved 1311.825 555 528 0.4513889 0.3600822
Stationary 1311.856 555 528 0.4513889 0.3600822
Moved 1311.886 555 518.2215 0.4513889 0.3349318
Moved 1311.917 555 490.6834 0.4513889 0.2641033
Moved 1311.948 540.5566 444.1921 0.4179552 0.144527
Moved 1311.979 536.4523 403.7137 0.4084544 0.04041581
Moved 1312.009 532.4305 365.3046 0.3991446 -0.0583731
Moved 1312.04 529.567 337.6703 0.3925163 -0.1294487
Moved 1312.071 526.6931 318.8519 0.3858637 -0.17785
Moved 1312.101 525.1706 309.5118 0.3823394 -0.201873
Moved 1312.132 524.3029 303.6058 0.3803308 -0.2170632
Moved 1312.163 523 298.8647 0.3773148 -0.2292576
Moved 1312.194 520.5601 295.5601 0.3716668 -0.237757
Moved 1312.224 512.9509 296 0.354053 -0.2366256
Moved 1312.255 499.4609 308.5391 0.3228261 -0.2043747
Moved 1312.286 485.2248 327.2853 0.2898722 -0.1561593
