the bathroom is good for reading
the bathroom is good for reading
Basic
List

0.6 0.6
432 388.8
Began 3024.102 303 504 -0.1319445 0.2983539
Stationary 3024.133 303 504 -0.1319445 0.2983539
Stationary 3024.164 303 504 -0.1319445 0.2983539
Stationary 3024.195 303 504 -0.1319445 0.2983539
Moved 3024.225 315.0381 497.9238 -0.1040784 0.2827257
Moved 3024.256 326.6291 487.3709 -0.07724747 0.2555835
Moved 3024.287 341.4427 473.5574 -0.04295682 0.2200548
Moved 3024.317 361.9346 457.4523 0.004478196 0.1786324
Moved 3024.348 380.7502 440.7081 0.048033 0.1355661
Moved 3024.379 398.2208 422.7792 0.08847406 0.08945272
Moved 3024.41 411.8104 405.2275 0.1199315 0.04430928
Moved 3024.44 424.0556 391.9443 0.1482769 0.01014486
Moved 3024.471 435.6686 378.3314 0.1751589 -0.0248679
Moved 3024.502 444.7464 364.3381 0.1961722 -0.0608587
Moved 3024.533 451 354.5 0.2106482 -0.08616254
Moved 3024.563 458.1848 343.6305 0.2272796 -0.1141192
Moved 3024.594 462.8471 337.4586 0.2380721 -0.1299933
Moved 3024.625 467.6008 331.7984 0.2490759 -0.1445515
Moved 3024.656 470.0499 328.9501 0.2547452 -0.1518775
Moved 3024.686 471 328 0.2569444 -0.1543211
Stationary 3024.717 471 328 0.2569444 -0.1543211
Moved 3024.748 456.6263 349.0605 0.2236721 -0.1001531
Moved 3024.779 438.6337 367.3663 0.1820225 -0.05307036
Moved 3024.809 417.2459 388.7542 0.1325136 0.001939687
Moved 3024.84 393.5045 406.6637 0.07755657 0.04800329
Moved 3024.871 374.7148 422.2377 0.03406207 0.08805977
Moved 3024.902 356.9052 433.7299 -0.007163981 0.1176181
Moved 3024.932 338.6641 442.4453 -0.04938875 0.1400341
Moved 3024.963 322.2269 450.8865 -0.08743767 0.1617451
Moved 3024.994 307.5 458 -0.1215278 0.180041
Moved 3025.024 292.2036 464.1593 -0.1569362 0.1958829
Moved 3025.055 279.2967 469.9258 -0.1868133 0.2107145
Moved 3025.086 268.919 475.3873 -0.2108356 0.2247616
Moved 3025.117 260.7458 479.0847 -0.2297551 0.2342713
Moved 3025.147 254.2457 483.7543 -0.2448017 0.2462817
Moved 3025.178 247.7305 487.2695 -0.2598832 0.2553228
Moved 3025.209 240.7942 490.4019 -0.2759394 0.2633793
Moved 3025.24 235.2552 492.8724 -0.2887611 0.2697335
Moved 3025.271 231.3673 495 -0.2977608 0.2752057
Moved 3025.301 228.5975 497.4025 -0.3041725 0.281385
Moved 3025.332 226.8309 498 -0.3082617 0.2829217
Moved 3025.363 227 501.1956 -0.3078704 0.2911409
Ended 3025.393 227 502 -0.3078704 0.2932098
Candidates 3025.547 13 the there time else this enter summer she where home june thus winter
Began 3026.438 430 287 0.162037 -0.2597736
Stationary 3026.469 430 287 0.162037 -0.2597736
Stationary 3026.5 430 287 0.162037 -0.2597736
Moved 3026.531 416.8417 278.9604 0.131578 -0.2804516
Moved 3026.562 401.0608 279 0.09504815 -0.2803498
Moved 3026.592 382.8795 289.6808 0.0529617 -0.2528787
Moved 3026.623 361.4749 297.8219 0.003414055 -0.2319396
