why do you ask silly questions
why do you ask silly questions
Basic
Radial

0.6 0.6
432 388.8
Began 1619.233 162 571 -0.4583334 0.4706789
Stationary 1619.264 162 571 -0.4583334 0.4706789
Moved 1619.295 174.1104 562.1924 -0.4303 0.4480258
Moved 1619.325 187.632 547.6417 -0.3990001 0.4106009
Moved 1619.356 204.3407 525.489 -0.3603225 0.3536239
Moved 1619.387 217.7885 509.0538 -0.3291933 0.3113522
Moved 1619.418 228.7505 497.2495 -0.3038183 0.2809915
Moved 1619.448 236.9868 491.2599 -0.2847527 0.265586
Moved 1619.479 250.4554 484.7267 -0.2535756 0.2487827
Moved 1619.51 266.9979 480.2863 -0.2152826 0.2373619
Moved 1619.54 285.744 475.752 -0.1718888 0.2256994
Moved 1619.571 303.5972 470.801 -0.130562 0.2129653
Moved 1619.602 324.6302 462.6849 -0.08187448 0.1920906
Moved 1619.633 351.7937 448.5238 -0.01899605 0.1556681
Moved 1619.663 370.3023 433.6976 0.02384802 0.117535
Moved 1619.694 378.2706 423.9725 0.04229308 0.09252191
Moved 1619.725 385.5 402 0.05902777 0.03600815
Moved 1619.755 386 376.085 0.06018519 -0.0306456
Moved 1619.786 387 363.4238 0.06250004 -0.06321055
Moved 1619.817 387 358.5038 0.06250004 -0.07586475
Moved 1619.848 387 372.8385 0.06250004 -0.03899562
Moved 1619.878 364.9143 448.4141 0.01137574 0.1553859
Moved 1619.909 353.3143 497.7313 -0.0154761 0.2822305
Moved 1619.94 333.6221 535.5589 -0.06105989 0.3795238
Moved 1619.971 322.3397 557.4565 -0.08717667 0.4358447
Moved 1620.001 311.2321 572.46 -0.1128888 0.4744339
Ended 1620.032 297.3076 590.952 -0.1451213 0.5219958
Candidates 1620.124 13 why where white the weather enter arthur degree she what weight write winter
Began 1620.8 451.08 263 0.2108334 -0.3215021
Moved 1620.831 549.5718 263 0.4388237 -0.3215021
Ended 1620.862 589.6702 243.6429 0.5316439 -0.3712888
Accept 1620.923 0 why
Began 1621.476 306 308 -0.125 -0.2057614
Moved 1621.507 316.0703 308 -0.101689 -0.2057614
Moved 1621.537 352.9011 339.0397 -0.01643265 -0.1259268
Moved 1621.568 388 363.5 0.06481478 -0.06301456
Moved 1621.599 405.8895 377.8895 0.1062257 -0.02600438
Moved 1621.63 422.4467 390.7056 0.1445527 0.006958879
Moved 1621.66 439 403 0.1828703 0.03858017
Moved 1621.691 450.7102 412.8261 0.2099773 0.06385312
Moved 1621.722 466.0171 424.678 0.2454099 0.09433644
Moved 1621.753 478.7197 435.7197 0.2748142 0.1227358
Moved 1621.783 496.173 448.9775 0.3152154 0.1568352
Moved 1621.814 512.0716 460.0477 0.3520176 0.1853078
Moved 1621.845 537.4687 474.168 0.4108071 0.2216254
Moved 1621.875 560.6794 485.7464 0.4645357 0.2514052
Moved 1621.906 586.43 498.6891 0.5241435 0.284694
Ended 1621.937 600.176 505.0812 0.555963 0.3011348
Began 1623.227 219 321 -0.3263889 -0.1723252
Stationary 1623.258 219 321 -0.3263889 -0.1723252
Moved 1623.289 282.2185 358.0212 -0.1800497 -0.07710586
Moved 1623.32 346.7356 393.4203 -0.03070469 0.01394115
Moved 1623.35 389.8833 416.8858 0.06917427 0.07429468
Moved 1623.381 417.3595 428.1797 0.1327767 0.1033428
Moved 1623.412 438.6701 436.8763 0.1821067 0.1257106
Moved 1623.442 459 444.5 0.2291666 0.1453189
Moved 1623.473 485.3697 455.5136 0.2902077 0.173646
Moved 1623.504 519.8749 469.5781 0.3700808 0.20982
Moved 1623.535 558.6603 483.482 0.4598618 0.2455811
