what goes up must come down
what goes up must come down
Basic
List

0.6 0.6
432 388.8
Began 1428.484 260 472 -0.2314815 0.2160493
Stationary 1428.515 260 472 -0.2314815 0.2160493
Stationary 1428.545 260 472 -0.2314815 0.2160493
Moved 1428.576 249.5 472 -0.255787 0.2160493
Moved 1428.607 248.7719 472 -0.2574725 0.2160493
Moved 1428.637 248 472 -0.2592593 0.2160493
Stationary 1428.668 248 472 -0.2592593 0.2160493
Moved 1428.699 273.4624 454.2688 -0.2003186 0.1704444
Moved 1428.73 300.8112 441.4495 -0.1370112 0.1374729
Moved 1428.76 325.6081 428.1199 -0.07961089 0.103189
Moved 1428.791 351.0458 409.4037 -0.02072732 0.05505075
Moved 1428.822 368.9859 395.3451 0.02080063 0.01889158
Moved 1428.852 381.1943 387.6042 0.04906088 -0.00101792
Moved 1428.883 391.0138 381.6575 0.07179121 -0.01631309
Moved 1428.914 398.0947 377.4526 0.08818219 -0.02712815
Moved 1428.945 401.0598 374.9402 0.09504577 -0.03358998
Moved 1428.975 402 373.0537 0.09722222 -0.03844218
Moved 1429.006 392.0236 373 0.07412871 -0.03858032
Moved 1429.037 363.7083 373 0.008583963 -0.03858032
Moved 1429.067 327.5697 373 -0.07507021 -0.03858032
Moved 1429.098 295.1674 382.1514 -0.1500756 -0.01504286
Moved 1429.129 270.356 385.9492 -0.2075092 -0.005274839
Moved 1429.16 244.6324 389.2479 -0.2670545 0.003209408
Moved 1429.19 222.4191 391 -0.3184742 0.007715971
Moved 1429.221 205.7912 393.2418 -0.3569647 0.01348189
Moved 1429.252 195.5441 394.114 -0.380685 0.01572527
Moved 1429.282 191.5 394 -0.3900463 0.01543206
Moved 1429.313 187.5 395 -0.3993056 0.01800408
Moved 1429.344 186.6537 395 -0.4012645 0.01800408
Moved 1429.375 187 404.0165 -0.4004629 0.04119465
Moved 1429.405 209.146 430.1459 -0.3491992 0.1084
Moved 1429.436 241.7577 458.6668 -0.273709 0.1817561
Moved 1429.467 272.5821 480.8638 -0.2023562 0.2388472
Moved 1429.497 290.5846 493.4176 -0.1606838 0.2711357
Moved 1429.528 316.8936 507.9409 -0.09978329 0.3084899
Moved 1429.559 337.0269 517.5829 -0.05317841 0.3332893
Moved 1429.589 348.2289 522.743 -0.02724782 0.3465611
Moved 1429.62 353.4994 525.2497 -0.01504769 0.3530084
Moved 1429.651 358.2384 527.1192 -0.004077852 0.3578168
Moved 1429.682 360.9862 528 0.002282858 0.3600822
Moved 1429.712 363.5 529 0.008101861 0.3626543
Moved 1429.743 364.3221 529 0.01000474 0.3626543
