are you sure you want this
are you sure you want this
FixStart
List

0.6 0.6
432 388.8
Began 860.4356 490 452 0.300926 0.164609
Stationary 860.4663 490 452 0.300926 0.164609
Moved 860.4971 475.2323 452 0.2667415 0.164609
Moved 860.5277 461.8242 452 0.2357043 0.164609
Moved 860.5585 439 452 0.1828703 0.164609
Moved 860.5892 411.866 441.1575 0.1200601 0.1367218
Moved 860.6199 388.7212 438.6721 0.06648421 0.1303294
Moved 860.6506 364.3736 437 0.01012405 0.1260288
Moved 860.6813 345.2823 437 -0.03406872 0.1260288
Moved 860.712 330.6604 437 -0.06791581 0.1260288
Moved 860.7427 319.6429 437 -0.0934191 0.1260288
Moved 860.7735 311.7711 437 -0.1116409 0.1260288
Moved 860.8042 308.8636 437 -0.1183713 0.1260288
Moved 860.8349 307 437 -0.1226852 0.1260288
Moved 860.8655 307 445.9446 -0.1226852 0.1490344
Moved 860.8964 325.1734 464.1836 -0.08061712 0.1959454
Moved 860.9271 350.7174 491.7174 -0.02148748 0.2667629
Moved 860.9578 370.5941 510.6449 0.02452354 0.3154446
Moved 860.9885 388.8137 526.462 0.06669839 0.3561264
Moved 861.0192 421.665 552.7068 0.142743 0.4236286
Moved 861.0499 430.174 558.8386 0.1624397 0.4393995
Moved 861.0806 440.4177 567.1341 0.186152 0.4607357
Moved 861.1113 450.0714 573.3809 0.2084985 0.4768027
Moved 861.142 457.1892 578.1893 0.224975 0.4891699
Moved 861.1728 461.5023 580.5023 0.234959 0.495119
Moved 861.2035 463.6556 582 0.2399436 0.4989711
Moved 861.2343 466.0578 583.0578 0.2455041 0.5016918
Moved 861.2649 467.473 584 0.2487801 0.5041152
Moved 861.2957 467.8729 584.8729 0.2497058 0.5063604
Stationary 861.3263 468 585 0.25 0.5066872
Moved 861.3571 468 586.4125 0.25 0.5103202
Moved 861.3878 454.3137 586 0.2183188 0.5092591
Moved 861.4185 431.7976 586 0.1661981 0.5092591
Moved 861.4492 408 572.5 0.1111111 0.474537
Moved 861.4799 397.1032 568.2758 0.08588701 0.4636724
Moved 861.5106 388.5959 565.8653 0.06619433 0.4574724
Moved 861.5413 384 565 0.0555556 0.4552468
Moved 861.5721 380.097 563 0.04652083 0.4501028
Moved 861.6028 378.9144 563 0.04378328 0.4501028
Moved 861.6335 378 561.5179 0.04166663 0.4462909
Moved 861.6642 375.108 562 0.03497213 0.4475308
Moved 861.6948 372.699 562 0.02939592 0.4475308
Moved 861.7256 371.8206 562 0.0273624 0.4475308
Stationary 861.7563 372 562 0.02777775 0.4475308
Stationary 861.787 372 562 0.02777775 0.4475308
Stationary 861.8177 372 562 0.02777775 0.4475308
Ended 861.8484 372 562 0.02777775 0.4475308
Candidates 861.9713 13 date are at art gate ate after sat arts fate data set faster
Began 862.4614 473 403 0.2615741 0.03858017
Stationary 862.4935 473 403 0.2615741 0.03858017
Stationary 862.5242 473 403 0.2615741 0.03858017
Stationary 862.5549 473 403 0.2615741 0.03858017
Stationary 862.5856 473 403 0.2615741 0.03858017
Stationary 862.6163 473 403 0.2615741 0.03858017
Stationary 862.647 473 403 0.2615741 0.03858017
Stationary 862.6777 473 403 0.2615741 0.03858017
Stationary 862.7084 473 403 0.2615741 0.03858017
Stationary 862.7391 473 403 0.2615741 0.03858017
Stationary 862.7698 473 403 0.2615741 0.03858017
Moved 862.8007 463.9662 403 0.2406625 0.03858017
Stationary 862.8314 464 403 0.2407408 0.03858017
Stationary 862.862 464 403 0.2407408 0.03858017
Moved 862.8927 462.7908 403 0.2379417 0.03858017
Stationary 862.9234 462.7908 403 0.2379417 0.03858017
Moved 862.9542 461.9001 403 0.2358797 0.03858017
Moved 862.9849 460.9426 403 0.2336634 0.03858017
Moved 863.0156 456 414 0.2222222 0.06687239
Moved 863.0463 440.1287 432.823 0.1854832 0.1152854
Moved 863.077 417.747 460.4319 0.1336737 0.1862961
Moved 863.1077 385.3979 509.7028 0.05879154 0.3130216
Moved 863.1384 375.7141 523.0181 0.03637522 0.3472687
Moved 863.1692 359.0541 550.9188 -0.002189477 0.4190297
Moved 863.1999 339.6226 576.5032 -0.04717002 0.4848333
Moved 863.2305 323.5923 596.1707 -0.084277 0.5354185
Moved 863.2613 307.9653 611.744 -0.1204506 0.5754732
Moved 863.2919 294.1408 623.4709 -0.1524518 0.6056349
Moved 863.3228 281.722 632.5668 -0.1811992 0.6290298
