a picture is worth many words
a picture is worth many words
FixStart
List

0.6 0.6
432 388.8
Began 1014.824 481 420 0.2800926 0.08230445
Stationary 1014.855 481 420 0.2800926 0.08230445
Moved 1014.886 468.3031 420 0.2507016 0.08230445
Moved 1014.916 450.4074 420 0.2092764 0.08230445
Moved 1014.947 429.5097 420 0.160902 0.08230445
Moved 1014.978 409.1797 420 0.1138419 0.08230445
Moved 1015.009 389.0185 409.5162 0.06717235 0.05533991
Moved 1015.039 371.6702 409.0958 0.02701441 0.05425861
Moved 1015.07 361.0581 409 0.002449354 0.05401234
Moved 1015.101 342.9648 407 -0.03943344 0.04886827
Moved 1015.131 336.3811 406 -0.05467346 0.04629618
Moved 1015.162 330.5632 405 -0.06814068 0.04372424
Moved 1015.193 327.5 405 -0.07523149 0.04372424
Moved 1015.224 325.1272 405 -0.08072401 0.04372424
Moved 1015.254 323.5 405 -0.08449072 0.04372424
Moved 1015.285 322.8183 405 -0.08606866 0.04372424
Moved 1015.316 321.6861 405 -0.08868968 0.04372424
Moved 1015.346 321 405 -0.09027779 0.04372424
Ended 1015.377 321 405 -0.09027779 0.04372424
Candidates 1015.469 13 a s as sa da aa add ga aaa ss fda gas sd
Began 1015.992 498 409 0.3194444 0.05401234
Stationary 1016.022 498 409 0.3194444 0.05401234
Stationary 1016.053 498 409 0.3194444 0.05401234
Stationary 1016.084 498 409 0.3194444 0.05401234
Stationary 1016.114 498 409 0.3194444 0.05401234
Moved 1016.145 498 416.3063 0.3194444 0.07280432
Moved 1016.176 512.3138 425.8759 0.3525783 0.09741744
Moved 1016.207 527.7281 438.1068 0.3882595 0.1288753
Moved 1016.237 545.7338 450.4892 0.4299392 0.1607232
Moved 1016.268 569.5289 465.9174 0.4850207 0.2004047
Moved 1016.299 590.0163 480.3442 0.5324451 0.2375107
Moved 1016.329 611.4694 495.6684 0.5821051 0.2769248
Moved 1016.36 619.5444 502.4667 0.6007973 0.29441
Moved 1016.391 635.5165 514.1373 0.6377696 0.3244272
Moved 1016.422 643.5187 520.5187 0.6562932 0.3408401
Moved 1016.452 648.3188 523.1594 0.6674047 0.3476321
Moved 1016.483 650.5 525 0.6724538 0.3523662
Moved 1016.514 652.697 527.697 0.6775393 0.3593029
Moved 1016.544 654.0678 529.0678 0.6807126 0.3628286
Moved 1016.575 654 530.5 0.6805556 0.3665122
Moved 1016.606 655 531 0.6828703 0.3677982
Moved 1016.637 647.829 533.0488 0.6662707 0.3730679
Moved 1016.667 632.7341 536.4666 0.6313291 0.3818583
Moved 1016.698 610.4309 540.6097 0.5797011 0.3925147
Moved 1016.729 585.2071 544.2793 0.5213128 0.4019528
Moved 1016.76 564.9042 544 0.4743152 0.4012345
Moved 1016.79 552.6656 544 0.4459852 0.4012345
Moved 1016.821 545.289 544 0.4289097 0.4012345
Moved 1016.852 537.7786 531.8456 0.4115244 0.3699732
Moved 1016.882 529.5425 513.4467 0.3924595 0.322651
Moved 1016.913 508.4544 458.8178 0.3436444 0.1821446
Moved 1016.944 500.9614 434.6149 0.3262995 0.1198943
Moved 1016.974 489.2035 394.814 0.2990822 0.01752555
Moved 1017.005 482.084 362.3362 0.2826019 -0.06600768
Moved 1017.036 477.1958 335.7726 0.2712865 -0.1343297
Moved 1017.067 476 318.97 0.2685185 -0.1775464
Moved 1017.097 475 305.9357 0.2662037 -0.2110709
Moved 1017.128 473 299.1589 0.2615741 -0.2285007
Moved 1017.159 472 294.5056 0.2592593 -0.2404692
Moved 1017.19 470.848 291.848 0.2565925 -0.2473047
Moved 1017.22 471 288.5 0.2569444 -0.2559158
Moved 1017.251 470 287.0407 0.2546296 -0.259669
Moved 1017.282 468.9714 287 0.2522486 -0.2597736
Moved 1017.312 466.5249 287 0.2465855 -0.2597736
Moved 1017.343 460.3539 307.8203 0.2323008 -0.2062237
Moved 1017.374 455.148 329.5559 0.22025 -0.1503192
Moved 1017.405 449.5 357 0.2071759 -0.07973259
Moved 1017.435 442.3097 379.7612 0.1905317 -0.02119048
Moved 1017.466 435.2705 396.7023 0.1742372 0.02238234
Moved 1017.497 427.397 418.8091 0.1560115 0.07924142
