where can my little dog be
where can my little dog be
Basic
Radial

0.6 0.6
432 388.8
Began 1593.351 238 497 -0.2824074 0.2803498
Stationary 1593.381 238 497 -0.2824074 0.2803498
Stationary 1593.412 238 497 -0.2824074 0.2803498
Stationary 1593.443 238 497 -0.2824074 0.2803498
Stationary 1593.473 238 497 -0.2824074 0.2803498
Stationary 1593.504 238 497 -0.2824074 0.2803498
Stationary 1593.535 238 497 -0.2824074 0.2803498
Stationary 1593.566 238 497 -0.2824074 0.2803498
Stationary 1593.596 238 497 -0.2824074 0.2803498
Stationary 1593.627 238 497 -0.2824074 0.2803498
Stationary 1593.658 238 497 -0.2824074 0.2803498
Stationary 1593.688 238 497 -0.2824074 0.2803498
Stationary 1593.719 238 497 -0.2824074 0.2803498
Stationary 1593.75 238 497 -0.2824074 0.2803498
Stationary 1593.781 238 497 -0.2824074 0.2803498
Moved 1593.811 244.6868 491.2684 -0.2669286 0.265608
Moved 1593.842 274.5204 464.4796 -0.1978694 0.1967067
Moved 1593.873 310.4472 433.7753 -0.1147056 0.1177346
Moved 1593.903 336.6306 406.3693 -0.05409573 0.04724616
Moved 1593.934 353.4035 391.5964 -0.01526962 0.009250052
Moved 1593.965 361.9551 384.5225 0.004525681 -0.008944327
Moved 1593.995 367.3541 380.6459 0.01702348 -0.01891501
Moved 1594.026 369.9052 378 0.02292861 -0.02572024
Moved 1594.057 372.7767 376 0.02957572 -0.03086435
Moved 1594.088 374.213 374.787 0.03290037 -0.03398416
Moved 1594.118 376.087 373.913 0.0372384 -0.03623217
Moved 1594.149 377 372.5 0.03935188 -0.03986633
Moved 1594.18 378.2366 373 0.04221429 -0.03858032
Moved 1594.21 379 372 0.04398147 -0.04115226
Stationary 1594.241 379 372 0.04398147 -0.04115226
Stationary 1594.272 379 372 0.04398147 -0.04115226
Moved 1594.303 365.989 383.9267 0.01386354 -0.01047668
Moved 1594.333 340.7625 405.0662 -0.04453123 0.04389457
Moved 1594.364 316.0102 422.4937 -0.1018283 0.0887182
Moved 1594.395 298.7732 432.1134 -0.1417287 0.1134604
Moved 1594.425 282.5138 439.4954 -0.1793662 0.1324468
Moved 1594.456 268.4863 446.2568 -0.2118372 0.1498374
Moved 1594.487 256.8727 452.8764 -0.2387207 0.1668631
Moved 1594.518 247.0148 457.9926 -0.2615398 0.1800221
Moved 1594.548 235.4822 462.3795 -0.2882357 0.1913051
Moved 1594.579 228.2532 466.8312 -0.3049695 0.202755
Moved 1594.61 223.2096 470.7904 -0.3166444 0.2129382
Moved 1594.64 219.3401 472.6599 -0.3256016 0.2177466
Moved 1594.671 217.8687 474 -0.3290077 0.2211934
Moved 1594.702 215.9499 476 -0.3334493 0.2263374
Moved 1594.733 216 478.9249 -0.3333333 0.2338603
Moved 1594.763 216 481.8046 -0.3333333 0.2412668
Moved 1594.794 216 485.3815 -0.3333333 0.2504669
Moved 1594.825 245.7118 499.4792 -0.2645559 0.2867262
Moved 1594.855 281.2456 511.3737 -0.1823019 0.3173191
Moved 1594.886 299.2077 516.4879 -0.140723 0.3304729
Moved 1594.917 319.7241 521.064 -0.0932312 0.3422427
Moved 1594.948 335.0006 524.4001 -0.05786891 0.3508233
Moved 1594.978 346.8259 528.2753 -0.03049562 0.3607904
Moved 1595.009 352.5495 529 -0.01724661 0.3626543
Moved 1595.04 356.6457 530 -0.007764697 0.3652262
Moved 1595.07 358.5236 530 -0.003417681 0.3652262
Moved 1595.101 359.5 530 -0.001157423 0.3652262
Moved 1595.132 360 530 0 0.3652262
Stationary 1595.162 360 530 0 0.3652262
Stationary 1595.193 360 530 0 0.3652262
Stationary 1595.224 360 530 0 0.3652262
Moved 1595.255 349.7317 530 -0.02376924 0.3652262
Moved 1595.285 332.2568 530 -0.06422043 0.3652262
Moved 1595.316 315.8515 522.1703 -0.1021955 0.3450881
Moved 1595.347 300.1613 522 -0.1385155 0.3446501
Moved 1595.377 289.1605 521 -0.1639803 0.3420781
Moved 1595.408 279.6967 518.8483 -0.1858874 0.336544
Moved 1595.439 269.7003 517 -0.209027 0.33179
Moved 1595.47 262.4379 515.4379 -0.2258382 0.3277723
Moved 1595.5 258.5624 515 -0.2348092 0.326646
Moved 1595.531 256.8452 515 -0.2387844 0.326646
Moved 1595.562 255.5 515 -0.2418981 0.326646
Moved 1595.592 255 513.7507 -0.2430556 0.3234327
Moved 1595.623 253.625 514 -0.2462385 0.324074
Stationary 1595.654 254 514 -0.2453704 0.324074
Moved 1595.685 252.5816 514 -0.2486537 0.324074
Ended 1595.715 253 514 -0.2476852 0.324074
Candidates 1595.869 13 free they get there what where here the state he after share dr
Began 1596.422 358 467 -0.004629641 0.2031892
Stationary 1596.452 358 467 -0.004629641 0.2031892
Moved 1596.483 381.8636 467 0.0506101 0.2031892
Moved 1596.514 394.567 467 0.08001605 0.2031892
Moved 1596.544 403.6556 467 0.1010546 0.2031892
Moved 1596.575 417.6088 459.4637 0.1333537 0.1838058
Moved 1596.606 427.2383 459 0.1556443 0.1826131
Moved 1596.637 431.2874 458 0.165017 0.180041
Moved 1596.667 433.8541 457.1459 0.1709584 0.1778444
Moved 1596.698 435.2895 457 0.1742813 0.1774691
Moved 1596.729 436 455.8368 0.1759259 0.1744772
Moved 1596.759 437 453.9398 0.1782407 0.1695982
Moved 1596.79 437 449.9758 0.1782407 0.1594026
Moved 1596.821 437 445.2098 0.1782407 0.1471444
