I can still feel your presence
I can still feel your presence
FixStart
Radial

0.6 0.6
432 388.8
Began 3802.844 428 395 0.1574074 0.01800408
Stationary 3802.874 428 395 0.1574074 0.01800408
Moved 3802.905 428 414.3795 0.1574074 0.06784843
Moved 3802.936 439.0106 438.0106 0.1828949 0.1286281
Moved 3802.966 448.6418 460.1232 0.2051895 0.1855021
Moved 3802.997 469.2137 483.2136 0.2528094 0.2448909
Moved 3803.028 494.2531 503.5332 0.3107711 0.2971533
Moved 3803.058 516.9953 517.2196 0.3634151 0.3323549
Moved 3803.089 538.5049 529.5656 0.4132057 0.3641088
Moved 3803.12 552.9073 535.3629 0.4465447 0.3790198
Moved 3803.151 562.3087 539.7695 0.468307 0.3903536
Moved 3803.181 570.7019 543.5673 0.4877359 0.4001216
Moved 3803.212 578.3247 546.4416 0.5053812 0.4075142
Moved 3803.243 583.6306 551.6306 0.5176634 0.4208606
Moved 3803.273 586.8646 552.8646 0.5251496 0.4240344
Moved 3803.304 588.7443 554.7443 0.5295006 0.4288689
Moved 3803.335 590.6151 556 0.5338311 0.4320986
Moved 3803.366 591 557.2454 0.5347222 0.4353018
Moved 3803.396 592 557 0.5370371 0.4346707
Ended 3803.427 593.2219 557 0.5398656 0.4346707
Candidates 3803.489 13 you up I top to go ip o yo yup ii tip iii
Began 3803.949 295 533 -0.150463 0.3729423
Stationary 3803.98 295 533 -0.150463 0.3729423
Stationary 3804.01 295 533 -0.150463 0.3729423
Stationary 3804.041 295 533 -0.150463 0.3729423
Stationary 3804.072 295 533 -0.150463 0.3729423
Moved 3804.103 307.2539 533 -0.1220974 0.3729423
Moved 3804.134 314.2503 548.5006 -0.105902 0.4128101
Moved 3804.164 317.5 560 -0.09837966 0.4423867
Moved 3804.195 317 571.2099 -0.09953702 0.4712188
Moved 3804.226 301.3318 586.6682 -0.135806 0.5109778
Moved 3804.256 284.048 600.952 -0.1758147 0.5477159
Moved 3804.287 270.8952 608.442 -0.2062612 0.5669802
Moved 3804.318 254.0114 617.4943 -0.245344 0.5902631
