reading week is just about here
reading week is just about here
FixStart
List

0.6 0.6
432 388.8
Stationary 2988.745 708 482 0.8055556 0.2417695
Stationary 2988.776 708 482 0.8055556 0.2417695
Stationary 2988.806 708 482 0.8055556 0.2417695
Stationary 2988.837 708 482 0.8055556 0.2417695
Stationary 2988.868 708 482 0.8055556 0.2417695
Ended 2988.898 708 482 0.8055556 0.2417695
Candidates 2988.99 13 j h hh k g i l f u hi y jfk kg
Began 2990.157 515 389 0.3587963 0.002572016
Moved 2990.188 488.1837 389 0.2967215 0.002572016
Moved 2990.219 419.8609 389 0.1385668 0.002572016
Moved 2990.25 344.5057 389 -0.03586635 0.002572016
Moved 2990.28 274.1931 389 -0.1986271 0.002572016
Moved 2990.311 220.7249 389 -0.322396 0.002572016
Moved 2990.342 176.9626 384.5389 -0.4236976 -0.008901902
Moved 2990.373 131.831 377.9911 -0.5281689 -0.02574308
Moved 2990.403 97.13486 374.2612 -0.6084841 -0.03533642
Moved 2990.434 67.56689 372.5061 -0.6769285 -0.03985063
Moved 2990.465 50.71584 373 -0.7159355 -0.03858032
Moved 2990.495 43.65771 373 -0.7322738 -0.03858032
Moved 2990.526 37.1315 371.5657 -0.7473807 -0.0422692
Moved 2990.557 34.78892 372 -0.7528034 -0.04115226
Ended 2990.587 32 372 -0.7592592 -0.04115226
Accept 2990.649 0 j
Delete 2990.649 LeftSwipe
Began 2991.54 419 367 0.1365741 -0.05401234
Stationary 2991.57 419 367 0.1365741 -0.05401234
Stationary 2991.601 419 367 0.1365741 -0.05401234
Moved 2991.632 399.7865 398.427 0.09209841 0.02681838
Moved 2991.662 389.1506 422.0858 0.06747831 0.08766904
Moved 2991.693 379.345 449.1834 0.04477997 0.1573647
Moved 2991.724 374.075 470.7373 0.03258109 0.2128016
Moved 2991.754 370.5 490.5 0.02430558 0.2636316
Moved 2991.785 369 506.9108 0.02083332 0.3058405
Moved 2991.816 367.0681 519.7274 0.01636147 0.3388048
Moved 2991.847 366 529.0259 0.01388888 0.362721
Moved 2991.877 365 535.2273 0.01157403 0.3786709
Moved 2991.908 364 540.6956 0.009259283 0.3927355
Moved 2991.939 362.4055 545.5945 0.005568365 0.4053355
Moved 2991.969 360.6576 550.6848 0.001522303 0.4184277
Moved 2992 360.2648 552.7352 0.0006129345 0.4237014
Moved 2992.031 358.5167 555.4833 -0.003433526 0.4307697
Moved 2992.062 358 557.2294 -0.004629641 0.4352608
Moved 2992.092 355.0205 558 -0.01152659 0.4372427
Moved 2992.123 348.7635 558 -0.02601033 0.4372427
Moved 2992.154 340.3606 558 -0.04546151 0.4372427
Moved 2992.184 330.3678 549.8276 -0.06859297 0.4162233
Moved 2992.215 318.5 541.5 -0.0960648 0.3948044
Moved 2992.246 305.6593 530.7956 -0.1257886 0.3672725
Moved 2992.277 291.9047 515.0857 -0.157628 0.3268664
Moved 2992.307 281.6889 501.1111 -0.1812757 0.2909237
Moved 2992.338 271.8714 484.775 -0.2040014 0.2489067
Moved 2992.369 258.0354 460.6566 -0.2360292 0.186874
Moved 2992.399 241.7426 432.028 -0.273744 0.1132407
Moved 2992.43 227.5108 406.3195 -0.3066879 0.04711802
Moved 2992.461 219.796 392.3267 -0.3245462 0.0111284
Moved 2992.491 211.5214 378.5357 -0.3437004 -0.0243424
Moved 2992.522 207.5143 370.2715 -0.3529761 -0.04559803
Moved 2992.553 205.0058 364.0116 -0.3587829 -0.06169857
Moved 2992.583 203.6051 361.6051 -0.3620252 -0.06788819
Moved 2992.614 204 356.6962 -0.3611111 -0.08051404
Moved 2992.645 204 353.0976 -0.3611111 -0.08976956
Moved 2992.676 204 348 -0.3611111 -0.1028807
Moved 2992.706 218.3788 341.8106 -0.3278269 -0.1188
Moved 2992.737 232.086 334.457 -0.2960972 -0.1377136
Moved 2992.768 244.4534 330.3867 -0.267469 -0.1481825
Moved 2992.799 258.1411 329 -0.2357844 -0.151749
Moved 2992.829 280.3906 329 -0.1842811 -0.151749
Moved 2992.86 295.5 329 -0.1493056 -0.151749
Moved 2992.891 309.3815 340.5526 -0.1171724 -0.1220355
Moved 2992.921 319.9251 346.4626 -0.09276593 -0.106835
Moved 2992.952 331.3666 353.9467 -0.06628106 -0.08758584
Moved 2992.983 344.1235 361.6741 -0.03675123 -0.06771079
Moved 2993.013 357.9213 370.9528 -0.004811883 -0.04384586
Moved 2993.044 374.4717 384.0378 0.0334994 -0.01019093
Moved 2993.075 390.9921 395.8268 0.07174094 0.02013061
Moved 2993.106 410.5625 410.6249 0.1170428 0.05819159
Moved 2993.136 430 426.5 0.162037 0.09902258
