I want to hold your hand
I want to hold your hand
FixStart
List

0.6 0.6
432 388.8
Began 3518.766 438 435 0.1805556 0.1208847
Stationary 3518.797 438 435 0.1805556 0.1208847
Stationary 3518.828 438 435 0.1805556 0.1208847
Moved 3518.858 453.4713 454.207 0.2163688 0.1702855
Moved 3518.889 467.8062 473.3222 0.2495512 0.2194501
Moved 3518.92 491.0215 504.0215 0.3032905 0.2984091
Moved 3518.951 511.08 526.9486 0.3497223 0.357378
Moved 3518.981 529.7206 548.1005 0.3928719 0.411781
Moved 3519.012 542.1417 560.1133 0.4216242 0.4426782
Moved 3519.043 552.352 569.568 0.4452592 0.4669957
Moved 3519.073 559.6019 575.0679 0.4620414 0.4811415
Moved 3519.104 564.577 579.2885 0.4735579 0.4919971
Moved 3519.135 566.7259 580.7259 0.4785321 0.495694
Moved 3519.166 568 583.482 0.4814814 0.5027828
Moved 3519.196 570.5 584.5 0.4872685 0.5054011
Moved 3519.227 571.2394 585.2394 0.48898 0.5073028
Moved 3519.258 572.1229 586.1229 0.4910251 0.5095752
Stationary 3519.288 572 586 0.4907407 0.5092591
Ended 3519.319 572 586 0.4907407 0.5092591
Candidates 3519.381 13 I go o ii iii iu gi you p hi up ip to
Began 3519.995 453 425 0.2152778 0.09516452
Moved 3520.025 440.9882 433.0079 0.1874726 0.1157609
Moved 3520.056 415.379 454.0968 0.1281922 0.1700019
Moved 3520.087 387.5 476.5 0.06365737 0.2276234
Moved 3520.118 361.2751 498.725 0.002951523 0.2847864
Moved 3520.148 341.3072 514.9542 -0.04327039 0.3265283
Moved 3520.179 326.5287 525.9771 -0.07747988 0.3548792
Moved 3520.21 314.3075 535.754 -0.1057696 0.3800255
Moved 3520.24 302.3255 546.6746 -0.1335059 0.4081135
Moved 3520.271 295.1514 556.2729 -0.1501124 0.4328005
Moved 3520.302 289.643 562.357 -0.1628634 0.4484489
Moved 3520.333 287.4131 566.5869 -0.1680252 0.4593284
Moved 3520.363 284.6499 569.3501 -0.1744216 0.4664353
Moved 3520.394 283.8948 572.1052 -0.1761695 0.4735216
Moved 3520.425 282.6414 573.3586 -0.1790709 0.4767454
Moved 3520.455 281.9103 573 -0.1807632 0.4758229
Moved 3520.486 279.9551 573 -0.1852892 0.4758229
Moved 3520.517 275.6072 556.8216 -0.1953537 0.4342118
Moved 3520.548 260.5 510.5 -0.2303241 0.3150719
Moved 3520.578 247.1216 463.3952 -0.2612926 0.1939176
Moved 3520.609 241.2778 434.5002 -0.2748199 0.1195992
Moved 3520.64 237.5228 413.6595 -0.2835121 0.0659965
Moved 3520.67 237 403.1948 -0.2847222 0.0390811
Moved 3520.701 237 395.6178 -0.2847222 0.01959302
Moved 3520.732 237 391.5436 -0.2847222 0.009114104
Moved 3520.762 237 387.78 -0.2847222 -0.000566043
Moved 3520.793 242.8768 385.347 -0.2711186 -0.006823441
Moved 3520.824 253.2565 381.5812 -0.2470914 -0.01650932
Moved 3520.855 272.1991 375.6574 -0.2032429 -0.03174542
Moved 3520.885 290.5218 371.0797 -0.1608292 -0.04351926
Moved 3520.916 309.8333 366.0556 -0.1161267 -0.05644143
Moved 3520.947 332.4226 361.8793 -0.06383657 -0.06718302
Moved 3520.978 355.2645 356.5785 -0.01096189 -0.08081672
Moved 3521.008 377 350 0.03935188 -0.09773669
Moved 3521.039 400.1169 339.9499 0.09286314 -0.1235857
Moved 3521.07 424.7523 329.8991 0.1498895 -0.1494365
Moved 3521.1 449.2484 319.4069 0.2065935 -0.1764227
Moved 3521.131 470.7386 309.1307 0.2563392 -0.202853
Moved 3521.162 490.3878 296.8061 0.3018236 -0.2345523
Moved 3521.192 503.4659 289.0227 0.332097 -0.2545712
Moved 3521.223 511.725 284.7584 0.3512152 -0.2655392
Moved 3521.254 518.4067 281.2967 0.3666821 -0.2744427
Moved 3521.285 523.9468 277.5266 0.3795066 -0.2841395
