the bathroom is good for reading
the bathroom is good for reading
FixStart
List

0.6 0.6
432 388.8
Began 3865.808 482 335 0.2824074 -0.1363169
Stationary 3865.838 482 335 0.2824074 -0.1363169
Moved 3865.869 476.8024 351.4971 0.2703758 -0.09388613
Moved 3865.9 462.8989 385.463 0.2381918 -0.006525369
Moved 3865.93 452.5171 424.9316 0.2141599 0.0949887
Moved 3865.961 446.7474 458.142 0.2008041 0.1804063
Moved 3865.992 446 490.413 0.199074 0.2634078
Moved 3866.023 446 506.3448 0.199074 0.3043846
Moved 3866.053 446 516.1521 0.199074 0.3296093
Moved 3866.084 446 521.3393 0.199074 0.3429508
Moved 3866.115 446 525.1081 0.199074 0.3526443
Moved 3866.146 446 526.2231 0.199074 0.3555119
Stationary 3866.176 446 526.2231 0.199074 0.3555119
Moved 3866.207 458.0733 517.7066 0.2270216 0.3336074
Moved 3866.238 467.4053 503.9911 0.2486235 0.2983309
Moved 3866.268 475.9976 491.5036 0.268513 0.2662129
Moved 3866.299 485.0339 472.9208 0.2894304 0.2184177
Moved 3866.33 491.5584 458.1039 0.3045335 0.1803082
Moved 3866.36 497 446 0.3171296 0.1491768
Moved 3866.391 502.9079 432.2762 0.3308054 0.113879
Moved 3866.422 509.4285 415.7145 0.3458993 0.07128205
Moved 3866.453 516.4442 397.6302 0.3621394 0.024769
Moved 3866.483 518.9553 385.2685 0.367952 -0.007025558
Moved 3866.514 523.7119 366.7285 0.3789628 -0.05471084
Moved 3866.545 526 354.1053 0.3842592 -0.08717768
Moved 3866.575 528 346.3169 0.3888889 -0.1072096
Moved 3866.606 529 342.6832 0.3912036 -0.1165556
Moved 3866.637 530.4099 338.1802 0.3944674 -0.1281375
Moved 3866.667 530 336.5 0.3935185 -0.1324588
Moved 3866.698 530 335 0.3935185 -0.1363169
Moved 3866.729 516.8087 335 0.3629829 -0.1363169
Moved 3866.76 502.5236 350.3811 0.3299158 -0.0967565
Moved 3866.79 484.0944 366.062 0.2872556 -0.05642518
Moved 3866.821 460.5 389.5 0.2326389 0.003857946
Moved 3866.852 445.702 405.298 0.1983843 0.04449059
Moved 3866.883 431.7646 418.2354 0.1661218 0.07776578
Moved 3866.913 416.6515 433.3484 0.1311378 0.1166369
Moved 3866.944 402.1615 446.8654 0.09759605 0.1514028
Moved 3866.975 386.5941 461.6716 0.06156047 0.1894844
Moved 3867.005 371.6132 473.9094 0.02688239 0.2209604
Moved 3867.036 360.0935 482.6799 0.0002165635 0.2435181
