the five boxing wizards jump quickly
the five boxing wizards jump quickly
FixStart
Radial

0.6 0.6
432 388.8
Began 3667.81 395 432 0.08101851 0.1131687
Stationary 3667.841 395 432 0.08101851 0.1131687
Moved 3667.871 373.9142 453.5266 0.03220886 0.1685354
Moved 3667.902 354.1962 477.7384 -0.01343464 0.2308086
Moved 3667.933 322.7611 518.6518 -0.08620108 0.3360385
Moved 3667.964 297.9279 559.6949 -0.1436853 0.4416021
Moved 3667.994 281.2236 588.5529 -0.1823529 0.5158252
Moved 3668.025 274.7939 602.5153 -0.1972364 0.5517367
Moved 3668.056 273 608.9435 -0.2013889 0.5682704
Moved 3668.086 272 613.6958 -0.2037037 0.5804932
Moved 3668.117 272 615.5593 -0.2037037 0.5852861
Moved 3668.148 304.3103 604.4138 -0.1289113 0.5566198
Moved 3668.179 341.8481 573.152 -0.04201839 0.4762138
Moved 3668.209 369.387 536.3809 0.02172907 0.3816379
Moved 3668.24 384.0634 511.6146 0.05570232 0.3179387
Moved 3668.271 400.2389 481.9699 0.09314567 0.2416921
Moved 3668.302 414.6216 455.4054 0.126439 0.1733677
Moved 3668.332 422.5438 437.9124 0.1447774 0.1283754
Moved 3668.363 428.3781 426.9328 0.1582827 0.1001357
Moved 3668.394 431 420.8829 0.1643519 0.08457521
Moved 3668.424 431 417.5681 0.1643519 0.07604944
Moved 3668.455 431 415.0176 0.1643519 0.06948969
Moved 3668.486 420.483 413.161 0.1400069 0.06471445
Moved 3668.517 411.8224 413 0.1199594 0.06430033
Moved 3668.547 387.1868 418.4091 0.06293237 0.07821272
Moved 3668.578 350.8226 439.3752 -0.02124389 0.1321378
Moved 3668.609 321.0702 458.9454 -0.09011537 0.1824727
Moved 3668.639 295.3222 475.2654 -0.1497172 0.224448
Moved 3668.67 278 489.5 -0.1898148 0.2610596
Moved 3668.701 263.8299 503.17 -0.2226159 0.2962192
Moved 3668.732 255.6793 512.4811 -0.2414831 0.3201673
Moved 3668.762 251.9873 517.0254 -0.2500294 0.3318553
Ended 3668.793 251 519 -0.2523148 0.3369341
Candidates 3668.977 13 the where what eggs weeks wide wife edge either refer further drugs weather
Began 3669.592 354 489 -0.01388888 0.2597736
Moved 3669.623 373.0979 489 0.03031909 0.2597736
Moved 3669.653 413.1069 489 0.1229327 0.2597736
Moved 3669.684 459.0573 489 0.2292994 0.2597736
Moved 3669.714 508.1545 489 0.3429502 0.2597736
Moved 3669.746 536.428 489 0.4083981 0.2597736
Moved 3669.776 563.2788 489 0.4705528 0.2597736
Moved 3669.807 585.2645 489 0.5214457 0.2597736
Ended 3669.838 587 489 0.5254629 0.2597736
Accept 3669.899 0 the
Began 3671.22 401 473 0.09490739 0.2186213
Stationary 3671.251 401 473 0.09490739 0.2186213
Stationary 3671.281 401 473 0.09490739 0.2186213
Moved 3671.312 378.3211 473 0.04240999 0.2186213
Moved 3671.343 355.2348 473 -0.01103063 0.2186213
Moved 3671.374 328.0075 473 -0.07405668 0.2186213
Moved 3671.405 306.5555 473 -0.1237142 0.2186213
Moved 3671.435 292.7422 473 -0.1556893 0.2186213
Moved 3671.466 281.2563 473 -0.1822771 0.2186213
Moved 3671.497 275.3843 473 -0.1958697 0.2186213
Moved 3671.527 273 473 -0.2013889 0.2186213
Moved 3671.558 271.5 473 -0.2048611 0.2186213
Moved 3671.589 272 473 -0.2037037 0.2186213
Stationary 3671.619 272 473 -0.2037037 0.2186213
Moved 3671.65 283.4197 482.8148 -0.1772692 0.243865
Moved 3671.681 303.6327 500.3036 -0.1304799 0.2888466
Moved 3671.712 334.2795 520.4506 -0.05953824 0.3406649
Moved 3671.742 375.0392 543.6235 0.03481309 0.4002663
Moved 3671.773 419.0766 567.1537 0.1367514 0.4607862
Moved 3671.804 457.7283 588.8188 0.2262229 0.5165093
Moved 3671.834 485.5213 606.1128 0.2905585 0.5609896
Moved 3671.865 501.1171 616.6703 0.32666 0.5881436
Moved 3671.896 510.208 622.472 0.3477038 0.6030658
Moved 3671.927 514.6093 625.6093 0.3578919 0.611135
Moved 3671.958 516 627.4785 0.3611111 0.6159426
Stationary 3671.988 516 627 0.3611111 0.6147118
Moved 3672.019 516 615.9379 0.3611111 0.58626
Moved 3672.05 497.241 574.3094 0.3176876 0.4791909
Moved 3672.08 474.7233 516.1274 0.2655632 0.3295457
Moved 3672.111 458.765 469.5009 0.2286227 0.2096215
Moved 3672.142 441.4275 411.2823 0.1884895 0.05988254
Moved 3672.172 423.2927 357.7609 0.1465108 -0.07777547
Moved 3672.203 415.8132 330.8461 0.1291971 -0.1470007
Moved 3672.234 411.6846 314.423 0.1196402 -0.1892413
Moved 3672.265 409.8155 301.262 0.1153136 -0.2230916
Moved 3672.295 406.9421 295.8842 0.1086622 -0.2369234
Moved 3672.326 403.4061 290.2183 0.100477 -0.2514962
Moved 3672.357 398.0629 284.0629 0.08810848 -0.267328
Moved 3672.387 395.6565 280.313 0.08253823 -0.2769728
Moved 3672.418 392.799 277.799 0.07592361 -0.2834389
Moved 3672.449 391.2821 276 0.07241219 -0.288066
Moved 3672.48 388.2057 281.3829 0.06529093 -0.2742208
Moved 3672.51 378.1392 336.5605 0.04198879 -0.1323031
Moved 3672.541 375 419.8459 0.03472219 0.08190806
Moved 3672.572 375 489.8599 0.03472219 0.2619854
Moved 3672.603 388.847 550.9266 0.06677538 0.4190499
Moved 3672.633 399.9077 596.7229 0.09237885 0.5368387
Moved 3672.664 405.3284 615.1493 0.1049268 0.5842317
Moved 3672.695 408 625.1005 0.1111111 0.6098262
Moved 3672.725 409 628.9122 0.113426 0.6196301
Ended 3672.756 409 629 0.113426 0.6198559
Candidates 3672.848 13 drove driver drive derive arrive five assume silver summer front river doubt stone
Began 3673.985 354 490 -0.01388888 0.2623456
Stationary 3674.016 354 490 -0.01388888 0.2623456
Stationary 3674.046 354 490 -0.01388888 0.2623456
Ended 3674.077 354 490 -0.01388888 0.2623456
NextCandidatePanel 3674.169
Began 3674.814 366 455 0.01388888 0.172325
Stationary 3674.845 366 455 0.01388888 0.172325
Moved 3674.876 378.0856 493.3798 0.04186481 0.2710384
Moved 3674.907 397.7639 550.1219 0.08741637 0.4169801
Moved 3674.938 414.0752 589.9956 0.1251741 0.5195359
Moved 3674.968 426.918 615.3566 0.1549028 0.5847647
Moved 3674.999 433.7072 629.0609 0.1706186 0.6200124
Moved 3675.03 438.2264 634.2264 0.1810797 0.6332983
Ended 3675.06 439.239 635.239 0.1834235 0.6359025
Accept 3675.153 5 five
Began 3676.688 383 535 0.05324075 0.3780863
Stationary 3676.719 383 535 0.05324075 0.3780863
Stationary 3676.75 383 535 0.05324075 0.3780863
Stationary 3676.781 383 535 0.05324075 0.3780863
Moved 3676.812 383 500.3455 0.05324075 0.2889543
Moved 3676.842 383 452.1098 0.05324075 0.1648914
Moved 3676.873 387.9998 415.1252 0.06481449 0.06976637
Moved 3676.904 393.4955 385.0444 0.077536 -0.007601843
Moved 3676.934 396.0318 366.7774 0.08340696 -0.05458486
Moved 3676.965 397.9028 354.2914 0.08773803 -0.08669896
Moved 3676.996 399 348.2239 0.09027779 -0.1023047
Moved 3677.027 399 344 0.09027779 -0.1131688
Moved 3677.057 400.1521 343 0.0929447 -0.1157408
Moved 3677.088 400 339.9754 0.09259263 -0.1235201
Moved 3677.119 400 339.1078 0.09259263 -0.1257515
Moved 3677.149 400 339 0.09259263 -0.1260288
Moved 3677.18 401.5 337.5 0.0960648 -0.1298869
Moved 3677.211 401 337 0.09490739 -0.1311728
Stationary 3677.241 401 337 0.09490739 -0.1311728
Moved 3677.272 401 336 0.09490739 -0.1337449
Stationary 3677.303 401 336 0.09490739 -0.1337449
Moved 3677.334 401 334.8133 0.09490739 -0.1367971
Stationary 3677.365 401 335 0.09490739 -0.1363169
Moved 3677.395 387.9887 340.2698 0.06478866 -0.122763
Moved 3677.426 375.495 347.2525 0.03586809 -0.1048033
Moved 3677.457 363.0107 352.9946 0.006969174 -0.09003446
Moved 3677.487 351.8405 357.0638 -0.01888762 -0.07956846
Moved 3677.518 338.3955 359.9011 -0.05001048 -0.07227077
Moved 3677.549 325.1512 362.7698 -0.08066843 -0.06489255
Moved 3677.58 312.5 364.5 -0.1099537 -0.06044246
Moved 3677.61 301.4157 366 -0.1356117 -0.05658444
Moved 3677.641 288.927 369.0182 -0.1645208 -0.04882137
Moved 3677.672 278.4539 370 -0.1887642 -0.04629637
Moved 3677.702 267.7106 371 -0.2136329 -0.04372435
Moved 3677.733 256.8171 374.2957 -0.2388493 -0.03524764
Moved 3677.764 249.4874 376.1708 -0.2558161 -0.0304248
Moved 3677.795 244.9298 379.0351 -0.2663662 -0.02305788
Moved 3677.825 242.4457 381.1085 -0.2721164 -0.01772508
Moved 3677.856 241 387.8447 -0.275463 -0.0003996013
Moved 3677.887 241 399.5101 -0.275463 0.02960417
Moved 3677.917 259.1165 417.1165 -0.2335265 0.07488807
Moved 3677.948 304.9046 461.7091 -0.1275357 0.1895809
Moved 3677.979 373.8118 511.9311 0.03197173 0.3187527
Moved 3678.01 435.3806 555.0214 0.174492 0.4295816
Moved 3678.04 470.0311 581.0259 0.2547017 0.4964657
Moved 3678.071 496.9953 603.1209 0.3171188 0.5532945
Moved 3678.102 513.7003 616.9603 0.3557878 0.5888895
Moved 3678.133 527 627.5 0.3865741 0.6159979
Moved 3678.163 538.4708 637.3531 0.4131269 0.6413401
Moved 3678.194 548.9554 643.9703 0.4373967 0.6583596
Moved 3678.225 559.5598 651.7065 0.4619438 0.6782572
Moved 3678.255 566.8965 657.8965 0.4789271 0.6941782
Moved 3678.286 573.541 662.541 0.4943078 0.7061238
Moved 3678.317 579.1413 666.1413 0.5072715 0.7153838
Moved 3678.348 583.0079 669.0079 0.5162219 0.7227568
Moved 3678.378 585.5297 670.5297 0.5220595 0.7266709
Moved 3678.409 587 672.3893 0.5254629 0.7314541
Moved 3678.44 590.2668 674.2668 0.5330251 0.7362828
Moved 3678.47 591 674.8752 0.5347222 0.7378476
Moved 3678.501 592.3537 676.3537 0.5378558 0.7416503
Moved 3678.532 593.5773 677 0.5406882 0.7433126
Stationary 3678.563 594 677 0.5416667 0.7433126
Moved 3678.593 595.5 678.5 0.545139 0.7471706
Moved 3678.624 596 678.8502 0.5462963 0.7480713
Moved 3678.655 596 679.5 0.5462963 0.7497426
Moved 3678.686 597 679 0.548611 0.7484568
Moved 3678.716 597 680 0.548611 0.7510287
Stationary 3678.747 597 680 0.548611 0.7510287
Moved 3678.778 586.5048 680 0.5243165 0.7510287
Moved 3678.808 578.8409 680 0.5065761 0.7510287
Moved 3678.839 564.7551 671.2572 0.4739701 0.728542
Moved 3678.87 552.496 667.748 0.4455927 0.7195164
Moved 3678.901 537.0389 663.0156 0.4098123 0.7073445
Moved 3678.931 520.5 655.5 0.3715278 0.6880143
Moved 3678.962 509.4691 650.2346 0.3459932 0.6744714
Moved 3678.993 495.973 642.2298 0.3147524 0.653883
Moved 3679.023 482.82 630.6833 0.2843056 0.6241855
Moved 3679.054 460.7533 601.283 0.2332253 0.5485672
Moved 3679.085 438.8809 558.7618 0.1825947 0.4392021
Moved 3679.115 422.2216 518.1093 0.1440313 0.334643
Moved 3679.146 411.1371 486.4388 0.118373 0.2531862
Moved 3679.177 403.437 459.4566 0.1005486 0.1837875
Moved 3679.208 395.5562 422.3369 0.08230586 0.08831487
Moved 3679.239 392.5 392.5 0.07523149 0.01157403
Moved 3679.269 389.9113 370.3793 0.06923914 -0.04532088
Moved 3679.3 390 345.2698 0.06944448 -0.1099027
Moved 3679.331 390 325.1129 0.06944448 -0.1617467
