this is too much to handle
this is too much to handle
FixStart
Radial

0.6 0.6
432 388.8
Began 4084.878 378 416 0.04166663 0.07201634
Stationary 4084.909 378 416 0.04166663 0.07201634
Moved 4084.94 367.3406 436.2906 0.01699209 0.1242043
Moved 4084.97 352.7769 468.4909 -0.01672024 0.2070238
Moved 4085.001 337.6273 500.1833 -0.05178869 0.2885372
Moved 4085.032 323.8666 531.1202 -0.0836422 0.3681073
Moved 4085.063 311.8149 555.0739 -0.1115396 0.4297169
Moved 4085.093 306.3375 573.2125 -0.1242187 0.4763694
Moved 4085.124 303.2814 585.1558 -0.131293 0.5070878
Moved 4085.155 301 594.7683 -0.1365741 0.5318114
Moved 4085.186 301 602.352 -0.1365741 0.5513167
Moved 4085.216 301 607.9776 -0.1365741 0.5657859
Moved 4085.247 301 610 -0.1365741 0.5709876
Moved 4085.278 301 612.7092 -0.1365741 0.5779556
Moved 4085.308 301 614.2904 -0.1365741 0.5820225
Stationary 4085.339 301 614 -0.1365741 0.5812756
Stationary 4085.37 301 614 -0.1365741 0.5812756
Moved 4085.401 323.1691 585.9294 -0.08525664 0.5090775
Moved 4085.431 344.4097 554.5193 -0.03608867 0.4282904
Moved 4085.462 366.4341 514.1319 0.01489361 0.3244132
Moved 4085.493 378.475 484.7651 0.04276613 0.2488813
Moved 4085.523 386.917 462.1937 0.06230781 0.1908273
Moved 4085.554 394.968 444.064 0.08094449 0.1441973
Moved 4085.585 399.694 432.6121 0.09188424 0.1147429
Moved 4085.616 402 422.3546 0.09722222 0.08836059
Moved 4085.646 404 418.168 0.1018518 0.07759263
Moved 4085.677 405 414.5 0.1041667 0.0681584
Moved 4085.708 406.5216 413 0.107689 0.06430033
Moved 4085.739 408.3846 412 0.1120014 0.06172835
Moved 4085.769 409.5 412 0.1145834 0.06172835
Moved 4085.8 432.5186 466.709 0.167867 0.2024409
Moved 4085.831 444.2968 515.0779 0.1951316 0.3268464
Moved 4085.862 449 547 0.2060185 0.4089505
Moved 4085.892 452.0175 568.1396 0.2130034 0.4633218
Moved 4085.923 454.882 587.2924 0.2196344 0.5125831
Moved 4085.954 455 597.4978 0.2199073 0.5388317
Moved 4085.984 455 602.4373 0.2199073 0.5515362
Moved 4086.015 439.2143 604 0.1833665 0.5555555
Moved 4086.046 407.6625 591.6885 0.1103299 0.52389
Moved 4086.077 343.538 552.325 -0.03810649 0.4226464
Moved 4086.107 251.4663 481.7472 -0.2512355 0.2411193
Moved 4086.138 226.9761 458.251 -0.3079257 0.1806867
Moved 4086.169 206.0872 438.0872 -0.3562797 0.1288249
Moved 4086.199 192.6646 424.886 -0.3873506 0.09487148
Moved 4086.23 188.4229 420.4229 -0.3971693 0.08339206
Moved 4086.261 188 419 -0.3981482 0.07973251
Ended 4086.292 188 419 -0.3981482 0.07973251
Candidates 4086.384 13 this thus third reviews efforts reports edited retired whites thread errors routes tries
Began 4086.906 310 502 -0.1157407 0.2932098
Moved 4086.937 354.9049 502 -0.01179422 0.2932098
Moved 4086.968 414.5218 502 0.1262079 0.2932098
Moved 4086.999 467 502 0.2476852 0.2932098
Moved 4087.029 507.3693 514.3744 0.3411326 0.3250369
Moved 4087.06 524.2155 517.2431 0.3801285 0.3324154
Moved 4087.091 533.3227 518 0.4012099 0.3343621
Ended 4087.121 537 519 0.4097222 0.3369341
Accept 4087.244 0 this
Began 4087.951 330 419 -0.06944443 0.07973251
Moved 4087.982 352.9289 439.636 -0.01636838 0.1328086
Moved 4088.012 423.9135 513.2432 0.1479479 0.3221275
Moved 4088.043 446.1644 546.7465 0.1994545 0.4082986
Moved 4088.074 462.6658 568.3989 0.2376523 0.4639889
Moved 4088.105 469.5973 579.1945 0.2536973 0.4917554
Moved 4088.135 471.4655 583.4655 0.2580218 0.5027403
Moved 4088.166 471 584.5 0.2569444 0.5054011
Moved 4088.197 462.5402 585 0.2373616 0.5066872
Moved 4088.228 431.2511 567.5507 0.164933 0.4618072
Moved 4088.258 369 521 0.02083332 0.3420781
Moved 4088.289 287.7658 454.9147 -0.1672089 0.1721057
Moved 4088.32 257.7766 426.7766 -0.2366283 0.09973384
Moved 4088.351 235.6799 403.7932 -0.2877781 0.0406204
Moved 4088.381 220.9004 388.9005 -0.3219897 0.002315937
Moved 4088.412 210.1283 379.4189 -0.3469251 -0.02207085
Moved 4088.443 204.6836 373.8418 -0.3595287 -0.03641521
Moved 4088.473 202.9678 372 -0.3635005 -0.04115226
Ended 4088.504 203 372 -0.3634259 -0.04115226
Candidates 4088.596 13 is goods odds good gods id kids ups his god foods hits hood
Began 4089.057 298 464 -0.1435185 0.1954732
Moved 4089.088 331.8308 464 -0.06520654 0.1954732
Moved 4089.119 390.4507 464 0.07048766 0.1954732
Moved 4089.149 456.1379 464 0.2225415 0.1954732
Moved 4089.18 503.1255 464 0.3313089 0.1954732
Moved 4089.211 516.9207 464 0.3632423 0.1954732
Moved 4089.242 524.1948 464 0.3800806 0.1954732
Ended 4089.272 526 464 0.3842592 0.1954732
Accept 4089.334 0 is
Began 4090.071 341 371 -0.04398147 -0.04372435
Stationary 4090.102 341 371 -0.04398147 -0.04372435
Moved 4090.133 328.8192 396.6567 -0.07217769 0.02226519
Moved 4090.164 311.6975 429.4421 -0.1118113 0.1065896
Moved 4090.194 290.5354 468.9292 -0.1607977 0.2081512
Moved 4090.225 272.6765 507.8086 -0.2021376 0.3081496
Moved 4090.256 264.0975 531.1588 -0.2219965 0.3682066
Moved 4090.286 262 541.9337 -0.2268519 0.3959199
Moved 4090.317 261 547.6973 -0.2291666 0.4107439
Moved 4090.348 261 552.4236 -0.2291666 0.4229002
Moved 4090.379 272.5495 558.1832 -0.2024318 0.4377138
Moved 4090.409 321.6601 562 -0.08874982 0.4475308
Moved 4090.44 375.3181 562 0.03545851 0.4475308
Moved 4090.471 411.2785 554.1722 0.1187002 0.4273975
Moved 4090.501 435.5 551.5 0.1747686 0.4205247
Moved 4090.532 453.3504 548.775 0.2160889 0.4135157
Moved 4090.563 465.4121 546.897 0.2440095 0.4086855
Moved 4090.594 471.9438 547 0.2591291 0.4089505
Moved 4090.625 475.3622 547 0.2670421 0.4089505
Moved 4090.655 477 545.6385 0.2708333 0.4054488
Ended 4090.686 478 546 0.2731481 0.4063785
Candidates 4090.747 13 to ri rio too trip rep eu grip rip hero trio rp ep
Began 4092.13 304 458 -0.1296296 0.180041
Moved 4092.161 315.0355 445.585 -0.1040845 0.1481096
Moved 4092.192 346.6051 416.3949 -0.03100663 0.07303202
Moved 4092.222 368.9118 395.2022 0.02062907 0.01852412
Moved 4092.253 387.7138 376.2861 0.06415237 -0.03012834
Moved 4092.284 405 358 0.1041667 -0.07716057
Ended 4092.315 420.429 343.9758 0.1398821 -0.113231
Accept 4092.376 3 too
Began 4093.421 335 487 -0.05787035 0.2546296
Moved 4093.451 354.51 467.49 -0.01270831 0.2044495
Moved 4093.482 383.6643 440.8685 0.05477845 0.1359787
Moved 4093.513 410.7559 415.4219 0.1174904 0.07052939
Moved 4093.544 440.0425 382.6968 0.1852836 -0.0136399
Moved 4093.574 459.9442 356.0698 0.2313523 -0.08212516
Moved 4093.605 474.7877 333.1397 0.2657123 -0.1411016
Moved 4093.636 480.8917 321.3248 0.2798419 -0.1714896
Moved 4093.667 483.77 315.23 0.2865046 -0.1871657
Moved 4093.697 484 313.3616 0.287037 -0.1919713
Moved 4093.728 484 312.5 0.287037 -0.1941873
Moved 4093.759 466.4033 345.9959 0.2463039 -0.1080353
Moved 4093.79 446.9669 404.0992 0.2013123 0.0414074
Moved 4093.82 430.2103 451.5665 0.1625238 0.1634941
Moved 4093.851 426.0267 465.1633 0.1528395 0.1984653
Moved 4093.882 417.6025 501.9874 0.1333392 0.2931773
Moved 4093.912 410.8759 536.7446 0.1177684 0.3825734
Moved 4093.943 404.2161 567.1357 0.102352 0.46074
Moved 4093.974 394.7086 595.5827 0.08034408 0.533906
