the five boxing wizards jump quickly
the five boxing wizards jump quickly
Basic
List

0.6 0.6
432 388.8
Began 871.0839 343 427 -0.03935183 0.1003086
Moved 871.1146 322.1595 436.1513 -0.08759364 0.1238459
Moved 871.1453 292.4298 450.4928 -0.1564124 0.1607324
Moved 871.176 277.1626 456.935 -0.1917533 0.1773019
Moved 871.2067 265.5002 465.4998 -0.2187495 0.1993307
Moved 871.2374 258.5837 471.4163 -0.23476 0.2145481
Moved 871.2682 253.4181 476.5819 -0.2467173 0.2278341
Moved 871.299 252.5 477.5 -0.2488426 0.2301954
Moved 871.3297 247.1502 486.6996 -0.2612264 0.2538569
Moved 871.3604 238.5434 499.9132 -0.2811495 0.2878425
Moved 871.3911 234 511 -0.2916667 0.3163579
Moved 871.4218 231.8364 518.3272 -0.2966751 0.3352037
Moved 871.4526 231 523.0316 -0.2986111 0.3473033
Moved 871.4833 231 524 -0.2986111 0.3497942
Moved 871.514 231 526.2517 -0.2986111 0.3555856
Moved 871.5447 231 527 -0.2986111 0.3575102
Moved 871.5754 246.2511 529.3128 -0.2633076 0.3634588
Moved 871.6062 275.3416 530 -0.1959685 0.3652262
Moved 871.6369 323.7751 515.8441 -0.08385395 0.3288171
Moved 871.6677 370.4383 497.1391 0.02416273 0.2807074
Moved 871.6984 400.0448 484.2601 0.09269624 0.2475826
Moved 871.7291 414.957 474.043 0.1272154 0.2213039
Moved 871.7598 422.8616 461.5535 0.145513 0.1891808
Moved 871.7905 424 450.7897 0.1481481 0.161496
Moved 871.8212 424 440.7897 0.1481481 0.1357759
Moved 871.852 424 432.482 0.1481481 0.1144083
Moved 871.8827 424 423.0261 0.1481481 0.09008768
Moved 871.9134 417 413.5248 0.1319444 0.06565011
Moved 871.9442 417 405.5 0.1319444 0.04501017
Moved 871.9749 417 398.0396 0.1319444 0.02582185
Moved 872.0056 417 392.6069 0.1319444 0.01184891
Moved 872.0363 417 385.8822 0.1319444 -0.005447089
Moved 872.067 416.4047 379.8093 0.1305664 -0.02106662
Moved 872.0978 410.1462 373.6096 0.1160792 -0.03701229
Moved 872.1285 394.9771 367.3257 0.08096556 -0.0531746
Moved 872.1592 372.0566 367 0.02790888 -0.05401234
Moved 872.1899 347.7415 372.0809 -0.02837618 -0.04094418
Moved 872.2206 326.413 380.1957 -0.07774775 -0.02007284
Moved 872.2514 311.1924 387.8717 -0.1129805 -0.0003300576
Moved 872.2821 299.9347 397.0522 -0.1390401 0.02328241
Moved 872.3129 290.3193 406.6807 -0.1612979 0.04804705
Moved 872.3436 279.9526 415.0474 -0.1852949 0.06956634
Moved 872.3743 270.0725 426.5701 -0.2081655 0.09920272
Moved 872.405 262.5197 437.8005 -0.2256488 0.1280876
Moved 872.4357 256.9484 448.1032 -0.2385454 0.1545864
Moved 872.4664 252.2108 459.5784 -0.2495121 0.1841009
Moved 872.4972 250.6827 463.952 -0.2530493 0.1953496
Moved 872.5279 247.9158 473.5052 -0.2594542 0.2199207
Moved 872.5587 246.6239 479.8805 -0.2624447 0.2363181
Moved 872.5894 245 495.7916 -0.2662037 0.2772417
Moved 872.6201 245 504.1144 -0.2662037 0.2986482
Moved 872.6508 245 510.7284 -0.2662037 0.3156593
Moved 872.6816 245 515.4793 -0.2662037 0.3278788
Moved 872.7123 245 518.0904 -0.2662037 0.3345946
Moved 872.743 243.7437 519.2563 -0.2691119 0.3375935
Moved 872.7737 243 520 -0.2708333 0.3395061
Ended 872.8044 243 520 -0.2708333 0.3395061
Candidates 872.9274 13 drive the height driver twice artist gender derive george degree wife where wide
Began 873.6648 369 536 0.02083332 0.3806583
Stationary 873.6955 369 536 0.02083332 0.3806583
Moved 873.7263 369 549.2576 0.02083332 0.4147572
Moved 873.757 369 559.5 0.02083332 0.4411007
Moved 873.7877 369 574.1628 0.02083332 0.4788137
Moved 873.8184 369 587.5147 0.02083332 0.513155
Moved 873.8491 369 597.8969 0.02083332 0.5398582
Moved 873.8798 369 606.4472 0.02083332 0.5618498
Moved 873.9106 369 615.1503 0.02083332 0.5842341
Moved 873.9413 369 621.4718 0.02083332 0.6004931
Moved 873.972 369 626.2203 0.02083332 0.6127065
Moved 874.0027 369 631.3607 0.02083332 0.6259276
Moved 874.0334 369 633.8948 0.02083332 0.6324455
Moved 874.0642 369 637.1102 0.02083332 0.6407155
Moved 874.0949 369 641.7274 0.02083332 0.652591
Moved 874.1256 369 646.4087 0.02083332 0.6646313
Moved 874.1564 369 649.5844 0.02083332 0.6727991
Moved 874.1871 369 653.4535 0.02083332 0.6827508
