the back yard of our house
the back yard of our house
FixStart
List

0.6 0.6
432 388.8
Began 2116.034 492 282 0.3055556 -0.2726338
Moved 2116.065 492 302.1583 0.3055556 -0.2207863
Moved 2116.095 483.2812 333.4554 0.2853732 -0.1402896
Moved 2116.126 478.7741 360.6455 0.27494 -0.07035621
Moved 2116.157 470.1491 391.5527 0.2549748 0.009137652
Moved 2116.188 461.5517 414.8621 0.2350734 0.06908958
Moved 2116.219 449.5945 435.1083 0.2073946 0.1211631
Moved 2116.249 443.1978 446.7033 0.1925875 0.1509858
Moved 2116.28 439.2296 453.5407 0.183402 0.1685717
Moved 2116.311 438 456.6394 0.1805556 0.1765416
Moved 2116.341 438 458 0.1805556 0.180041
Moved 2116.372 462.424 444.5407 0.2370926 0.1454236
Moved 2116.403 499.8893 409.2032 0.3238178 0.05453509
Moved 2116.434 521.8544 381.0621 0.3746629 -0.01784438
Moved 2116.464 532.3732 357.5671 0.3990119 -0.07827406
Moved 2116.495 536.2118 338.5176 0.4078976 -0.1272694
Moved 2116.525 537 317.4073 0.4097222 -0.1815655
Moved 2116.556 537 298.3162 0.4097222 -0.2306682
Moved 2116.587 519.6153 273.7076 0.3694798 -0.2939621
Moved 2116.618 509.9734 258.6311 0.3471606 -0.332739
Moved 2116.649 501.3508 248.3508 0.3272009 -0.35918
Moved 2116.679 495.5587 242.5587 0.3137932 -0.3740774
Moved 2116.71 489.824 238.412 0.3005185 -0.3847429
Moved 2116.741 481.6159 236 0.2815183 -0.3909465
Moved 2116.771 467.012 236 0.2477129 -0.3909465
Moved 2116.802 441.0683 257.1691 0.1876582 -0.3364993
Moved 2116.833 406.4877 291.2632 0.1076103 -0.2488087
Moved 2116.864 375.9807 331.5289 0.03699243 -0.1452447
Moved 2116.895 362.5949 356.8101 0.006006757 -0.08022096
Moved 2116.925 354.9792 386.1459 -0.01162231 -0.004768921
Moved 2116.956 351.1207 404.3965 -0.02055397 0.04217214
Moved 2116.987 350 418.7439 -0.02314816 0.07907373
Moved 2117.018 347.6835 433.5823 -0.02851034 0.1172383
Moved 2117.048 346 444.6087 -0.03240739 0.1455984
Ended 2117.079 345 448 -0.03472224 0.1543209
Candidates 2117.171 13 the there river these rubber rice tube use driver user ride else tiger
Began 2118.124 453 470 0.2152778 0.2109053
Moved 2118.155 453 456.1502 0.2152778 0.1752834
Moved 2118.185 453 411.0591 0.2152778 0.05930829
Moved 2118.216 466.2606 335.3353 0.2459737 -0.1354546
Moved 2118.247 477.844 283.741 0.272787 -0.268156
Moved 2118.277 483.8325 256.1724 0.2866494 -0.3390628
Moved 2118.308 485.7108 243.1569 0.2909972 -0.372539
Moved 2118.339 486 236.693 0.2916667 -0.3891641
Moved 2118.37 478.5043 232.9292 0.2743155 -0.3988447
Moved 2118.4 451.6216 243.3784 0.212087 -0.3719691
Moved 2118.431 411.4522 264.6796 0.1191023 -0.3171822
Moved 2118.462 374.2493 287.5942 0.03298451 -0.2582455
Moved 2118.492 333.5739 306.4683 -0.06117165 -0.2097009
Moved 2118.523 297.8451 321.6299 -0.1438772 -0.1707049
Moved 2118.554 268.3313 337.0567 -0.212196 -0.1310271
Moved 2118.585 235.039 360.9688 -0.2892615 -0.06952474
Moved 2118.615 216.1647 383.5695 -0.3329522 -0.0113955
Moved 2118.646 214 393.7053 -0.3379629 0.0146741
Moved 2118.677 214 400.7951 -0.3379629 0.03290914
Moved 2118.708 214 406.6746 -0.3379629 0.04803135
Moved 2118.739 241.7438 409 -0.2737413 0.05401234
Moved 2118.769 294.72 381.9368 -0.1511111 -0.01559458
Moved 2118.8 340.451 341.4758 -0.04525219 -0.1196612
Moved 2118.83 373.2919 302.8788 0.03076831 -0.2189331
Moved 2118.861 397.6343 272.2528 0.08711656 -0.2977037
Moved 2118.892 408.5731 256.2836 0.1124377 -0.3387766
Moved 2118.923 417.2142 244.7859 0.1324402 -0.3683491
Moved 2118.953 421.9435 237.113 0.1433877 -0.3880838
Moved 2118.984 427.6297 231.3702 0.1565502 -0.4028543
Moved 2119.015 431.7198 227.6401 0.1660181 -0.4124482
Moved 2119.046 435.4696 224.7653 0.1746981 -0.4198425
Moved 2119.076 440.2007 221.8997 0.1856498 -0.4272129
Moved 2119.107 445.4288 221 0.1977519 -0.4295268
Moved 2119.138 452.9235 225.8088 0.2151007 -0.4171584
Moved 2119.169 463.3508 250.3771 0.2392379 -0.3539684
Moved 2119.199 477.0644 288.7675 0.2709825 -0.2552277
Moved 2119.23 491.4752 322.7326 0.3043408 -0.1678688
Moved 2119.261 510.5948 355.8768 0.348599 -0.08262155
Moved 2119.292 532.6719 387.1965 0.3997036 -0.002066569
Moved 2119.322 551.7761 406.3795 0.4439261 0.04727234
Moved 2119.353 565.6915 418.7532 0.4761378 0.07909775
Moved 2119.384 579.2059 426.603 0.5074211 0.09928742
Moved 2119.415 592.0264 433.3509 0.537098 0.1166432
Moved 2119.445 601.537 438.2685 0.5591134 0.1292913
Moved 2119.476 612.1757 442.1172 0.5837401 0.1391902
Moved 2119.507 619.7833 444.9277 0.6013502 0.1464191
Moved 2119.537 626.6004 446.8002 0.6171306 0.1512349
Moved 2119.568 634.0388 450.6925 0.634349 0.1612461
Ended 2119.599 642 453 0.6527777 0.167181
Accept 2119.691 0 the
Candidates 2119.691 13 back bank nacl ball call jack basal cl naval lack mgcl mall black
Began 2120.767 446 345 0.199074 -0.1105968
Stationary 2120.797 446 345 0.199074 -0.1105968
Moved 2120.828 446 353.4418 0.199074 -0.08888441
Moved 2120.859 460.4256 381.0853 0.2324666 -0.01778481
Moved 2120.89 467.6926 410.7703 0.2492884 0.05856541
Moved 2120.92 476.5791 449.9305 0.2698591 0.1592862
Moved 2120.951 480.0554 471.3875 0.277906 0.2144738
Moved 2120.982 481 490.5518 0.2800926 0.2637647
Moved 2121.013 481 503.5266 0.2800926 0.2971361
Moved 2121.043 470.0867 516.4567 0.2548302 0.3303926
Moved 2121.074 457.5811 530.9459 0.2258822 0.3676592
Moved 2121.105 436.54 539.6578 0.1771759 0.3900662
Moved 2121.135 396.0312 541 0.08340547 0.3935184
Moved 2121.166 351.5 519 -0.01967594 0.3369341
Moved 2121.197 295.435 483.824 -0.149456 0.2464607
Moved 2121.228 258.764 448.8743 -0.2343426 0.1565696
Moved 2121.258 231.6483 417.1193 -0.2971104 0.07489514
Moved 2121.289 213.8299 390.2938 -0.3383567 0.005899672
Moved 2121.32 201 364.5 -0.3680556 -0.06044246
Moved 2121.351 191.8747 346.7495 -0.3891789 -0.1060972
Moved 2121.381 184.1813 326.725 -0.4069878 -0.1576003
Moved 2121.412 177.4561 309.9121 -0.4225554 -0.2008434
Moved 2121.443 174.787 299.148 -0.4287338 -0.2285288
Moved 2121.474 174 294.846 -0.4305556 -0.2395937
Stationary 2121.504 174 295 -0.4305556 -0.2391976
Moved 2121.535 208.463 317.9434 -0.35078 -0.180187
Moved 2121.566 271.3938 352.1969 -0.205107 -0.09208623
Moved 2121.596 318.1152 373.3871 -0.09695555 -0.03758473
Moved 2121.627 360.093 394.6496 0.0002151728 0.01710279
Moved 2121.658 377.8796 406.0663 0.04138787 0.0464667
