players must know all the rules
players must know all the rules
Basic
List

0.6 0.6
432 388.8
Began 735.8725 501 487 0.3263889 0.2546296
Stationary 735.9032 501 487 0.3263889 0.2546296
Stationary 735.9339 501 487 0.3263889 0.2546296
Stationary 735.9647 501 487 0.3263889 0.2546296
Stationary 735.9954 501 487 0.3263889 0.2546296
Stationary 736.0261 501 487 0.3263889 0.2546296
Stationary 736.0569 501 487 0.3263889 0.2546296
Moved 736.0875 501 502.8701 0.3263889 0.2954476
Moved 736.1182 501 512.265 0.3263889 0.3196116
Moved 736.149 501 520.5117 0.3263889 0.3408222
Moved 736.1797 501 526.7563 0.3263889 0.3568833
Moved 736.2105 501 534.8317 0.3263889 0.3776535
Moved 736.2411 501 541.6403 0.3263889 0.3951654
Moved 736.2719 505.8468 545.6924 0.3376082 0.4055873
Moved 736.3026 509.1731 548.1731 0.3453081 0.4119677
Moved 736.3334 511.1018 549 0.3497727 0.4140946
Moved 736.3641 518.9174 549 0.3678643 0.4140946
Moved 736.3948 533.2443 549 0.4010285 0.4140946
Moved 736.4255 545.7629 549 0.4300067 0.4140946
Moved 736.4563 555.6996 549 0.4530084 0.4140946
Moved 736.487 562.2162 539.8918 0.4680932 0.3906682
Moved 736.5177 566.4579 538.2711 0.4779119 0.3864995
Moved 736.5484 568.5173 536.4827 0.482679 0.3818998
Moved 736.5792 570.1934 533.6131 0.4865589 0.3745192
Moved 736.6099 570 527.2048 0.4861112 0.3580369
Moved 736.6406 570 514.2737 0.4861112 0.3247781
Moved 736.6713 560.0131 499.6884 0.4629932 0.2872643
Moved 736.702 552.9464 486.366 0.4466352 0.2529988
Moved 736.7328 546.1907 469.572 0.4309969 0.2098045
Moved 736.7635 543.0513 459.1282 0.4237298 0.1829428
Moved 736.7943 540.1559 447.6235 0.4170275 0.1533525
Moved 736.825 534.5964 430.0876 0.4041584 0.1082499
Moved 736.8557 528.4489 411.714 0.3899279 0.06099265
Moved 736.8864 519.6685 386.116 0.369603 -0.004845843
Moved 736.9171 511.0388 362.1036 0.3496269 -0.0666061
Moved 736.9479 502.9633 342.6858 0.3309335 -0.116549
Moved 736.9786 490.3882 319.0449 0.3018244 -0.1773537
Moved 737.0093 481.6138 304.4851 0.2815135 -0.2148018
Moved 737.04 466.0392 297.0056 0.2454612 -0.2340391
Moved 737.0707 439.3984 302.9414 0.1837926 -0.2187722
Moved 737.1015 378.2408 331.0397 0.04222393 -0.146503
Moved 737.1322 357.9508 339.7354 -0.004743586 -0.1241374
Moved 737.1629 326.1163 344.157 -0.0784345 -0.112765
Moved 737.1937 296.1586 345 -0.147781 -0.1105968
Moved 737.2244 255.1282 345 -0.2427588 -0.1105968
Moved 737.2551 230.9524 338 -0.2987214 -0.1286009
Moved 737.2858 219.675 336.7094 -0.3248264 -0.1319205
Moved 737.3165 202.975 336 -0.3634838 -0.1337449
Moved 737.3472 184.3139 336 -0.4066809 -0.1337449
Moved 737.378 170.5521 336 -0.4385367 -0.1337449
Moved 737.4087 162.6767 344.8621 -0.4567668 -0.1109514
Moved 737.4395 155.9899 349.0101 -0.4722457 -0.1002827
Moved 737.4702 152.1248 355.6256 -0.4811926 -0.08326746
Moved 737.5009 152 379.0513 -0.4814814 -0.02301628
Moved 737.5316 160.7384 389.9868 -0.4612536 0.005109889
Moved 737.5623 185.336 421.5789 -0.4043148 0.08636541
Moved 737.5931 226.8888 457.9126 -0.3081279 0.1798163
Moved 737.6238 272.818 482.9272 -0.2018102 0.2441541
Moved 737.6545 329.7866 501.4589 -0.0699384 0.2918181
Moved 737.6852 368.3636 507.2803 0.01936019 0.3067907
Moved 737.7159 397.3685 510.152 0.08650124 0.314177
Moved 737.7467 424.0824 511 0.1483388 0.3163579
Moved 737.7774 448.8123 511 0.2055842 0.3163579
Moved 737.8081 468.9181 511 0.2521252 0.3163579
Moved 737.8389 479.8673 512.2891 0.2774706 0.3196736
Moved 737.8696 483 513 0.2847222 0.321502
Moved 737.9003 483 514.7372 0.2847222 0.32597
Moved 737.931 469.9406 519.2119 0.2544923 0.337479
Moved 737.9618 438.4804 523.1085 0.1816675 0.3475012
Moved 737.9925 389.808 524 0.06899992 0.3497942
Moved 738.0232 354.2289 524 -0.01335909 0.3497942
Moved 738.0539 330.1342 514.4743 -0.06913368 0.3252939
Moved 738.0847 304.5342 509.4668 -0.128393 0.3124145
Moved 738.1154 277.7204 502.7156 -0.1904621 0.2950505
Moved 738.1461 258.9424 497.9885 -0.2339296 0.2828921
Moved 738.1768 241.3584 492.6738 -0.2746334 0.2692228
Moved 738.2072 227.289 487.1445 -0.3072014 0.2550011
Moved 738.2383 215.7776 483.6944 -0.3338482 0.2461274
Moved 738.269 208.4791 479.6527 -0.3507429 0.2357322
Moved 738.2997 205.3041 479 -0.3580924 0.2340534
Moved 738.3304 202.5 478 -0.3645833 0.2314814
Moved 738.3612 201.996 478 -0.36575 0.2314814
Moved 738.3919 211.2436 478 -0.3443435 0.2314814
Moved 738.4227 233.8934 478 -0.2919134 0.2314814
Moved 738.4534 263.7859 478 -0.2227178 0.2314814
Moved 738.4841 282.7213 478 -0.1788858 0.2314814
Moved 738.5148 293.3509 478 -0.1542804 0.2314814
Moved 738.5455 301.0947 478 -0.136355 0.2314814
Moved 738.5762 303.904 478 -0.1298518 0.2314814
Moved 738.607 305.5 478 -0.1261574 0.2314814
Stationary 738.6377 305.5 478 -0.1261574 0.2314814
