electric cars need big fuel cells
electric cars need big fuel cells
Basic
Radial

0.6 0.6
432 388.8
Began 1476.014 280 551 -0.1851852 0.4192385
Stationary 1476.045 280 551 -0.1851852 0.4192385
Stationary 1476.075 280 551 -0.1851852 0.4192385
Moved 1476.106 298.2244 537.5171 -0.1429992 0.3845603
Moved 1476.137 312.0873 522.9127 -0.1109091 0.3469976
Moved 1476.167 327.2743 507.7257 -0.07575397 0.3079364
Moved 1476.198 344.7185 496.7323 -0.03537382 0.2796612
Moved 1476.229 364 486 0.009259283 0.2520575
Moved 1476.26 395.4696 471.2652 0.08210559 0.2141594
Moved 1476.29 428.5621 456.3544 0.1587087 0.1758085
Moved 1476.321 456.7762 440.6306 0.224019 0.1353666
Moved 1476.352 476.6075 427.3364 0.2699248 0.1011738
Moved 1476.383 493.4542 412.5458 0.3089216 0.06313226
Moved 1476.413 504.334 400.2213 0.3341066 0.03143342
Moved 1476.444 510.4113 391.1773 0.3481744 0.008172007
Moved 1476.475 513.6261 386.3739 0.355616 -0.004182392
Moved 1476.505 515 382.6119 0.3587963 -0.01385826
Moved 1476.536 516 379.8582 0.3611111 -0.02094104
Moved 1476.567 516 378.5 0.3611111 -0.02443423
Moved 1476.598 505.097 379 0.3358727 -0.02314815
Moved 1476.628 476.7118 404.9368 0.2701663 0.04356172
Moved 1476.659 447.5429 421.2285 0.2026457 0.08546425
Moved 1476.69 417 432.5 0.1319444 0.1144546
Moved 1476.72 386.627 442.0933 0.06163666 0.1391287
Moved 1476.751 357.9429 449.5682 -0.004761865 0.1583545
Moved 1476.782 330.5 454.5 -0.06828706 0.171039
Moved 1476.813 308.4529 457.8868 -0.1193221 0.1797499
Moved 1476.843 285.2918 460 -0.1729356 0.1851851
Moved 1476.874 267.0615 461 -0.2151354 0.1877571
Moved 1476.905 249.8075 461 -0.2550751 0.1877571
Moved 1476.936 240.9512 462.6097 -0.2755758 0.1918974
Moved 1476.966 231.9069 464 -0.2965118 0.1954732
Moved 1476.997 225.7518 466 -0.3107598 0.2006171
Moved 1477.028 222.5 467 -0.318287 0.2031892
Moved 1477.058 220.6964 468 -0.322462 0.2057612
Moved 1477.089 221 458.7247 -0.3217593 0.1819049
Moved 1477.12 221 421.9841 -0.3217593 0.0874077
Moved 1477.151 234.5 380 -0.2905093 -0.02057613
Moved 1477.181 246.1398 342.5527 -0.2635653 -0.1168913
Moved 1477.212 255.3244 312.252 -0.2423047 -0.1948251
Moved 1477.243 265 291 -0.2199074 -0.2494857
Moved 1477.274 275.8701 274.1624 -0.1947451 -0.2927923
Moved 1477.304 286.8235 258.4706 -0.16939 -0.3331519
Moved 1477.335 291.4492 250.1016 -0.1586824 -0.3546771
Moved 1477.366 295.1962 244.6077 -0.1500089 -0.3688075
Moved 1477.396 296.5 243.5 -0.1469907 -0.3716564
Moved 1477.427 298.3297 242 -0.1427554 -0.3755144
Moved 1477.458 300.091 242 -0.1386782 -0.3755144
Moved 1477.489 302.8509 258.6582 -0.1322895 -0.3326692
Moved 1477.519 304 292.8475 -0.1296296 -0.2447338
Moved 1477.55 304 338.7297 -0.1296296 -0.1267239
Moved 1477.581 304 377.6865 -0.1296296 -0.02652667
Moved 1477.612 304 405.5 -0.1296296 0.04501017
Moved 1477.642 294.0269 437.7574 -0.1527154 0.1279767
Moved 1477.673 291.2705 459.1064 -0.159096 0.1828867
Moved 1477.704 289.5182 474.4087 -0.1631522 0.2222445
Moved 1477.734 289 484.8026 -0.1643519 0.2489779
Moved 1477.765 289 493.3735 -0.1643519 0.2710224
Moved 1477.796 289 500.8654 -0.1643519 0.2902916
Moved 1477.827 297.3147 507.3756 -0.1451049 0.3070359
Moved 1477.857 299.2472 512.2472 -0.1406314 0.3195658
Moved 1477.888 305.7842 517.7842 -0.1254995 0.333807
Moved 1477.919 309.1454 520.1454 -0.1177189 0.33988
Moved 1477.949 311.9041 522 -0.1113331 0.3446501
Moved 1477.98 313.2989 523 -0.1081043 0.3472221
Moved 1478.011 313 524.0165 -0.1087963 0.3498367
Stationary 1478.042 313 524.0165 -0.1087963 0.3498367
Moved 1478.072 313 526.2702 -0.1087963 0.3556332
Moved 1478.103 301.0393 527 -0.1364832 0.3575102
Moved 1478.134 292.7968 528 -0.155563 0.3600822
Moved 1478.165 286.0174 529 -0.171256 0.3626543
Moved 1478.195 282.0732 530 -0.1803862 0.3652262
Moved 1478.226 278 530 -0.1898148 0.3652262
Moved 1478.257 276.5883 530 -0.1930827 0.3652262
