the union will go on strike
the union will go on strike
FixStart
Radial

0.6 0.6
432 388.8
Began 2322.456 406 281 0.1064815 -0.2752058
Stationary 2322.487 406 281 0.1064815 -0.2752058
Stationary 2322.518 406 281 0.1064815 -0.2752058
Stationary 2322.548 406 281 0.1064815 -0.2752058
Moved 2322.579 394.1668 303.6663 0.0790899 -0.2169077
Moved 2322.61 389.8643 323.0857 0.06913026 -0.1669607
Moved 2322.641 389 342.1467 0.06712963 -0.1179354
Moved 2322.671 388 359.9285 0.06481478 -0.07220037
Moved 2322.702 388 380.018 0.06481478 -0.0205299
Moved 2322.733 388 392.2278 0.06481478 0.01087385
Moved 2322.763 398.3538 399.5306 0.08878181 0.02965691
Moved 2322.794 404.7824 405.0869 0.103663 0.04394758
Moved 2322.825 414.2496 409.5624 0.1255777 0.05545875
Moved 2322.856 426.7061 411 0.1544124 0.05915629
Moved 2322.886 435.9906 411 0.1759041 0.05915629
Moved 2322.917 447.513 395.6087 0.2025764 0.01956967
Moved 2322.948 455.4939 384.0122 0.2210507 -0.01025667
Moved 2322.979 464.2346 362.6787 0.2412839 -0.06512677
Moved 2323.009 468.3052 328.1008 0.2507065 -0.1540617
Moved 2323.04 468 291.7309 0.25 -0.2476058
Moved 2323.071 468 268.8225 0.25 -0.3065265
Moved 2323.102 468 252 0.25 -0.3497943
Moved 2323.132 468 240.2045 0.25 -0.3801326
Moved 2323.163 468 231.751 0.25 -0.401875
Moved 2323.194 468 227.0079 0.25 -0.4140742
Moved 2323.224 464.2011 225 0.2412064 -0.4192387
Moved 2323.255 457.1645 224 0.2249177 -0.4218107
Moved 2323.286 438.6111 240.8818 0.1819702 -0.3783903
Moved 2323.317 415.5553 265.9263 0.1286002 -0.3139755
Moved 2323.347 398.1744 292.2043 0.08836657 -0.246388
Moved 2323.378 383.2607 315.8351 0.05384405 -0.1856094
Moved 2323.409 370.255 338.0537 0.02373844 -0.1284628
Moved 2323.439 362.0185 351.9753 0.004672409 -0.09265608
Moved 2323.47 353.4041 368.3265 -0.01526833 -0.05060054
Moved 2323.501 345.5322 386.4034 -0.03349031 -0.004106569
Moved 2323.532 338.1505 399.4659 -0.05057742 0.02949055
Moved 2323.562 332.6887 407.3113 -0.06322071 0.049669
Moved 2323.593 327.9464 414.0536 -0.07419814 0.06701013
Moved 2323.624 324.1024 416.8976 -0.08309638 0.07432517
Moved 2323.655 321.5 419.5 -0.08912037 0.08101848
Moved 2323.685 320 422.2791 -0.09259259 0.08816644
Moved 2323.716 316.8671 424.1329 -0.09984463 0.0929343
Moved 2323.747 317 425.0053 -0.09953702 0.09517818
Ended 2323.778 317 425.0053 -0.09953702 0.09517818
Candidates 2323.87 13 the there time tune june they rubber tube robert tiger fine summer under
Began 2324.3 229 356 -0.3032407 -0.0823046
Stationary 2324.331 229 356 -0.3032407 -0.0823046
Moved 2324.361 240.7445 356 -0.2760544 -0.0823046
Moved 2324.392 258.3264 356 -0.2353555 -0.0823046
Moved 2324.423 282.2047 356 -0.1800818 -0.0823046
Moved 2324.453 302.0533 356 -0.1341359 -0.0823046
Moved 2324.484 318.3615 356 -0.09638532 -0.0823046
Moved 2324.515 327.1367 356 -0.07607241 -0.0823046
Moved 2324.546 334.8362 356 -0.05824943 -0.0823046
Moved 2324.576 340.5743 356 -0.04496694 -0.0823046
Ended 2324.607 345 356 -0.03472224 -0.0823046
Accept 2324.668 0 the
Began 2325.007 360 279 0 -0.2803498
Stationary 2325.037 360 279 0 -0.2803498
Moved 2325.068 360 290.0733 0 -0.2518691
Moved 2325.099 372 308 0.02777775 -0.2057614
Moved 2325.129 381.1226 340.7418 0.04889478 -0.1215489
Moved 2325.16 390.9854 366.4634 0.07172545 -0.05539246
Moved 2325.191 397.228 385.6839 0.0861758 -0.005957089
Moved 2325.222 401.3202 395.6404 0.09564866 0.01965134
Moved 2325.252 405.5292 405.5876 0.1053916 0.04523548
Moved 2325.283 408.3936 410.7872 0.1120223 0.05860909
Moved 2325.314 410.2646 414.2646 0.1163532 0.06755303
Moved 2325.344 411.5 415 0.119213 0.06944436
Moved 2325.375 412 416 0.1203704 0.07201634
Moved 2325.406 414.5306 411.7552 0.1262282 0.06109885
Moved 2325.437 418.0759 393.3167 0.134435 0.01367447
Moved 2325.468 421 354.4075 0.1412037 -0.08640061
Moved 2325.498 421 298.7581 0.1412037 -0.2295318
Moved 2325.529 413.2943 264.5311 0.1233663 -0.317564
Moved 2325.56 411.7536 240.782 0.1198 -0.3786472
Moved 2325.59 412 217.0261 0.1203704 -0.4397476
Moved 2325.621 412 194.1339 0.1203704 -0.4986269
Moved 2325.652 412 181.5 0.1203704 -0.5311214
Moved 2325.683 412 167.2609 0.1203704 -0.5677447
Moved 2325.713 412 157.3202 0.1203704 -0.5933123
Moved 2325.744 412 149.6705 0.1203704 -0.6129873
Moved 2325.775 412 146.3577 0.1203704 -0.6215081
Moved 2325.805 412 144.9203 0.1203704 -0.625205
Stationary 2325.836 412 145 0.1203704 -0.625
Moved 2325.867 412 177.9779 0.1203704 -0.5401803
