I will meet you at noon
I will meet you at noon
FixStart
Radial

0.6 0.6
432 388.8
Began 2671.1 319 262 -0.09490739 -0.3240741
Stationary 2671.131 319 262 -0.09490739 -0.3240741
Stationary 2671.162 319 262 -0.09490739 -0.3240741
Moved 2671.192 335.025 284.835 -0.05781253 -0.2653421
Moved 2671.223 358.0951 318.1426 -0.004409601 -0.1796744
Moved 2671.254 364.9599 328.5438 0.01148115 -0.1529223
Moved 2671.284 377.6511 346.6511 0.04085899 -0.1063501
Moved 2671.315 385.5351 357.7134 0.05910893 -0.07789761
Moved 2671.346 396.284 370.2839 0.08399069 -0.04556609
Moved 2671.377 406.8631 384.8289 0.1084794 -0.008156192
Moved 2671.407 413.5191 393.3588 0.1238869 0.01378295
Moved 2671.438 418.7724 398.7725 0.1360473 0.02770691
Ended 2671.469 423.2538 402.2538 0.1464208 0.03666097
Candidates 2671.561 13 I ii iii u go gi o hi it you iu to guy
Began 2672.022 249 304 -0.2569445 -0.2160494
Stationary 2672.053 249 304 -0.2569445 -0.2160494
Stationary 2672.083 249 304 -0.2569445 -0.2160494
Stationary 2672.114 249 304 -0.2569445 -0.2160494
Moved 2672.145 268.6654 304 -0.2114227 -0.2160494
Moved 2672.176 290.2259 304 -0.1615141 -0.2160494
Moved 2672.206 307.09 304 -0.1224769 -0.2160494
Moved 2672.237 317.1601 304 -0.09916644 -0.2160494
Moved 2672.268 323.6653 304 -0.08410822 -0.2160494
Moved 2672.299 329.4082 311 -0.07081439 -0.1980453
Ended 2672.329 332 311 -0.06481484 -0.1980453
Accept 2672.391 0 I
Began 2672.698 332 229 -0.06481484 -0.4089506
Stationary 2672.729 332 229 -0.06481484 -0.4089506
Stationary 2672.76 332 229 -0.06481484 -0.4089506
Stationary 2672.79 332 229 -0.06481484 -0.4089506
Stationary 2672.821 332 229 -0.06481484 -0.4089506
Moved 2672.852 323.2706 238.6993 -0.08502176 -0.3840038
Moved 2672.882 313.4431 246.7046 -0.1077707 -0.3634141
Moved 2672.913 299.0214 256.1306 -0.1411542 -0.3391703
Moved 2672.944 283.7798 267.9761 -0.1764355 -0.3087034
Moved 2672.975 263.1596 283.7203 -0.2241676 -0.2682091
Moved 2673.005 244.082 298.918 -0.2683286 -0.2291205
Moved 2673.036 229.0672 311.444 -0.3030851 -0.1969034
Moved 2673.067 212.8392 327.1608 -0.3406501 -0.1564793
Moved 2673.097 201.0959 340.9041 -0.3678335 -0.1211314
Moved 2673.128 194.3547 351.2906 -0.3834383 -0.09441712
Moved 2673.159 190.3606 358.9181 -0.3926837 -0.07479922
Moved 2673.19 188 366.0139 -0.3981482 -0.0565488
Moved 2673.22 188 371.7532 -0.3981482 -0.04178702
Moved 2673.251 188 377.6627 -0.3981482 -0.02658765
Moved 2673.282 198.0231 386.2673 -0.3749464 -0.004456563
Moved 2673.313 216.0298 394.8862 -0.3332644 0.01771126
Moved 2673.343 242.9381 401.9876 -0.2709766 0.03597628
Moved 2673.374 279.9068 405.0604 -0.185401 0.04387961
Moved 2673.405 319.0014 405 -0.09490421 0.04372424
Moved 2673.436 349.9481 398.6415 -0.02326836 0.02737014
Moved 2673.466 372.3167 393.4852 0.02851089 0.01410794
Moved 2673.497 397.8737 387.5836 0.08767059 -0.00107098
Moved 2673.528 413.3591 383.9282 0.1235163 -0.01047291
Moved 2673.558 425.8096 381.0476 0.1523371 -0.01788182
Moved 2673.589 438.2803 376.0879 0.1812045 -0.03063822
Moved 2673.62 446.9618 372.6794 0.2013004 -0.03940495
Moved 2673.65 456.5279 366.6481 0.2234443 -0.05491759
Moved 2673.681 467.1736 357.8264 0.2480871 -0.07760719
Moved 2673.712 476.7921 347.6105 0.2703522 -0.1038826
Moved 2673.743 485.4104 337.1194 0.2903019 -0.1308657
Moved 2673.773 494.0079 323.6561 0.3102035 -0.1654936
Moved 2673.804 499.5694 310.8611 0.3230773 -0.1984025
Moved 2673.835 507.4807 291.5579 0.3413906 -0.2480509
Moved 2673.865 512.2105 270.7632 0.3523391 -0.3015352
Moved 2673.896 514.4696 253.713 0.3575685 -0.3453885
Moved 2673.927 516.0482 241.7588 0.3612227 -0.3761348
Moved 2673.958 516 224.6097 0.3611111 -0.4202424
Moved 2673.989 516 215.6486 0.3611111 -0.4432907
Ended 2674.019 516 215 0.3611111 -0.4449589
Candidates 2674.142 13 will wool still feel roll took grill tool week toll fell stroll well
Began 2674.603 289 257 -0.1643519 -0.3369342
Stationary 2674.634 289 257 -0.1643519 -0.3369342
Stationary 2674.665 289 257 -0.1643519 -0.3369342
Moved 2674.695 311.5054 257 -0.112256 -0.3369342
Moved 2674.726 328.106 265 -0.07382859 -0.3163581
Moved 2674.757 343.3087 267.4617 -0.03863717 -0.3100265
Moved 2674.787 355.3315 269 -0.01080677 -0.30607
Moved 2674.818 362.6967 271 0.006242494 -0.300926
Moved 2674.849 368.4856 272 0.01964261 -0.2983539
Ended 2674.88 369 272 0.02083332 -0.2983539
Accept 2674.94 0 will
Began 2675.218 315 304 -0.1041667 -0.2160494
Stationary 2675.248 315 304 -0.1041667 -0.2160494
Moved 2675.279 323.9327 290.601 -0.08348916 -0.2505119
Moved 2675.31 342.7384 259.6288 -0.03995746 -0.3301729
Moved 2675.341 360.6589 229.292 0.001525283 -0.4081996
Moved 2675.371 377.4256 198.6339 0.04033715 -0.4870527
Moved 2675.402 390.4699 177.4276 0.07053225 -0.5415956
Moved 2675.433 399.8392 162.3217 0.09222041 -0.5804484
Moved 2675.463 407.6245 149.751 0.1102419 -0.6127805
Moved 2675.494 412.6718 139.6564 0.1219256 -0.6387439
Moved 2675.525 415.5414 135.4586 0.128568 -0.6495407
Moved 2675.556 417.081 134 0.132132 -0.6532921
Stationary 2675.586 417.081 134 0.132132 -0.6532921
Moved 2675.617 418 149.8231 0.1342593 -0.6125949
Moved 2675.648 418 176.5 0.1342593 -0.5439816
Moved 2675.678 396.7823 220.0442 0.08514424 -0.4319852
Moved 2675.709 378.5233 250.7151 0.04287799 -0.353099
Moved 2675.74 358.3506 275.5993 -0.003818075 -0.2890965
Moved 2675.771 338.9069 295.0745 -0.04882674 -0.2390058
