this is a very good idea
this is a very good idea
FixStart
Radial

0.6 0.6
432 388.8
Began 358.1461 390 542 0.06944448 0.3960905
Stationary 358.1768 390 542 0.06944448 0.3960905
Moved 358.2075 377.428 579.2881 0.04034251 0.491996
Moved 358.2382 370.4517 599.9191 0.02419363 0.5450594
Moved 358.269 359.2995 632.1015 -0.001621544 0.627833
Moved 358.2997 352.7753 654.7866 -0.01672392 0.6861792
Moved 358.3304 348.0566 669.8584 -0.02764667 0.7249444
Moved 358.3611 346.4838 681.0323 -0.03128742 0.7536839
Moved 358.3919 346 688.7584 -0.03240739 0.7735554
Moved 358.4225 346 692.2542 -0.03240739 0.7825466
Moved 358.4533 346 693.5 -0.03240739 0.7857509
Moved 358.484 346 694 -0.03240739 0.7870369
Stationary 358.5147 346 694 -0.03240739 0.7870369
Moved 358.5454 346 681.5698 -0.03240739 0.7550661
Moved 358.5761 368.5052 660.6362 0.01968801 0.7012245
Moved 358.6068 389.5875 634.6143 0.06848951 0.634296
Moved 358.6376 407.0403 612.2863 0.1088896 0.5768679
Moved 358.6683 423 590 0.1458333 0.5195472
Moved 358.699 437.2868 568.5984 0.1789047 0.4645021
Moved 358.7298 445.8699 553.3253 0.1987728 0.4252193
Moved 358.7605 451.6115 544.3884 0.2120638 0.4022335
Moved 358.7912 453 539.4273 0.2152778 0.3894734
Moved 358.8219 455 537.7535 0.2199073 0.3851684
Moved 358.8527 456.0399 538 0.2223146 0.3858024
Moved 358.8833 457.999 538 0.2268494 0.3858024
Moved 358.9141 463.571 557.6658 0.2397477 0.4363831
Moved 358.9448 473.6069 589.2224 0.262979 0.5175472
Moved 358.9756 483.1054 619.3161 0.2849661 0.5949487
Moved 359.0063 488.6793 643.5567 0.2978686 0.6572959
Moved 359.037 495.2955 664.8867 0.3131841 0.7121569
Moved 359.0677 497 680.6248 0.3171296 0.7526357
Moved 359.0984 497 691.1945 0.3171296 0.779821
Moved 359.1292 497 697.8802 0.3171296 0.797017
Moved 359.1599 489.1866 700.8134 0.299043 0.8045612
Moved 359.1906 484.6264 701 0.288487 0.8050409
Moved 359.2213 479 701 0.275463 0.8050409
