the five boxing wizards jump quickly
the five boxing wizards jump quickly
FixStart
List

0.6 0.6
432 388.8
Began 313.0103 316 252 -0.1018519 -0.3497943
Stationary 313.0411 316 252 -0.1018519 -0.3497943
Stationary 313.0718 316 252 -0.1018519 -0.3497943
Moved 313.1026 308.9699 271.0817 -0.1181252 -0.3007157
Moved 313.1333 305.7135 310.1574 -0.1256633 -0.2002125
Moved 313.164 306 341.6443 -0.125 -0.1192277
Moved 313.1948 306 349.6594 -0.125 -0.09861258
Moved 313.2255 306 353.5 -0.125 -0.08873464
Moved 313.2563 318.6125 343.2981 -0.09580448 -0.1149741
Moved 313.287 337.1788 308.946 -0.05282685 -0.2033283
Moved 313.3177 348.6452 277.887 -0.02628416 -0.2832126
Moved 313.3484 351.1364 258.0452 -0.02051756 -0.334246
Moved 313.3792 351 248 -0.02083332 -0.3600824
Moved 313.4099 351 242.7546 -0.02083332 -0.3735735
Moved 313.4407 318.4137 254.5863 -0.09626468 -0.3431423
Moved 313.4714 283 288 -0.1782407 -0.2572017
Moved 313.5021 250.4383 327.822 -0.2536151 -0.1547787
Moved 313.5329 229.2113 360.183 -0.3027516 -0.07154574
Moved 313.5636 220.4274 376.2905 -0.3230848 -0.03011703
Ended 313.5944 220 381 -0.3240741 -0.01800419
Candidates 313.6866 13 the there they he that these huge e r tiger re t she
Began 313.9632 297 299 -0.1458333 -0.2289095
Stationary 313.994 297 299 -0.1458333 -0.2289095
Stationary 314.0247 297 299 -0.1458333 -0.2289095
Moved 314.0555 278.5 299 -0.1886574 -0.2289095
Moved 314.0862 269.1746 299 -0.2102439 -0.2289095
Moved 314.117 266.0669 299 -0.2174377 -0.2289095
Moved 314.1477 263.3464 299 -0.2237352 -0.2289095
Moved 314.1784 263 299 -0.2245371 -0.2289095
Moved 314.2092 263 306.7748 -0.2245371 -0.2089126
Moved 314.2399 263 310.9792 -0.2245371 -0.1980988
Moved 314.2706 278.0666 321.0667 -0.1896606 -0.1721537
Moved 314.3014 321.0257 357.6216 -0.09021839 -0.07813387
Moved 314.3321 373.544 400.5703 0.03135185 0.03233097
Moved 314.3629 391.1982 413.119 0.07221818 0.06460633
Moved 314.3936 397.7614 417.7615 0.0874107 0.07654688
Stationary 314.4243 398 418 0.08796295 0.07716041
Moved 314.4551 371.041 379.9156 0.02555778 -0.02079316
Moved 314.4858 283.3351 254.5629 -0.1774649 -0.3432025
Moved 314.5166 250.5552 199.8088 -0.2533445 -0.4840308
Moved 314.5473 238.7276 181.2128 -0.280723 -0.5318602
Moved 314.578 232.0547 173.0547 -0.2961695 -0.5528429
Moved 314.6088 226.3899 170 -0.3092827 -0.5606995
Moved 314.6395 210.4706 199.5146 -0.3461328 -0.4847874
Moved 314.6703 196.0722 293.1338 -0.3794626 -0.2439975
Moved 314.701 196 344.3845 -0.3796296 -0.1121799
Moved 314.7318 196 379.1979 -0.3796296 -0.02263913
Moved 314.7625 196 398.8808 -0.3796296 0.02798555
Moved 314.7932 196 409.6621 -0.3796296 0.05571518
Ended 314.8239 196 412.5191 -0.3796296 0.06306349
Accept 314.9469 0 the
Candidates 314.9469 13 ice five gives fixed juice succeed rice river founded success dive size give
Began 315.0084 247 318 -0.2615741 -0.1800412
Stationary 315.0392 247 318 -0.2615741 -0.1800412
Moved 315.0699 247 301.3051 -0.2615741 -0.2229807
Moved 315.1006 269.9297 265.7956 -0.2084962 -0.3143117
Moved 315.1313 286.3605 238.5044 -0.1704619 -0.3845051
Moved 315.1621 294.5347 219.3958 -0.15154 -0.433653
Moved 315.1929 298.486 207.0559 -0.1423935 -0.4653912
Moved 315.2236 300.2119 201.5762 -0.1383983 -0.4794852
Moved 315.2544 300.6524 213.7434 -0.1373787 -0.4481909
Moved 315.2851 318.3704 283.2346 -0.09636482 -0.2694583
Moved 315.3158 341.6094 342.4221 -0.04257073 -0.1172273
Moved 315.3466 352 362 -0.01851852 -0.06687243
Moved 315.3773 358.2245 375.8978 -0.004110038 -0.0311273
Moved 315.4081 361 383.8884 0.002314846 -0.01057527
Moved 315.4388 362 388.665 0.004629592 0.001710452
Moved 315.4695 362 392.0276 0.004629592 0.01035898
Moved 315.5002 362 394.7625 0.004629592 0.01739321
Moved 315.531 362 396.2392 0.004629592 0.02119131
Moved 315.5618 362 398.2022 0.004629592 0.02624021
Moved 315.5925 347.6793 401.2345 -0.02852023 0.03403934
Moved 315.6232 320.3593 412.6548 -0.09176084 0.06341259
Moved 315.654 273.1165 439.5717 -0.2011192 0.1326431
Moved 315.6847 233.0524 468.6017 -0.2938601 0.2073088
Moved 315.7155 203.651 492.0134 -0.361919 0.2675242
Moved 315.7462 180.8739 511.2354 -0.4146437 0.3169633
Moved 315.7769 169.166 526.0568 -0.4417455 0.3550842
Moved 315.8077 165.6645 535.3419 -0.4498507 0.3789657
Moved 315.8384 165 540.5538 -0.4513889 0.3923708
Moved 315.8691 165 544.4953 -0.4513889 0.4025084
Moved 315.8999 165 547.2231 -0.4513889 0.4095244
Moved 315.9306 165 549.5 -0.4513889 0.4153806
Moved 315.9614 165 550.3048 -0.4513889 0.4174505
Moved 315.9921 165 551 -0.4513889 0.4192385
Stationary 316.0229 165 551 -0.4513889 0.4192385
Ended 316.0536 165 552.1487 -0.4513889 0.422193
Accept 316.1458 1 five
Began 316.2995 240 402 -0.2777777 0.03600815
Moved 316.3303 253.857 361.7719 -0.2457015 -0.06745915
Moved 316.361 267.5531 312.123 -0.2139975 -0.1951569
Moved 316.3917 273 268 -0.2013889 -0.308642
Moved 316.4225 274 246.7889 -0.199074 -0.3631972
Moved 316.4532 275 238.2474 -0.1967592 -0.3851661
Moved 316.4839 277.471 238 -0.1910392 -0.3858025
Moved 316.5147 315.0089 338.7033 -0.1041462 -0.126792
Moved 316.5454 354.0188 419.0377 -0.01384532 0.07982933
Moved 316.5762 364.8726 440.7451 0.01127909 0.1356613
Moved 316.6069 366 450.0131 0.01388888 0.1594987
Moved 316.6376 366 452.345 0.01388888 0.1654962
Moved 316.6684 338.8274 453 -0.04901062 0.167181
Moved 316.6991 232.715 385.1826 -0.2946413 -0.007246433
Moved 316.7299 169.6508 329.0385 -0.440623 -0.1516501
Moved 316.7606 144.8449 300.8138 -0.4980442 -0.2242444
Moved 316.7913 129.7776 280.2959 -0.5329224 -0.2770168
Moved 316.8221 124.0678 271.6016 -0.5461394 -0.2993786
Stationary 316.8528 124 272 -0.5462962 -0.2983539
Moved 316.8836 176.5618 323.257 -0.4246255 -0.1665201
Moved 316.9143 277.7456 421.3473 -0.1904038 0.08576965
Moved 316.945 327.1505 463.1254 -0.07604063 0.1932237
Moved 316.9758 358.5 484 -0.003472219 0.2469135
Moved 317.0065 380.9484 497.5419 0.04849156 0.2817436
Moved 317.0373 390.6995 502 0.07106364 0.2932098
Moved 317.068 392 502 0.07407407 0.2932098
Moved 317.0987 376.536 469.8376 0.0382779 0.2104875
Moved 317.1295 320.1512 373.0251 -0.09224256 -0.03851565
Moved 317.1602 301.6472 343.4707 -0.1350761 -0.1145302
Moved 317.1909 296.886 333.6581 -0.1460971 -0.1397682
Moved 317.2217 295 330.5836 -0.150463 -0.1476759
Moved 317.2524 292.5 330 -0.15625 -0.149177
Moved 317.2831 282.2075 338.6888 -0.1800753 -0.1268293
Moved 317.3139 262.8256 381.5234 -0.2249408 -0.01665806
Moved 317.3446 251.5967 417.6132 -0.2509335 0.07616541
Moved 317.3754 249.1739 433.9565 -0.2565419 0.1182008
Moved 317.4061 249 442.1923 -0.2569445 0.1393833
Ended 317.4369 249 446 -0.2569445 0.1491768
Candidates 317.5291 13 boxing mixing moving clicking blocking binding living building bidding missing making nothing cleaning
Began 317.8365 301 351 -0.1365741 -0.09516476
Stationary 317.8672 301 351 -0.1365741 -0.09516476
Moved 317.898 288.5888 351 -0.1653038 -0.09516476
Moved 317.9287 259.4896 368.3403 -0.2326629 -0.05056522
Moved 317.9594 223.3434 402.3227 -0.3163348 0.03683816
Moved 317.9902 201.6469 433.3141 -0.3665582 0.1165485
Moved 318.021 200 450.5043 -0.3703704 0.1607621
Moved 318.0516 212.3026 466.7412 -0.3418923 0.2025236
Moved 318.0824 265.6085 484.5952 -0.2184989 0.2484442
Moved 318.1129 328.1815 488 -0.07365396 0.2572016
Moved 318.1439 354.3575 488 -0.01306136 0.2572016
Moved 318.1746 364.1777 475.4297 0.009670555 0.2248707
Moved 318.2054 338.4542 405.5994 -0.04987448 0.04526597
Moved 318.2361 229.6355 261.1682 -0.3017696 -0.3262135
Moved 318.2668 187.7779 208.1112 -0.3986624 -0.462677
Moved 318.2975 165.3934 188.5956 -0.4504783 -0.5128715
Moved 318.3283 145.2983 181.614 -0.4969946 -0.5308283
Moved 318.359 118.8844 202.2272 -0.558138 -0.4778108
Moved 318.3897 110 252.9281 -0.5787036 -0.3474072
Moved 318.4205 134.9225 322.2432 -0.5210127 -0.1691275
Moved 318.4513 175.3753 382.183 -0.4273721 -0.01496138
Moved 318.482 210.4432 418.7665 -0.3461964 0.07913204
Moved 318.5128 235.1812 439.7836 -0.2889324 0.1331881
Moved 318.5435 253.5956 446.7659 -0.2463065 0.1511469
Moved 318.5742 262.4769 447 -0.2257479 0.1517489
Moved 318.605 266.2058 436.1476 -0.2171162 0.1238365
Moved 318.6357 259.5246 407.9742 -0.2325819 0.05137404
Moved 318.6665 234.089 372.7905 -0.2914608 -0.03911909
Moved 318.6972 226.6579 367.7947 -0.3086621 -0.05196834
Moved 318.7279 216.6347 361.2115 -0.3318641 -0.06890041
Moved 318.7587 206 356 -0.3564815 -0.0823046
Moved 318.7894 195.4871 354.0974 -0.3808169 -0.08719809
Moved 318.8201 184.1151 354 -0.4071409 -0.08744855
Moved 318.8509 179.3009 354 -0.418285 -0.08744855
Moved 318.8816 178.5 354 -0.4201389 -0.08744855
Ended 318.9124 179 354 -0.4189815 -0.08744855
Accept 319.0353 0 boxing
Candidates 319.0353 13 wizards fixed sizes success dedicated educated seized richard drivers succeed succeeded structures tickets
Began 319.3427 240 381 -0.2777777 -0.01800419
Stationary 319.3735 240 381 -0.2777777 -0.01800419
Moved 319.4042 268.3873 372.1344 -0.2120664 -0.04080666
Moved 319.4349 305.0648 372 -0.1271647 -0.04115226
Moved 319.4656 325.945 372 -0.07883107 -0.04115226
Moved 319.4964 333.713 372 -0.06084944 -0.04115226
Moved 319.5272 336.4341 372 -0.05455081 -0.04115226
Moved 319.5579 327.8934 395.7389 -0.07432073 0.01990456
Moved 319.5887 307 433 -0.1226852 0.1157406
Moved 319.6194 289.4778 466.7908 -0.1632459 0.2026513
Moved 319.6501 287 477.9102 -0.1689815 0.2312503
Moved 319.6809 286 482.5 -0.1712963 0.2430555
Moved 319.7116 286 468.5792 -0.1712963 0.207251
Moved 319.7423 301.6708 426.127 -0.1350212 0.09806303
Moved 319.7731 305 338.3459 -0.1273148 -0.1277114
Moved 319.8038 294.1175 265.8615 -0.1525059 -0.3141423
Moved 319.8346 293 245.9661 -0.1550926 -0.3653136
Moved 319.8653 293 239.1996 -0.1550926 -0.3827172
Moved 319.8961 307.5662 251.2047 -0.1213746 -0.3518398
Moved 319.9268 365.8891 332.1348 0.01363218 -0.1436864
Moved 319.9576 434.0797 426.6838 0.1714807 0.09949523
Moved 319.9883 461.9142 462.8896 0.2359124 0.1926173
Moved 320.019 475.0895 478.0895 0.266411 0.2317116
Moved 320.0498 480.1951 482.0975 0.2782293 0.2420204
Ended 320.0805 480.1951 482.0975 0.2782293 0.2420204
Accept 320.1725 0 wizards
Candidates 320.1725 13 jump html dump l pump imo dunno info trump no ll symbol kemp
