watch out for low flying objects
Basic
0.4 0.4
288 217.6
Began 820.4193 189 484 -0.5937501 0.5330883
Stationary 820.4614 189 484 -0.5937501 0.5330883
Stationary 820.4958 189 484 -0.5937501 0.5330883
Stationary 820.5294 189 484 -0.5937501 0.5330883
Stationary 820.563 189 484 -0.5937501 0.5330883
Stationary 820.598 189 484 -0.5937501 0.5330883
Stationary 820.6324 189 484 -0.5937501 0.5330883
Stationary 820.6731 189 484 -0.5937501 0.5330883
Stationary 820.7073 189 484 -0.5937501 0.5330883
Stationary 820.7429 189 484 -0.5937501 0.5330883
Stationary 820.7761 189 484 -0.5937501 0.5330883
Moved 820.8419 203.6074 484 -0.5430298 0.5330883
Moved 820.887 212.1645 471.2532 -0.5133176 0.4745091
Moved 820.9245 220.8898 457.3304 -0.4830214 0.410526
Moved 820.9611 225.5331 450.7003 -0.4668989 0.3800564
Moved 820.9991 229.7141 443.2859 -0.4523816 0.3459831
Moved 821.0388 232 440.4217 -0.4444444 0.3328202
Moved 821.0809 234.6769 437 -0.4351498 0.3170957
Moved 821.1492 236 434.5 -0.4305556 0.3056067
Moved 821.1962 239.1312 431.8688 -0.4196832 0.2935147
Moved 821.2639 241.2489 431 -0.4123301 0.289522
Moved 821.3817 245.2367 429 -0.3984837 0.280331
Moved 821.4392 247.5 429 -0.390625 0.280331
Moved 821.4733 248 429 -0.3888889 0.280331
Moved 821.5074 250 429 -0.3819445 0.280331
Moved 821.5414 251 429 -0.3784722 0.280331
Moved 821.5754 252 429 -0.375 0.280331
Moved 821.6093 253 429 -0.3715278 0.280331
Moved 821.6425 254.2585 429 -0.3671579 0.280331
Moved 821.6806 255 429 -0.3645834 0.280331
Moved 821.7307 256.374 429 -0.3598126 0.280331
Moved 821.7902 257.2231 429 -0.3568644 0.280331
Stationary 821.8296 257 429 -0.3576389 0.280331
Moved 821.8644 258.1213 429 -0.3537455 0.280331
Stationary 821.8995 258 429 -0.3541667 0.280331
Stationary 821.937 258 429 -0.3541667 0.280331
Stationary 821.9735 258 429 -0.3541667 0.280331
Stationary 822.0126 258 429 -0.3541667 0.280331
Stationary 822.0563 258 429 -0.3541667 0.280331
Moved 822.0925 259.1711 429 -0.3501003 0.280331
Stationary 822.1299 259 429 -0.3506944 0.280331
Stationary 822.1924 259 429 -0.3506944 0.280331
