id,scale,size,word,algorithm,sampleNum,coor,distance,firstKeyDistance,lastKeyDistance
2,1x1,0.5,the,Standard,16,pixel,20.3876,39.8394,17.4522,
2,1x1,0.5,the,Standard,16,keyWidth,0.707901,1.38331,0.605981,
2,1x1,0.5,the,DTW,16,pixel,20.3876,39.8394,17.4522,
2,1x1,0.5,the,DTW,16,keyWidth,0.707901,1.38331,0.605981,
2,1x1,0.5,the,Standard,32,pixel,20.1154,39.8394,17.4522,
2,1x1,0.5,the,Standard,32,keyWidth,0.698451,1.38331,0.605981,
2,1x1,0.5,the,DTW,32,pixel,19.689,39.8394,17.4522,
2,1x1,0.5,the,DTW,32,keyWidth,0.683647,1.38331,0.605981,
2,1x1,0.5,the,Standard,64,pixel,19.9679,39.8394,17.4522,
2,1x1,0.5,the,Standard,64,keyWidth,0.69333,1.38331,0.605981,
2,1x1,0.5,the,DTW,64,pixel,19.5147,39.8394,17.4522,
2,1x1,0.5,the,DTW,64,keyWidth,0.677593,1.38331,0.605981,
2,1x1,0.5,the,Standard,128,pixel,19.8878,39.8394,17.4522,
2,1x1,0.5,the,Standard,128,keyWidth,0.69055,1.38331,0.605981,
2,1x1,0.5,the,DTW,128,pixel,19.3825,39.8394,17.4522,
2,1x1,0.5,the,DTW,128,keyWidth,0.673003,1.38331,0.605981,
2,1x1,0.5,the,Standard,256,pixel,19.8528,39.8394,17.4522,
2,1x1,0.5,the,Standard,256,keyWidth,0.689332,1.38331,0.605981,
2,1x1,0.5,the,DTW,256,pixel,19.3425,39.8394,17.4522,
2,1x1,0.5,the,DTW,256,keyWidth,0.671616,1.38331,0.605981,
2,1x1,0.5,five,Standard,16,pixel,17.3847,32.9247,11.0882,
2,1x1,0.5,five,Standard,16,keyWidth,0.603637,1.14322,0.385008,
2,1x1,0.5,five,DTW,16,pixel,16.7686,32.9247,11.0882,
2,1x1,0.5,five,DTW,16,keyWidth,0.582243,1.14322,0.385008,
2,1x1,0.5,five,Standard,32,pixel,17.2302,32.9247,11.0882,
2,1x1,0.5,five,Standard,32,keyWidth,0.598272,1.14322,0.385008,
2,1x1,0.5,five,DTW,32,pixel,15.7177,32.9247,11.0882,
2,1x1,0.5,five,DTW,32,keyWidth,0.545755,1.14322,0.385008,
2,1x1,0.5,five,Standard,64,pixel,17.1677,32.9247,11.0882,
2,1x1,0.5,five,Standard,64,keyWidth,0.596102,1.14322,0.385008,
2,1x1,0.5,five,DTW,64,pixel,14.9559,32.9247,11.0882,
2,1x1,0.5,five,DTW,64,keyWidth,0.519303,1.14322,0.385008,
2,1x1,0.5,five,Standard,128,pixel,17.1169,32.9247,11.0882,
2,1x1,0.5,five,Standard,128,keyWidth,0.594338,1.14322,0.385008,
2,1x1,0.5,five,DTW,128,pixel,14.8136,32.9247,11.0882,
2,1x1,0.5,five,DTW,128,keyWidth,0.514361,1.14322,0.385008,
2,1x1,0.5,five,Standard,256,pixel,17.104,32.9247,11.0882,
2,1x1,0.5,five,Standard,256,keyWidth,0.593888,1.14322,0.385008,
2,1x1,0.5,five,DTW,256,pixel,14.7591,32.9247,11.0882,
2,1x1,0.5,five,DTW,256,keyWidth,0.512467,1.14322,0.385008,
2,1x1,0.5,boxing,Standard,16,pixel,21.3764,36.9868,15.0333,
2,1x1,0.5,boxing,Standard,16,keyWidth,0.742235,1.28426,0.52199,
2,1x1,0.5,boxing,DTW,16,pixel,20.0575,36.9868,15.0333,
2,1x1,0.5,boxing,DTW,16,keyWidth,0.696441,1.28426,0.52199,
2,1x1,0.5,boxing,Standard,32,pixel,21.3706,36.9868,15.0333,
2,1x1,0.5,boxing,Standard,32,keyWidth,0.742033,1.28426,0.52199,
2,1x1,0.5,boxing,DTW,32,pixel,15.1077,36.9868,15.0333,
2,1x1,0.5,boxing,DTW,32,keyWidth,0.524573,1.28426,0.52199,
2,1x1,0.5,boxing,Standard,64,pixel,21.3017,36.9868,15.0333,
2,1x1,0.5,boxing,Standard,64,keyWidth,0.739642,1.28426,0.52199,
2,1x1,0.5,boxing,DTW,64,pixel,13.2286,36.9868,15.0333,
2,1x1,0.5,boxing,DTW,64,keyWidth,0.459328,1.28426,0.52199,
2,1x1,0.5,boxing,Standard,128,pixel,21.2809,36.9868,15.0333,
2,1x1,0.5,boxing,Standard,128,keyWidth,0.738921,1.28426,0.52199,
2,1x1,0.5,boxing,DTW,128,pixel,12.596,36.9868,15.0333,
2,1x1,0.5,boxing,DTW,128,keyWidth,0.437361,1.28426,0.52199,
2,1x1,0.5,boxing,Standard,256,pixel,21.2589,36.9868,15.0333,
2,1x1,0.5,boxing,Standard,256,keyWidth,0.738155,1.28426,0.52199,
2,1x1,0.5,boxing,DTW,256,pixel,12.3919,36.9868,15.0333,
2,1x1,0.5,boxing,DTW,256,keyWidth,0.430276,1.28426,0.52199,
2,1x1,0.5,wizards,Standard,16,pixel,23.0833,16.5976,16.1913,
2,1x1,0.5,wizards,Standard,16,keyWidth,0.801503,0.576307,0.562199,
2,1x1,0.5,wizards,DTW,16,pixel,18.5811,16.5976,16.1913,
2,1x1,0.5,wizards,DTW,16,keyWidth,0.645178,0.576307,0.562199,
2,1x1,0.5,wizards,Standard,32,pixel,23.5111,16.5976,16.1913,
2,1x1,0.5,wizards,Standard,32,keyWidth,0.816359,0.576307,0.562199,
2,1x1,0.5,wizards,DTW,32,pixel,16.7432,16.5976,16.1913,
2,1x1,0.5,wizards,DTW,32,keyWidth,0.58136,0.576307,0.562199,
2,1x1,0.5,wizards,Standard,64,pixel,23.593,16.5976,16.1913,
2,1x1,0.5,wizards,Standard,64,keyWidth,0.819203,0.576307,0.562199,
2,1x1,0.5,wizards,DTW,64,pixel,14.9156,16.5976,16.1913,
2,1x1,0.5,wizards,DTW,64,keyWidth,0.517903,0.576307,0.562199,
