watch out for low flying objects
Basic
0.8 0.8
575.9999 518.4
Began 320.0146 237 547 -0.2135416 0.3067129
Stationary 320.0361 237 547 -0.2135416 0.3067129
Stationary 320.0497 237 547 -0.2135416 0.3067129
Stationary 320.0645 237 547 -0.2135416 0.3067129
Moved 320.0798 225.4922 537.4922 -0.2335205 0.2883722
Moved 320.0963 216.4711 529.5466 -0.2491821 0.2730451
Moved 320.1119 206.5 519.5 -0.266493 0.2536651
Moved 320.1267 192.9724 505.2697 -0.2899784 0.2262146
Moved 320.1423 176.525 486.4519 -0.3185329 0.1899149
Moved 320.1589 163.8197 469.4069 -0.3405907 0.1570349
Moved 320.1736 150.7621 452.9526 -0.3632602 0.1252944
Moved 320.1887 141.872 439.808 -0.3786944 0.09993814
Moved 320.2044 135.039 426.8701 -0.3905573 0.0749809
Moved 320.2201 127.8439 411.4566 -0.4030487 0.04524802
Moved 320.2347 126 405 -0.40625 0.03279318
Moved 320.2495 123.1908 399.7631 -0.4111271 0.02269115
Moved 320.2658 120.5058 394.0116 -0.4157885 0.01159644
Moved 320.282 120.3146 390.9439 -0.4161204 0.005678806
Moved 320.2972 118.8795 387.759 -0.418612 -0.0004650045
Moved 320.3125 119 385.8702 -0.4184027 -0.004108511
Moved 320.3272 119 383.9968 -0.4184027 -0.007722289
Moved 320.3425 119 382.5543 -0.4184027 -0.01050496
Moved 320.358 123.3956 379.9011 -0.4107715 -0.01562289
Moved 320.376 130.951 377.0245 -0.3976545 -0.02117198
Moved 320.3885 136.6724 375.5819 -0.3877215 -0.02395477
Moved 320.4043 144.9801 374.1457 -0.3732985 -0.02672513
Moved 320.4201 152.4943 374 -0.360253 -0.02700617
Moved 320.4349 170.5898 379.1637 -0.3288372 -0.0170454
Moved 320.4503 197.5424 395.1254 -0.2820444 0.01374498
Moved 320.4656 212.9745 402.4872 -0.2552525 0.02794607
Moved 320.4812 261.1509 433.3113 -0.171613 0.08740592
Moved 320.4962 299.0627 459.1203 -0.105794 0.1371919
Moved 320.5125 328.5349 483.974 -0.05462698 0.1851349
Moved 320.5274 348.01 503.01 -0.02081595 0.2218557
Moved 320.5433 365.2213 517.3511 0.009064748 0.2495198
Moved 320.5585 377.9803 528.1077 0.03121577 0.2702695
Moved 320.5738 385.9677 535.9677 0.04508287 0.2854314
Moved 320.5888 393.3052 545.1754 0.05782156 0.3031932
Moved 320.6041 396.7126 549.7126 0.06373718 0.3119455
Moved 320.6209 397 552.6361 0.06423607 0.317585
Moved 320.6357 398 552.7501 0.06597221 0.3178049
Moved 320.6507 398 553.5 0.06597221 0.3192515
Stationary 320.6666 398 553.5 0.06597221 0.3192515
Moved 320.6811 390.8673 553 0.05358905 0.318287
Moved 320.6973 375.0955 540.2542 0.02620742 0.2937002
Moved 320.7135 335.1342 481.0492 -0.04316982 0.179493
Moved 320.7283 292.5127 410.7973 -0.1171654 0.04397624
Moved 320.7436 271 364 -0.1545139 -0.04629629
Moved 320.7585 262.215 335.645 -0.1697656 -0.1009936
Moved 320.7751 253.4553 306.5175 -0.1849735 -0.1571807
Moved 320.7905 250.0383 289.1913 -0.1909058 -0.1906031
Moved 320.8055 248.008 269.1205 -0.1944305 -0.22932
Moved 320.8213 248 253.0811 -0.1944444 -0.2602603
Moved 320.8354 247 240.2808 -0.1961806 -0.2849523
Moved 320.8511 247 229.823 -0.1961806 -0.3051254
Moved 320.8683 247 223.0009 -0.1961806 -0.3182854
Moved 320.8825 247 217.2461 -0.1961806 -0.3293864
Moved 320.8983 247 213.5 -0.1961806 -0.3366127
Moved 320.913 254.7327 212.5345 -0.1827557 -0.338475
Moved 320.9289 257.3563 210.8219 -0.1782009 -0.3417787
Moved 320.9447 260.2438 211 -0.1731879 -0.3414352
Moved 320.9595 263.108 211 -0.1682152 -0.3414352
Moved 320.9741 268.9906 211 -0.1580024 -0.3414352
Moved 320.9895 283.415 230.4149 -0.1329601 -0.3039836
Moved 321.0054 301.91 248.91 -0.1008507 -0.2683063
Moved 321.0207 318.2389 267.8937 -0.07250196 -0.2316865
Moved 321.036 356.7311 315.0504 -0.005675219 -0.1407206
Moved 321.0516 376.2285 340.5295 0.02817437 -0.09157109
Moved 321.0671 391.1942 356.7266 0.05415663 -0.06032684
Moved 321.0854 406.0906 375.7178 0.08001848 -0.02369245
Moved 321.0978 416.9235 389.5774 0.09882554 0.003042809
Moved 321.1129 424.4583 398.5499 0.1119067 0.02035091
Moved 321.1286 430.8869 406.0347 0.1230676 0.03478921
Moved 321.145 435.9216 412.5621 0.1318084 0.04738063
Moved 321.1607 440.2408 418.3211 0.1393069 0.05848975
Moved 321.176 443 421 0.1440972 0.06365731
Ended 321.1901 444 423 0.1458333 0.06751537
Began 321.4831 548 537 0.3263889 0.2874228
Stationary 321.499 548 537 0.3263889 0.2874228
Stationary 321.5135 548 537 0.3263889 0.2874228
Stationary 321.5347 548 537 0.3263889 0.2874228
Stationary 321.5451 548 537 0.3263889 0.2874228
Moved 321.5601 531.4852 537 0.2977173 0.2874228
Moved 321.5766 520.005 532.4343 0.2777865 0.2786155
Moved 321.5918 509.9167 526.9762 0.2602721 0.2680868
Moved 321.6067 499.2806 524.8561 0.2418066 0.2639971
Moved 321.6231 477.5 522 0.203993 0.2584876
Moved 321.6382 452.4007 521.0223 0.1604179 0.2566015
Moved 321.653 425.1652 518.1753 0.1131341 0.2511097
Moved 321.6698 407.7669 517.1472 0.08292868 0.2491265
Moved 321.6845 390.4625 515.7052 0.05288623 0.2463448
Moved 321.699 377.3609 515.2623 0.0301405 0.2454906
Moved 321.7147 368.6849 515 0.01507796 0.2449845
Moved 321.7303 354.8145 513.6815 -0.009002536 0.242441
Moved 321.7462 341.6966 512.4847 -0.03177669 0.2401325
Moved 321.7609 328.0286 509.6057 -0.05550597 0.2345788
Moved 321.7766 315.2704 508.3634 -0.07765546 0.2321824
Moved 321.7923 304.4362 506.9194 -0.09646501 0.229397
Moved 321.8069 292.3669 506 -0.1174186 0.2276233
Moved 321.8226 283.9717 505.2817 -0.1319935 0.2262377
Moved 321.838 275.6026 505 -0.1465233 0.2256944
Moved 321.8542 265.4765 502.4966 -0.1641033 0.2208654
Moved 321.869 257.2823 501.0565 -0.1783293 0.2180872
Moved 321.8846 251.471 499.6177 -0.1884184 0.2153119
Moved 321.8997 247.3533 499 -0.1955671 0.2141203
Moved 321.9154 244.4676 499 -0.2005771 0.2141203
Moved 321.9309 243.5 499 -0.202257 0.2141203
Ended 321.9463 243 499 -0.203125 0.2141203
Began 322.3582 266 333 -0.1631944 -0.1060957
Stationary 322.3778 266 333 -0.1631944 -0.1060957
Stationary 322.3924 266 333 -0.1631944 -0.1060957
Stationary 322.407 266 333 -0.1631944 -0.1060957
Stationary 322.4231 266 333 -0.1631944 -0.1060957
Moved 322.4386 272.3353 349.5434 -0.1521957 -0.07418332
Moved 322.4556 282.6192 362.0818 -0.1343417 -0.04999655
Moved 322.4711 291.5 378 -0.1189236 -0.01929018
Moved 322.4848 303.1271 391.919 -0.09873762 0.007559811
Moved 322.4998 315.9571 407.392 -0.07646337 0.03740746
