my bare face in the wind
Basic
0.4 0.4
288 86.39999
Began 614.8674 474 282 0.3958334 -1.226852
Stationary 614.886 474 282 0.3958334 -1.226852
Stationary 614.8998 474 282 0.3958334 -1.226852
Stationary 614.9176 474 282 0.3958334 -1.226852
Stationary 614.9336 474 282 0.3958334 -1.226852
Stationary 614.9468 474 282 0.3958334 -1.226852
Stationary 614.9622 474 282 0.3958334 -1.226852
Stationary 614.9774 474 282 0.3958334 -1.226852
Stationary 614.9935 474 282 0.3958334 -1.226852
Stationary 615.0093 474 282 0.3958334 -1.226852
Moved 615.0244 462.4832 290.9575 0.3558445 -1.123176
Moved 615.0408 462.2695 293.4611 0.3551022 -1.0942
Moved 615.0556 458.5219 297.4781 0.3420898 -1.047707
Moved 615.071 456.8123 300.7815 0.3361539 -1.009473
Moved 615.0864 455.2172 303.5656 0.3306153 -0.9772506
Moved 615.102 452.5943 306.4057 0.321508 -0.9443781
Moved 615.1177 449.091 310.5453 0.3093436 -0.8964658
Moved 615.1329 443.7123 316.2877 0.2906677 -0.8300029
Moved 615.1483 439.46 322.5666 0.2759029 -0.7573308
Moved 615.1637 435.1437 328.8085 0.2609156 -0.6850868
Moved 615.1796 430.8396 335.934 0.2459708 -0.6026155
Moved 615.1949 426 341.5 0.2291666 -0.5381941
Moved 615.2106 420.3585 350.5519 0.209578 -0.4334266
Moved 615.2261 414.6077 359.0884 0.1896101 -0.3346245
Moved 615.2416 409.6463 365.9229 0.1723829 -0.2555215
Moved 615.2567 402.8689 374.3574 0.1488502 -0.1579009
Moved 615.2725 397.3427 381.6573 0.129662 -0.07341032
Moved 615.2874 392.7003 387.3995 0.1135428 -0.00694999
Moved 615.3036 390 391.5 0.1041667 0.04050961
Moved 615.319 386.9671 396.0329 0.09363576 0.09297353
Moved 615.3343 381.5053 402.6183 0.0746712 0.1691938
Moved 615.35 378.3365 407.2181 0.06366819 0.2224318
Moved 615.3646 374.0241 411.9759 0.04869476 0.2774989
Moved 615.3795 369.72 417.7067 0.03374993 0.3438278
Moved 615.3966 368.2661 419.7339 0.02870172 0.3672903
Moved 615.4127 365.3892 422.6108 0.01871243 0.4005877
Moved 615.4257 364.6947 424.6105 0.01630112 0.4237329
Moved 615.4424 364.1533 426.6934 0.0144212 0.4478396
Moved 615.4582 364 428.2854 0.01388892 0.4662662
