the five boxing wizards jump quickly
Basic
0.8 0.8
575.9999 172.8
Began 734.1617 352 450 -0.01388889 0.3587963
Stationary 734.1801 352 450 -0.01388889 0.3587963
Stationary 734.194 352 450 -0.01388889 0.3587963
Stationary 734.2114 352 450 -0.01388889 0.3587963
Stationary 734.2277 352 450 -0.01388889 0.3587963
Moved 734.2415 361.92 450 0.00333339 0.3587963
Moved 734.2576 370.656 438.4587 0.01849994 0.2920063
Moved 734.2739 377.8316 436.0842 0.03095768 0.2782649
Moved 734.289 387.5398 430.2876 0.04781216 0.2447199
Moved 734.304 396.2837 424.4775 0.06299249 0.211097
Moved 734.3203 404.7201 417.9142 0.07763899 0.1731149
Moved 734.3352 413.5054 410.7455 0.0928913 0.1316289
Moved 734.3527 420.7835 403.5206 0.1055269 0.08981846
Moved 734.3663 426.5475 398.5894 0.1155339 0.06128108
Moved 734.382 430.5 393 0.1223958 0.0289351
Moved 734.3978 432.5024 389.7464 0.1258723 0.01010656
Moved 734.4138 435.3925 386.6075 0.1308897 -0.008058107
Moved 734.4291 436.6263 383.7475 0.1330317 -0.02460939
Moved 734.4433 438.0672 381.9328 0.1355333 -0.03511111
Moved 734.4581 438 380.5 0.1354167 -0.04340278
Moved 734.4742 438 378.0873 0.1354167 -0.05736528
Moved 734.4899 438 376.6006 0.1354167 -0.06596848
Moved 734.5051 438 375.0246 0.1354167 -0.07508896
Moved 734.5202 430.5661 372.1415 0.1225106 -0.0917735
Moved 734.535 423.1581 372 0.1096495 -0.09259242
Moved 734.55 408.2313 372 0.08373491 -0.09259242
Moved 734.5664 390.9346 372 0.05370586 -0.09259242
Moved 734.5809 371.968 384.4739 0.02077773 -0.02040572
Moved 734.5969 354.3355 392.8323 -0.009834169 0.02796456
Moved 734.6142 343.0905 399.0416 -0.02935685 0.06389794
Moved 734.6283 326.3849 407.3076 -0.05835946 0.1117335
Moved 734.6435 314.1923 413.4039 -0.07952727 0.1470131
Moved 734.6606 300.1183 419.1696 -0.1039613 0.1803797
Moved 734.6751 288.0836 422.9791 -0.1248548 0.2024251
Moved 734.6902 275.1324 428.7189 -0.1473396 0.2356421
Moved 734.7056 265.7804 431.7399 -0.1635757 0.2531243
Moved 734.7236 260.1082 433.9567 -0.1734232 0.2659532
Moved 734.7369 248.7424 438.2216 -0.1931556 0.2906345
Moved 734.7514 242.5945 440.7028 -0.203829 0.3049927
Moved 734.769 238.103 442.299 -0.2116268 0.3142304
Ended 734.782 234 444 -0.21875 0.3240742
Began 735.0726 264 357 -0.1666667 -0.1793981
Stationary 735.0909 264 357 -0.1666667 -0.1793981
Stationary 735.1055 264 357 -0.1666667 -0.1793981
Stationary 735.1226 264 357 -0.1666667 -0.1793981
Stationary 735.1365 264 357 -0.1666667 -0.1793981
Moved 735.1523 284.1327 368.5663 -0.1317141 -0.1124631
Moved 735.1682 304.9729 379.6522 -0.09553309 -0.0483089
Moved 735.183 318 387.5 -0.07291666 -0.00289343
Moved 735.1987 342.2055 399.6027 -0.03089327 0.06714547
Moved 735.2189 362.9319 408.6851 0.005090162 0.1197056
Moved 735.2314 385.3977 416.6145 0.04409321 0.1655932
Moved 735.2451 405.2273 422.6364 0.07851958 0.2004418
Moved 735.2618 425.8275 428.4084 0.1142838 0.2338451
Moved 735.2763 441.4234 433.127 0.14136 0.2611517
Moved 735.2919 455.7406 435.9481 0.1662163 0.2774775
Moved 735.3057 464.1252 438.1786 0.1807729 0.2903856
Moved 735.324 473.1766 440.0294 0.1964872 0.3010962
Moved 735.3383 478.4044 441 0.2055631 0.3067129
Moved 735.3528 482.7294 441 0.2130718 0.3067129
Moved 735.3696 484.35 441 0.2158855 0.3067129
Moved 735.3839 485.7895 441 0.2183845 0.3067129
Stationary 735.3985 486 441 0.21875 0.3067129
Stationary 735.4149 486 441 0.21875 0.3067129
Stationary 735.4322 486 441 0.21875 0.3067129
Moved 735.4451 477.6425 429.5084 0.2042404 0.2402105
Moved 735.4625 453.702 401.4147 0.1626771 0.07763147
Moved 735.4763 423.2841 365.9857 0.1098681 -0.127398
Moved 735.493 392 335 0.05555555 -0.306713
Moved 735.5062 372.5843 314.6677 0.02184763 -0.4243764
Moved 735.5243 360.1855 303.2596 0.0003221631 -0.4903959
Moved 735.5385 350.1842 293.7293 -0.0170413 -0.5455478
Moved 735.5536 341.088 287.0587 -0.03283329 -0.5841513
Moved 735.569 333.8926 282.7355 -0.04532534 -0.6091694
Moved 735.5839 325.7085 279.2834 -0.05953379 -0.6291471
Moved 735.5994 318.532 276.4128 -0.07199302 -0.6457593
Moved 735.6166 312.0502 275.2626 -0.08324612 -0.6524157
Moved 735.6301 308.3616 275 -0.08964993 -0.6539352
Moved 735.6455 302.8851 275 -0.0991578 -0.6539352
Moved 735.6614 296.4053 275 -0.1104075 -0.6539352
Moved 735.6772 289.1878 287.7868 -0.1229378 -0.5799375
Moved 735.6924 283.9951 292.6058 -0.1319529 -0.5520496
Moved 735.7075 277.8428 303.3145 -0.1426341 -0.4900784
Moved 735.7237 272.5611 313.7964 -0.1518037 -0.4294191
Moved 735.7388 269.6548 323.708 -0.1568492 -0.3720601
Moved 735.7623 264.2036 349.7787 -0.1663133 -0.2211878
Stationary 735.7736 264.2036 349.7787 -0.1663133 -0.2211878
Moved 735.7855 261.3199 364.5602 -0.1713195 -0.1356467
Moved 735.801 259.7311 379.9575 -0.1740779 -0.04654231
Moved 735.8168 257.5769 390.6924 -0.1778179 0.01558136
Moved 735.8321 255.848 401.0638 -0.1808194 0.07560103
Moved 735.8475 253 413.5 -0.1857639 0.1475694
Moved 735.8634 252.2978 422.3198 -0.186983 0.1986097
Moved 735.8792 250.8695 431.7828 -0.1894626 0.2533725
Moved 735.8933 249.4289 438.8556 -0.1919637 0.2943032
Moved 735.9084 247.9909 445.0364 -0.1944602 0.3300717
Moved 735.9241 246.5478 450.8088 -0.1969656 0.3634768
Moved 735.9399 246 455.6681 -0.1979166 0.3915978
Ended 735.9553 244.6681 461.3277 -0.200229 0.4243502
Began 736.2048 304 292 -0.09722221 -0.5555554
Stationary 736.2177 304 292 -0.09722221 -0.5555554
Stationary 736.2306 304 292 -0.09722221 -0.5555554
Stationary 736.2464 304 292 -0.09722221 -0.5555554
Stationary 736.2636 304 292 -0.09722221 -0.5555554
Moved 736.2783 322.8984 310.0895 -0.06441243 -0.4508709
Moved 736.2936 344.872 329.3879 -0.02626393 -0.3391902
Moved 736.3098 379.5183 353.3456 0.03388598 -0.2005464
Moved 736.325 413.0036 374.5195 0.09202018 -0.07801232
Moved 736.3407 443.4557 393.3773 0.1448883 0.03111875
Moved 736.3549 458.0306 402.2183 0.170192 0.08228205
Moved 736.3715 473.5057 410.8213 0.1970585 0.1320677
Moved 736.3862 485.6211 415.7329 0.2180922 0.1604915
Moved 736.4013 496.0428 420.0183 0.2361853 0.1852912
Moved 736.418 504.6944 422.8981 0.2512056 0.2019569
Moved 736.4335 511 426.5 0.2621528 0.222801
Moved 736.4479 515.9673 427.9782 0.2707767 0.2313554
Moved 736.4636 518.8477 429.4238 0.2757772 0.2397212
Moved 736.4792 519 430 0.2760417 0.2430556
