coming up with killer sound bites
Basic
0.4 0.4
288 259.2
Began 131.5432 307 227 -0.1840278 -0.621142
Stationary 131.5608 307 227 -0.1840278 -0.621142
Stationary 131.5749 307 227 -0.1840278 -0.621142
Stationary 131.5892 307 227 -0.1840278 -0.621142
Stationary 131.6045 307 227 -0.1840278 -0.621142
Stationary 131.6212 307 227 -0.1840278 -0.621142
Stationary 131.6353 307 227 -0.1840278 -0.621142
Stationary 131.6508 307 227 -0.1840278 -0.621142
Stationary 131.6667 307 227 -0.1840278 -0.621142
Stationary 131.6819 307 227 -0.1840278 -0.621142
Stationary 131.6969 307 227 -0.1840278 -0.621142
Stationary 131.7126 307 227 -0.1840278 -0.621142
Stationary 131.7321 307 227 -0.1840278 -0.621142
Stationary 131.7477 307 227 -0.1840278 -0.621142
Stationary 131.7597 307 227 -0.1840278 -0.621142
Stationary 131.7744 307 227 -0.1840278 -0.621142
Moved 131.7905 316.6121 246.239 -0.1506524 -0.5469174
Moved 131.8072 326.0186 268.8391 -0.1179909 -0.4597257
Moved 131.823 338.3819 295.0616 -0.07506273 -0.3585588
Moved 131.8376 355.1715 330.0859 -0.01676552 -0.2234339
Moved 131.8535 368.5087 361.6879 0.02954393 -0.101513
Moved 131.8698 383.5157 391.0315 0.08165196 0.01169546
Moved 131.8834 393.2857 409.7856 0.1155752 0.08404949
Moved 131.8983 406.5948 433.8707 0.1617876 0.17697
Moved 131.9167 414.5918 449.5849 0.1895547 0.2375959
Moved 131.9292 421.1082 462.2163 0.212181 0.2863282
Moved 131.944 426.8688 470.8033 0.2321835 0.319457
Moved 131.9618 430.7076 479.4153 0.2455126 0.3526824
Moved 131.9763 433.7062 485.4124 0.2559243 0.3758193
Moved 131.9906 434.5 488.5 0.2586806 0.3877313
Moved 132.0062 435 489.859 0.2604167 0.3929744
Moved 132.0218 435 491.2986 0.2604167 0.3985285
Moved 132.0372 435 491.7386 0.2604167 0.4002262
Stationary 132.0529 435 492 0.2604167 0.4012344
Stationary 132.0687 435 492 0.2604167 0.4012344
Moved 132.0825 435 472.4166 0.2604167 0.3256811
Moved 132.0982 420 449 0.2083333 0.2353394
Moved 132.1159 415.3084 417.6182 0.192043 0.1142677
Moved 132.1304 408.8015 387.0074 0.1694496 -0.003829355
Moved 132.1458 401.5 358 0.1440972 -0.1157409
