just in time for the party
Basic
0.4 0.4
288 259.2
Began 486.2994 406 365 0.1597223 -0.08873468
Stationary 486.3151 406 365 0.1597223 -0.08873468
Stationary 486.3303 406 365 0.1597223 -0.08873468
Stationary 486.3445 406 365 0.1597223 -0.08873468
Stationary 486.3602 406 365 0.1597223 -0.08873468
Stationary 486.3754 406 365 0.1597223 -0.08873468
Stationary 486.3908 406 365 0.1597223 -0.08873468
Stationary 486.4054 406 365 0.1597223 -0.08873468
Stationary 486.4218 406 365 0.1597223 -0.08873468
Stationary 486.4366 406 365 0.1597223 -0.08873468
Stationary 486.4519 406 365 0.1597223 -0.08873468
Stationary 486.4673 406 365 0.1597223 -0.08873468
Stationary 486.4827 406 365 0.1597223 -0.08873468
Stationary 486.4972 406 365 0.1597223 -0.08873468
Stationary 486.5136 406 365 0.1597223 -0.08873468
Stationary 486.5295 406 365 0.1597223 -0.08873468
Stationary 486.5454 406 365 0.1597223 -0.08873468
Stationary 486.5606 406 365 0.1597223 -0.08873468
Stationary 486.5755 406 365 0.1597223 -0.08873468
Stationary 486.5905 406 365 0.1597223 -0.08873468
Stationary 486.6071 406 365 0.1597223 -0.08873468
Stationary 486.6225 406 365 0.1597223 -0.08873468
Stationary 486.6369 406 365 0.1597223 -0.08873468
Stationary 486.6524 406 365 0.1597223 -0.08873468
Stationary 486.6684 406 365 0.1597223 -0.08873468
Stationary 486.6831 406 365 0.1597223 -0.08873468
Stationary 486.6977 406 365 0.1597223 -0.08873468
Stationary 486.7168 406 365 0.1597223 -0.08873468
Stationary 486.7295 406 365 0.1597223 -0.08873468
Stationary 486.7449 406 365 0.1597223 -0.08873468
Moved 486.7605 406 376.6356 0.1597223 -0.04384406
Moved 486.7769 406 375.0643 0.1597223 -0.04990624
Moved 486.7925 406 377.1309 0.1597223 -0.04193329
Moved 486.8086 406 380.0068 0.1597223 -0.03083806
Moved 486.8223 406 382.8842 0.1597223 -0.01973717
Moved 486.8379 406 385.7839 0.1597223 -0.008549925
Moved 486.8544 406 388.6545 0.1597223 0.002524882
Moved 486.8697 406 392.0099 0.1597223 0.01547013
Moved 486.8853 406 396.651 0.1597223 0.03337571
Moved 486.8992 406 400.9675 0.1597223 0.05002893
Moved 486.9149 406 406.2921 0.1597223 0.0705713
Moved 486.9308 406 411.7977 0.1597223 0.09181193
