did you have a good time
Basic
0.8 0.8
575.9999 172.8
Began 319.8214 291 342 -0.1197917 -0.2662035
Stationary 319.8407 291 342 -0.1197917 -0.2662035
Stationary 319.8552 291 342 -0.1197917 -0.2662035
Stationary 319.8703 291 342 -0.1197917 -0.2662035
Stationary 319.8854 291 342 -0.1197917 -0.2662035
Stationary 319.9008 291 342 -0.1197917 -0.2662035
Stationary 319.9171 291 342 -0.1197917 -0.2662035
Stationary 319.9327 291 342 -0.1197917 -0.2662035
Stationary 319.9482 291 342 -0.1197917 -0.2662035
Stationary 319.963 291 342 -0.1197917 -0.2662035
Stationary 319.9801 291 342 -0.1197917 -0.2662035
Stationary 319.9946 291 342 -0.1197917 -0.2662035
Stationary 320.0098 291 342 -0.1197917 -0.2662035
Stationary 320.0258 291 342 -0.1197917 -0.2662035
Stationary 320.0403 291 342 -0.1197917 -0.2662035
Stationary 320.0564 291 342 -0.1197917 -0.2662035
Stationary 320.0713 291 342 -0.1197917 -0.2662035
Stationary 320.0885 291 342 -0.1197917 -0.2662035
Stationary 320.102 291 342 -0.1197917 -0.2662035
Moved 320.1181 298 351 -0.1076389 -0.2141206
Moved 320.1335 298 352.5 -0.1076389 -0.2054398
Stationary 320.1492 298 352.5 -0.1076389 -0.2054398
Moved 320.1642 298 354.3605 -0.1076389 -0.1946728
Moved 320.1816 298 355.5 -0.1076389 -0.1880787
Moved 320.1959 298 356.1185 -0.1076389 -0.1844992
Moved 320.2118 298 357.6777 -0.1076389 -0.1754763
Moved 320.2331 287.5 360.5 -0.1258681 -0.1591435
Stationary 320.2466 287.5 360.5 -0.1258681 -0.1591435
Moved 320.2582 288.6675 361.6663 -0.1238411 -0.1523943
Moved 320.2745 285.7882 363.1059 -0.12884 -0.1440631
Moved 320.2889 283 366 -0.1336806 -0.1273148
Moved 320.3025 280.0276 366.9862 -0.1388409 -0.1216076
Moved 320.3193 277.1499 368.425 -0.143837 -0.1132808
Moved 320.3351 275.2726 369.8637 -0.1470962 -0.1049554
Moved 320.3493 272.3949 371.3026 -0.1520921 -0.09662876
Moved 320.3659 271.7133 372.2867 -0.1532755 -0.09093338
Moved 320.383 268.3465 373.6535 -0.1591206 -0.0830237
Moved 320.3964 265.4691 374 -0.1641162 -0.08101834
Moved 320.4117 264.2958 375.7042 -0.1661532 -0.07115611
Moved 320.4287 262.8538 376 -0.1686566 -0.06944462
Moved 320.4428 261.4171 377 -0.1711509 -0.06365741
Moved 320.458 259.9767 378.0233 -0.1736516 -0.05773562
Moved 320.4736 258.8771 378 -0.1755606 -0.05787037
Moved 320.4887 257.5 379.5 -0.1779514 -0.04918964
Moved 320.5031 256.9812 379 -0.178852 -0.05208316
Moved 320.5182 255.5237 380.4763 -0.1813824 -0.04354
Stationary 320.5357 255.5237 380.4763 -0.1813824 -0.04354
Moved 320.5491 253.6433 380 -0.184647 -0.04629612
Moved 320.5649 253.2047 381 -0.1854086 -0.04050926
Stationary 320.5825 253 381 -0.1857639 -0.04050926
Moved 320.5958 251.6605 382.3395 -0.1880894 -0.03275765
Moved 320.6117 251.2195 382 -0.1888551 -0.03472222
Stationary 320.6286 251 382 -0.1892361 -0.03472222
Moved 320.6445 251 383.5 -0.1892361 -0.02604167
Moved 320.6581 249.9528 383 -0.1910541 -0.02893518
Stationary 320.6728 250 383 -0.1909722 -0.02893518
Moved 320.6912 250 384.5 -0.1909722 -0.02025445
Moved 320.7038 250 384 -0.1909722 -0.02314797
Moved 320.7193 250 385.4835 -0.1909722 -0.01456314
Moved 320.7342 250 386 -0.1909722 -0.01157407
Moved 320.7498 250 387.3546 -0.1909722 -0.003734871
Moved 320.7655 250 388.7953 -0.1909722 0.004602891
Moved 320.7812 250 390.2236 -0.1909722 0.01286825
Moved 320.796 263.5 393 -0.1675347 0.0289351
Moved 320.8115 268.468 395.5623 -0.1589097 0.04376314
Moved 320.827 277.2575 397.2096 -0.1436502 0.05329626
Moved 320.8432 289.2538 400.3135 -0.1228232 0.07125872
Moved 320.8646 312.5 406 -0.08246525 0.1041666
Moved 320.8789 326.7189 408.9438 -0.05777963 0.1212025
Stationary 320.8903 326.7189 408.9438 -0.05777963 0.1212025
Moved 320.9046 339.6968 411.8215 -0.03524854 0.1378561
Moved 320.9209 347.9483 412.4948 -0.02092313 0.1417525
Moved 320.9357 359.5248 414.8643 -0.0008249655 0.1554645
Moved 320.9509 370.9359 416.367 0.01898594 0.1641609
Moved 320.9668 382.6476 418.8068 0.03931865 0.1782799
Moved 320.9828 392.7186 420.2455 0.05680315 0.1866058
Moved 320.9968 401.7501 422.6786 0.07248282 0.2006864
Moved 321.0121 409.5705 423 0.08605986 0.2025463
Moved 321.0304 416.1578 424.193 0.09749613 0.2094502
Moved 321.0433 422.7599 425.69 0.1089582 0.2181134
Moved 321.0589 428.5149 427.1287 0.1189494 0.2264394
Moved 321.0752 433.7036 428.1357 0.1279575 0.2322667
Moved 321.0889 438.0186 429 0.1354489 0.2372686
Moved 321.1046 442.2859 430.4286 0.1428576 0.2455363
Moved 321.1191 447.6169 431.8723 0.1521128 0.2538909
Moved 321.136 449.9583 432 0.1561775 0.2546297
Moved 321.1508 452.8377 433.4188 0.1611765 0.2628404
Moved 321.1662 455.7105 434.8552 0.166164 0.271153
Moved 321.183 458.5952 435 0.1711722 0.2719908
Moved 321.1967 460.7327 436.7327 0.1748832 0.282018
Moved 321.2118 463.3429 437 0.1794147 0.2835649
Moved 321.2301 465.2124 438.6062 0.1826604 0.2928599
Moved 321.2442 467.5236 439 0.1866729 0.295139
Moved 321.2597 469.1147 440.1147 0.1894353 0.30159
Moved 321.2746 471.5532 441 0.1936688 0.3067129
Moved 321.2892 473.9839 441.9919 0.1978886 0.3124535
Moved 321.3058 475.4308 442 0.2004006 0.3125
Moved 321.3214 476.8723 443 0.2029033 0.318287
Moved 321.3362 479.622 444.311 0.2076772 0.3258741
Moved 321.3521 480.5 444 0.2092014 0.3240742
Moved 321.3676 482.7282 445.8641 0.2130698 0.334862
Moved 321.382 484.3062 446 0.2158094 0.3356481
Moved 321.3987 485.7419 447 0.218302 0.3414353
Moved 321.4115 487.1833 448.1833 0.2208045 0.3482834
Stationary 321.4307 487.1833 448.1833 0.2208045 0.3482834
Moved 321.4433 489.0574 449 0.224058 0.3530093
Stationary 321.4591 489 449 0.2239583 0.3530093
Moved 321.4742 490.5834 450 0.2267072 0.3587963
Moved 321.4908 491.5 450 0.2282986 0.3587963
Moved 321.5045 492.231 450 0.2295676 0.3587963
Moved 321.5199 492 450.9062 0.2291667 0.3640404
Stationary 321.5365 492 451 0.2291667 0.3645833
Stationary 321.5519 492 451 0.2291667 0.3645833
Stationary 321.5672 492 451 0.2291667 0.3645833
Stationary 321.5838 492 451 0.2291667 0.3645833
Stationary 321.6049 492 451 0.2291667 0.3645833
Stationary 321.6147 492 451 0.2291667 0.3645833
Moved 321.6284 478.5315 451 0.2057838 0.3645833
Moved 321.6455 469.0792 451 0.1893736 0.3645833
Moved 321.659 455.8673 441.2891 0.1664363 0.3083858
Moved 321.6762 443.9276 437.9819 0.1457077 0.2892475
