the dow jones index has risen
Basic
0.6 0.6
432 388.8
Began 321.9813 279 485 -0.1875 0.2494856
Stationary 322.0029 279 485 -0.1875 0.2494856
Stationary 322.0158 279 485 -0.1875 0.2494856
Stationary 322.0301 279 485 -0.1875 0.2494856
Stationary 322.0456 279 485 -0.1875 0.2494856
Stationary 322.0608 279 485 -0.1875 0.2494856
Stationary 322.0764 279 485 -0.1875 0.2494856
Stationary 322.0916 279 485 -0.1875 0.2494856
Stationary 322.1085 279 485 -0.1875 0.2494856
Stationary 322.1234 279 485 -0.1875 0.2494856
Stationary 322.139 279 485 -0.1875 0.2494856
Stationary 322.1564 279 485 -0.1875 0.2494856
Stationary 322.1696 279 485 -0.1875 0.2494856
Stationary 322.1857 279 485 -0.1875 0.2494856
Moved 322.2009 285.0967 485 -0.1733872 0.2494856
Moved 322.2162 290.0067 485 -0.1620215 0.2494856
Moved 322.2318 291.4421 485 -0.1586988 0.2494856
Moved 322.247 294.7502 485 -0.1510412 0.2494856
Moved 322.2626 296.3139 485 -0.1474214 0.2494856
Moved 322.2772 298.7519 477.2481 -0.1417779 0.2295475
Moved 322.2936 302.5743 474.6171 -0.1329299 0.2227806
Moved 322.3102 305 473.5 -0.1273148 0.2199073
Moved 322.326 306.4755 471.2622 -0.1238992 0.2141517
Moved 322.3395 309.3485 469.8257 -0.1172489 0.2104571
Moved 322.3554 312.2318 467.3841 -0.1105746 0.2041772
Moved 322.3707 315.1032 464.8969 -0.1039278 0.1977799
Moved 322.3869 318.4759 463.0161 -0.09612069 0.1929426
Moved 322.4024 321.848 460.152 -0.08831491 0.1855762
Moved 322.4168 324.7481 458.626 -0.08160169 0.1816511
Moved 322.4322 326.9127 457.0873 -0.07659107 0.1776937
Moved 322.447 329.7902 455.1049 -0.06993021 0.1725948
Moved 322.4633 331.3376 453.6624 -0.06634801 0.1688845
Moved 322.478 333.7732 453 -0.06071011 0.167181
Moved 322.4929 336.4226 451.7887 -0.05457739 0.1640655
Moved 322.5089 337.652 450.348 -0.05173151 0.1603601
Moved 322.5249 340.1833 450 -0.04587188 0.1594649
Moved 322.54 341.1729 448.8271 -0.04358128 0.1564482
Moved 322.5557 343.6653 448.3347 -0.0378118 0.1551818
Moved 322.571 346.1998 446.9001 -0.03194496 0.1514919
Moved 322.5868 347.5447 446.4553 -0.02883176 0.1503479
Moved 322.6011 348.9834 446 -0.02550145 0.1491768
Moved 322.6169 350.4222 444.5778 -0.02217079 0.145519
Moved 322.6324 352.8609 445 -0.01652578 0.1466049
Moved 322.6483 353.9747 444.0253 -0.01394739 0.1440978
Moved 322.6643 355.405 442.595 -0.0106366 0.1404191
Moved 322.6785 356.8463 443 -0.007300327 0.1414608
Moved 322.6939 359.5634 441.7183 -0.001010696 0.1381644
Moved 322.7092 360 441.2673 0 0.1370043
Moved 322.7246 361.1715 441 0.002711812 0.1363167
Moved 322.739 362.613 440.387 0.006048679 0.1347401
Moved 322.7548 363.7708 440 0.008728604 0.1337448
Moved 322.7803 365.5646 439 0.01288106 0.1311728
Moved 322.7922 366.5 439 0.0150463 0.1311728
Stationary 322.8029 366.5 439 0.0150463 0.1311728
Moved 322.8166 367.2193 437.7807 0.01671135 0.1280367
Moved 322.8327 367.8787 437.1213 0.01823783 0.1263407
Moved 322.8485 369.3167 437 0.02156655 0.1260288
Stationary 322.8651 369.3167 437 0.02156655 0.1260288
Moved 322.8788 370.8666 435.1334 0.02515415 0.1212279
Moved 322.8949 372.3016 435 0.02847602 0.1208847
Moved 322.9103 374.4601 433.27 0.03347248 0.116435
Moved 322.9249 377.3381 430.6619 0.04013459 0.1097269
Moved 322.9401 379.6102 429.3898 0.0453939 0.1064553
Moved 322.9571 382.0919 426.9081 0.0511386 0.1000721
Moved 322.9718 383.4891 425.5109 0.05437284 0.09647872
Moved 322.9867 385.576 424.424 0.0592037 0.09368311
Moved 323.0018 388.0294 421.9706 0.06488303 0.08737285
Moved 323.0175 389.4536 420.5464 0.06817956 0.08370996
Moved 323.0334 391 419.1049 0.07175922 0.08000232
Moved 323.0496 392.3338 417.6662 0.07484675 0.07630191
Moved 323.0645 393.7733 416.2267 0.07817884 0.07259957
Moved 323.0795 395.2113 414.7887 0.08150766 0.06890093
Moved 323.0958 396.2674 415 0.08395235 0.06944436
Moved 323.1109 397.7868 413.2132 0.08746941 0.06484868
Moved 323.126 398 411.7709 0.08796295 0.06113916
Moved 323.1407 399.6672 410.3328 0.09182215 0.05744031
Moved 323.1576 400 408.8909 0.09259263 0.05373158
Moved 323.1721 401 407.4538 0.09490739 0.05003548
Moved 323.1875 401 405.0274 0.09490739 0.04379468
Moved 323.2027 401 403.929 0.09490739 0.04096945
Moved 323.2185 401 401 0.09490739 0.03343609
Moved 323.2336 401 399.0444 0.09490739 0.02840639
Moved 323.2508 401 396.1672 0.09490739 0.02100607
Moved 323.2635 401 393.2953 0.09490739 0.01361972
Moved 323.28 391.9881 390.4252 0.07404646 0.006237579
Moved 323.2951 391.546 388.2729 0.07302304 0.0007019514
Moved 323.3108 389.2951 386.2952 0.0678128 -0.004384939
Moved 323.3261 386.519 383.519 0.06138662 -0.01152509
Moved 323.341 380.9643 380.6428 0.04852841 -0.01892286
Moved 323.3571 376.6384 378.8795 0.03851483 -0.02345819
Moved 323.3722 370.758 376.4395 0.02490272 -0.02973384
Moved 323.3877 365.9986 373.999 0.0138856 -0.03601082
Moved 323.4035 361.6821 374 0.003893673 -0.03600823
Moved 323.4194 358.3491 373.3373 -0.003821602 -0.03771276
Moved 323.4352 352.0261 373 -0.01845812 -0.03858032
Moved 323.4492 346.266 373 -0.03179163 -0.03858032
Moved 323.4643 339.5007 373 -0.04745211 -0.03858032
Moved 323.4813 331.2054 382.0936 -0.06665409 -0.01519136
Moved 323.4962 322.5225 386.985 -0.08675356 -0.002610517
Moved 323.5122 313.8859 392.7427 -0.1067457 0.01219832
Moved 323.5268 309 398 -0.1180555 0.02572008
Moved 323.5415 302.4405 402.5595 -0.1332397 0.03744722
Moved 323.5572 296.3809 407.4644 -0.1472666 0.0500626
