did you have a good time
Basic
0.8 0.8
575.9999 518.4
Began 276.6457 238 411 -0.2118055 0.04436722
Stationary 276.6657 238 411 -0.2118055 0.04436722
Stationary 276.6798 238 411 -0.2118055 0.04436722
Stationary 276.6945 238 411 -0.2118055 0.04436722
Stationary 276.7103 238 411 -0.2118055 0.04436722
Stationary 276.728 238 411 -0.2118055 0.04436722
Stationary 276.741 238 411 -0.2118055 0.04436722
Moved 276.7572 247.0331 420.8542 -0.1961231 0.06337622
Moved 276.7741 278.0729 452.0729 -0.1422345 0.1235975
Moved 276.79 302.2567 474.4746 -0.1002488 0.1668105
Moved 276.8048 347.2685 512.0447 -0.02210326 0.2392837
Moved 276.8209 398.9242 553.6334 0.06757668 0.3195087
Moved 276.8352 446.5992 583.4635 0.1503459 0.3770514
Moved 276.8508 471.6583 600.9941 0.1938512 0.4108681
Moved 276.8672 482.5 610.5 0.2126736 0.4292051
Moved 276.8824 497.6348 622.8624 0.2389493 0.4530523
Moved 276.8965 509.6058 631.9543 0.2597322 0.4705909
Moved 276.9117 516.037 638.7963 0.2708977 0.483789
Moved 276.9286 520.5796 642.3864 0.278784 0.4907144
Moved 276.9435 524.2678 644.6339 0.2851872 0.4950499
Moved 276.9576 527.1426 646.0713 0.290178 0.4978226
Moved 276.976 528.5 647.5 0.2925347 0.5005786
Moved 276.9895 529 647.5915 0.2934027 0.500755
Stationary 277.0042 529 648 0.2934027 0.5015432
Moved 277.0188 530.4672 648 0.29595 0.5015432
Stationary 277.0349 530.4672 648 0.29595 0.5015432
Moved 277.0502 513.8974 648 0.267183 0.5015432
Moved 277.0668 475.8863 619.9022 0.2011915 0.4473422
Moved 277.084 439.7434 598.9337 0.1384434 0.4068935
Moved 277.097 420.9694 586.8228 0.1058496 0.3835316
Moved 277.1126 377.3007 553.0285 0.0300359 0.3183419
Moved 277.1273 335.2028 517.1091 -0.04305065 0.2490531
Moved 277.1426 294.0396 483.0339 -0.1145147 0.1833214
Moved 277.1577 272.6881 463.789 -0.1515832 0.1461978
Moved 277.1756 260.091 450.091 -0.1734531 0.1197743
Moved 277.1882 247.2413 437.2413 -0.1957615 0.09498707
Moved 277.2052 241.7002 431.7003 -0.2053815 0.08429827
Moved 277.2218 235.9365 424.4524 -0.215388 0.07031705
Moved 277.2352 231.9707 419.956 -0.2222732 0.06164344
Moved 277.2511 227.6393 417.0929 -0.2297928 0.05612049
Moved 277.2683 226.2218 414.2218 -0.2322538 0.05058211
Moved 277.2835 223.3661 411.3661 -0.2372115 0.04507359
Moved 277.2962 222.2417 410.2417 -0.2391637 0.04290448
Moved 277.3139 221.1246 409.1246 -0.2411031 0.04074968
Moved 277.3395 219.293 407.293 -0.2442831 0.03721634
Moved 277.3516 217.8509 407 -0.2467867 0.0366512
Stationary 277.3615 217.8509 407 -0.2467867 0.0366512
Moved 277.3727 217.4138 406 -0.2475455 0.03472213
Moved 277.3889 217 404.9825 -0.2482639 0.03275945
Stationary 277.4039 217 404.9825 -0.2482639 0.03275945
Moved 277.4193 216 405 -0.25 0.03279318
Moved 277.4359 216 403.9882 -0.25 0.03084141
Stationary 277.4518 216 404 -0.25 0.03086419
Moved 277.4666 215 404 -0.2517361 0.03086419
Stationary 277.4831 215 404 -0.2517361 0.03086419
Moved 277.4972 214.234 403 -0.253066 0.02893512
Moved 277.5134 213.5 403 -0.2543403 0.02893512
Moved 277.5287 214 403 -0.2534722 0.02893512
Moved 277.5447 214 402.2673 -0.2534722 0.02752168
Stationary 277.5593 214 402 -0.2534722 0.02700611
Ended 277.5752 214 402 -0.2534722 0.02700611
Began 278.0219 404 575 0.07638887 0.3607252
Stationary 278.0373 404 575 0.07638887 0.3607252
Stationary 278.0522 404 575 0.07638887 0.3607252
Stationary 278.067 404 575 0.07638887 0.3607252
Stationary 278.0829 404 575 0.07638887 0.3607252
Stationary 278.0985 404 575 0.07638887 0.3607252
Stationary 278.1135 404 575 0.07638887 0.3607252
Stationary 278.1289 404 575 0.07638887 0.3607252
Moved 278.1438 422.2373 566.4177 0.1080509 0.3441699
Moved 278.1608 456.3612 560.9251 0.1672938 0.3335746
Moved 278.1767 494.2958 556.1006 0.2331525 0.324268
Moved 278.1916 521.8575 548.9323 0.2810027 0.3104403
Moved 278.2067 538.7852 546.2953 0.310391 0.3053535
Moved 278.2237 556.5814 540.8062 0.3412871 0.294765
Moved 278.2373 568.1089 538.5403 0.3613002 0.290394
Moved 278.2531 573.4982 538 0.3706566 0.2893518
Moved 278.2686 580.3377 538 0.3825307 0.2893518
Moved 278.2839 583.1049 537 0.3873348 0.2874228
Moved 278.2996 585.1301 537 0.3908509 0.2874228
Moved 278.3146 588 535.5 0.3958333 0.2845292
Stationary 278.329 588 535.5 0.3958333 0.2845292
Stationary 278.3445 588 535.5 0.3958333 0.2845292
Moved 278.3603 587 533.6268 0.3940972 0.2809159
Moved 278.3782 539.4673 523.3542 0.3115751 0.2610998
Moved 278.3911 506.0768 516.0602 0.2536055 0.2470296
Moved 278.4069 487.5566 517 0.2214524 0.2488425
Moved 278.4227 466.4998 517 0.1848955 0.2488425
Moved 278.4384 449.061 517 0.1546199 0.2488425
Moved 278.4535 431.5855 517 0.1242804 0.2488425
Moved 278.469 417.5 517 0.09982638 0.2488425
Moved 278.4849 408.6633 522.3367 0.08448481 0.2591371
Moved 278.5011 401.0009 524 0.07118209 0.2623456
Moved 278.5155 396.0698 524.6434 0.06262116 0.2635867
Moved 278.5307 392.845 525 0.05702265 0.2642746
Moved 278.5461 390 526.5 0.05208335 0.2671682
Moved 278.5618 389.0445 526.9555 0.05042448 0.2680468
Moved 278.5773 387.6004 527 0.04791744 0.2681327
Moved 278.5928 386.6414 527 0.04625238 0.2681327
Moved 278.6072 386.0719 528 0.04526369 0.2700616
Moved 278.6236 385.5 528 0.04427083 0.2700616
Moved 278.6382 386 529 0.0451389 0.2719907
Stationary 278.6531 386 529 0.0451389 0.2719907
Moved 278.6688 384.655 529 0.04280388 0.2719907
Moved 278.6839 385 530.0645 0.04340276 0.2740441
Stationary 278.7065 385 530.0645 0.04340276 0.2740441
Stationary 278.719 385 530.0645 0.04340276 0.2740441
Stationary 278.7306 385 530 0.04340276 0.2739197
Ended 278.7452 385 530 0.04340276 0.2739197
Began 279.5148 355 378 -0.008680559 -0.01929018
Stationary 279.5345 355 378 -0.008680559 -0.01929018
Stationary 279.5491 355 378 -0.008680559 -0.01929018
Stationary 279.5634 355 378 -0.008680559 -0.01929018
Stationary 279.5798 355 378 -0.008680559 -0.01929018
Stationary 279.5939 355 378 -0.008680559 -0.01929018
Stationary 279.609 355 378 -0.008680559 -0.01929018
Stationary 279.6245 355 378 -0.008680559 -0.01929018
Stationary 279.6402 355 378 -0.008680559 -0.01929018
Stationary 279.6561 355 378 -0.008680559 -0.01929018
Stationary 279.6729 355 378 -0.008680559 -0.01929018
Stationary 279.6865 355 378 -0.008680559 -0.01929018
Stationary 279.7023 355 378 -0.008680559 -0.01929018
Stationary 279.717 355 378 -0.008680559 -0.01929018
Moved 279.7321 337.8172 386.5914 -0.03851186 -0.002717206
