come and see our new car
Basic
0.4 0.4
288 259.2
Began 108.9099 287 300 -0.2534722 -0.3395063
Stationary 108.9273 287 300 -0.2534722 -0.3395063
Stationary 108.9381 287 300 -0.2534722 -0.3395063
Stationary 108.9534 287 300 -0.2534722 -0.3395063
Stationary 108.9697 287 300 -0.2534722 -0.3395063
Stationary 108.9851 287 300 -0.2534722 -0.3395063
Stationary 108.9989 287 300 -0.2534722 -0.3395063
Stationary 109.0164 287 300 -0.2534722 -0.3395063
Stationary 109.031 287 300 -0.2534722 -0.3395063
Moved 109.0462 299.3058 314.8823 -0.2107436 -0.2820899
Moved 109.0625 304.053 323.106 -0.1942604 -0.2503627
Moved 109.0777 311.2885 331.7462 -0.1691373 -0.2170288
Moved 109.0931 315.7024 337.6032 -0.1538111 -0.194432
Moved 109.1083 321.3622 343.3622 -0.1341592 -0.1722139
Moved 109.1237 325.3684 348.3685 -0.1202485 -0.1528995
Moved 109.1399 328.7877 352.717 -0.108376 -0.1361229
Moved 109.1553 333.0157 357.0157 -0.09369551 -0.1195382
Moved 109.1704 338.0928 362.3196 -0.07606663 -0.0990758
Moved 109.186 342.6778 367.9037 -0.06014652 -0.07753195
Moved 109.2011 345.3362 371.0043 -0.05091584 -0.06556981
Moved 109.2175 348.2118 374.2118 -0.04093125 -0.05319524
Moved 109.2311 351 378.5 -0.03124997 -0.03665135
Moved 109.2475 355.194 381.9253 -0.01668759 -0.02343648
Moved 109.2622 359.2328 386.2328 -0.002663955 -0.006818005
Moved 109.2791 363.5 392 0.01215279 0.01543204
Moved 109.2928 368.8814 396.8813 0.0308381 0.03426428
Moved 109.3104 373.2137 401.2136 0.04588067 0.0509783
Moved 109.3236 376.7004 404.7004 0.05798756 0.06443053
Moved 109.3389 380.8427 407.5618 0.07237046 0.0754699
Moved 109.3541 386 411.5 0.09027779 0.09066352
Moved 109.3698 390.4633 416.4633 0.1057753 0.1098121
Moved 109.3847 396.2249 420.9186 0.1257809 0.1270009
Moved 109.4004 401.9934 424.4967 0.1458104 0.140805
Moved 109.4164 407.7563 428.5672 0.1658204 0.1565091
Moved 109.4314 411.884 431.884 0.1801529 0.1693056
Moved 109.4475 417.2765 436.2073 0.1988765 0.1859851
Moved 109.4625 423 439 0.2187499 0.1967592
Moved 109.4784 426.4705 441.8529 0.2308003 0.2077658
