the dow jones index has risen
Basic
0.6 0.6
432 388.8
Began 119.3743 334 553 -0.06018519 0.4243826
Stationary 119.3943 334 553 -0.06018519 0.4243826
Stationary 119.4084 334 553 -0.06018519 0.4243826
Stationary 119.4247 334 553 -0.06018519 0.4243826
Stationary 119.44 334 553 -0.06018519 0.4243826
Stationary 119.4551 334 553 -0.06018519 0.4243826
Moved 119.4701 334 541.0744 -0.06018519 0.3937098
Moved 119.4865 339.7222 533.7084 -0.04693935 0.3747643
Moved 119.5032 348.4684 520.1412 -0.02669339 0.3398692
Moved 119.5189 355.5 510.5 -0.01041666 0.3150719
Moved 119.5328 358.8983 501.2034 -0.002550284 0.291161
Moved 119.5476 364.6205 491.1641 0.01069556 0.2653398
Moved 119.5638 372.1858 479.4655 0.0282079 0.2352508
Moved 119.5791 378.1665 470.2502 0.04205207 0.2115489
Moved 119.5937 383 464.5 0.05324075 0.1967592
Moved 119.609 390.0117 453.3177 0.0694716 0.1679981
Moved 119.6251 396.096 444.356 0.08355568 0.1449484
Moved 119.6404 401.1408 436.7184 0.09523332 0.1253044
Moved 119.6565 405.4545 430.394 0.1052188 0.1090379
Moved 119.6715 409.7928 420.2191 0.1152612 0.08286782
Moved 119.6867 413.0864 410.7408 0.1228852 0.05848978
Moved 119.7025 415.9641 405.0719 0.1295464 0.0439092
Moved 119.7171 416.5561 401.3318 0.1309168 0.03428969
Moved 119.7352 417.9977 397.0071 0.1342538 0.02316628
Moved 119.7488 418.4376 394.5624 0.1352722 0.01687847
Moved 119.7638 419.878 392.244 0.1386065 0.01091549
Moved 119.7795 420 389.3591 0.1388889 0.003495628
Moved 119.7943 421 387.2394 0.1412037 -0.00195617
Moved 119.8096 422.1897 384.6205 0.1439577 -0.008692015
Moved 119.8258 422 383.7588 0.1435185 -0.01090854
Moved 119.8406 422 382.5 0.1435185 -0.01414617
Moved 119.8565 422 381.9015 0.1435185 -0.01568555
Moved 119.8726 412.4578 380.3644 0.1214301 -0.01963878
Moved 119.8876 405.6432 378.9286 0.1056557 -0.02333174
Moved 119.9101 388.3553 379 0.06563733 -0.02314815
Stationary 119.9211 388.3553 379 0.06563733 -0.02314815
Moved 119.9329 382.8611 379 0.05291929 -0.02314815
Moved 119.9483 369.713 390.8107 0.02248367 0.007229165
Moved 119.9641 359.655 397.5087 -0.0007985532 0.02445656
Moved 119.9808 350.8138 403.4575 -0.0212643 0.03975676
Moved 119.9943 343.9919 409.2065 -0.03705581 0.05454334
Moved 120.0107 335.5011 414.9993 -0.05671049 0.06944252
Moved 120.0261 329.5501 420.7599 -0.07048576 0.08425889
Moved 120.0425 324.5325 425.4675 -0.08210067 0.09636702
Moved 120.0551 317.6548 432.3452 -0.09802138 0.1140565
Moved 120.0719 312.8727 440.8365 -0.1090911 0.1358963
Moved 120.0877 307.4054 450.0406 -0.1217469 0.1595695
Moved 120.1023 302.2189 456.3748 -0.1337526 0.1758611
Moved 120.1178 297.9042 462.1278 -0.1437403 0.1906579
Moved 120.1328 293.5755 469.3741 -0.1537603 0.2092956
Moved 120.1491 289.9388 472.0612 -0.1621788 0.2162068
Moved 120.1639 285.9302 476.0698 -0.1714579 0.2265169
Moved 120.1799 280.2934 481.7066 -0.184506 0.2410149
Moved 120.195 277.367 486.5107 -0.1912802 0.253371
Moved 120.211 274.3665 489.6335 -0.1982256 0.2614029
Moved 120.2272 269.71 495.0533 -0.2090046 0.2753429
Moved 120.2414 266.5806 498.4194 -0.2162487 0.2840005
Moved 120.257 264 502.5 -0.2222222 0.2944958
Moved 120.2744 262.563 505.437 -0.2255485 0.3020496
Moved 120.2877 260.859 508.282 -0.229493 0.3093672
Moved 120.303 259.4119 511.1761 -0.2328428 0.316811
Moved 120.3184 257.9825 513.0175 -0.2361516 0.321547
Moved 120.334 256.5311 514.4689 -0.2395113 0.32528
Moved 120.3498 256 515.9062 -0.2407407 0.3289767
Moved 120.3641 254.6586 517.3414 -0.2438459 0.3326682
Moved 120.3821 255 518.3444 -0.2430556 0.3352479
Moved 120.3943 254 520.8228 -0.2453704 0.3416224
Moved 120.4102 254 522 -0.2453704 0.3446501
Moved 120.4269 253 522.7874 -0.2476852 0.3466753
Moved 120.4426 253 523.5 -0.2476852 0.3485081
Moved 120.4567 251.6621 524.3379 -0.2507822 0.3506632
Moved 120.4728 252 525.0558 -0.25 0.3525096
Stationary 120.4882 252 525.0558 -0.25 0.3525096
Ended 120.5032 252 525 -0.25 0.3523662
Began 120.9611 291 384 -0.1597222 -0.01028807
Stationary 120.9812 291 384 -0.1597222 -0.01028807
Stationary 120.9984 291 384 -0.1597222 -0.01028807
Stationary 121.0112 291 384 -0.1597222 -0.01028807
Stationary 121.0271 291 384 -0.1597222 -0.01028807
Moved 121.0418 291 393.1309 -0.1597222 0.01319665
Moved 121.058 291 397.4034 -0.1597222 0.02418557
Moved 121.0747 291 401.1031 -0.1597222 0.03370136
Moved 121.0889 291 408.2945 -0.1597222 0.05219769
Moved 121.1035 301.4437 413.9678 -0.1355469 0.06678958
Moved 121.1191 299.9349 422.6747 -0.1390395 0.08918377
Moved 121.135 302.7475 432.6163 -0.1325289 0.1147539
Moved 121.1504 304.6352 438.2704 -0.1281592 0.1292964
Moved 121.1654 307.5067 446.5199 -0.1215124 0.1505141
Moved 121.1812 311.5 451 -0.1122685 0.162037
Moved 121.1971 315.4497 457.0828 -0.1031257 0.1776821
Moved 121.2123 318.5067 460.5067 -0.09604941 0.1864883
Moved 121.2306 321.9705 463.9705 -0.08803134 0.1953972
Moved 121.2487 325.1834 468.2751 -0.08059387 0.2064689
Moved 121.2591 330.613 472.613 -0.06802554 0.2176259
Moved 121.2736 335.9221 476.9416 -0.05573576 0.2287592
Moved 121.2892 341.6937 481.2703 -0.04237577 0.2398926
Moved 121.3038 345.4431 484.0823 -0.03369664 0.2471251
Moved 121.3196 357.525 489.7286 -0.005729099 0.2616475
Moved 121.3355 369.0619 494.1482 0.02097656 0.2730148
Moved 121.351 381.541 499.4529 0.04986336 0.2866586
Moved 121.3651 393.0267 502.5067 0.07645071 0.2945129
