coming up with killer sound bites
Basic
0.6 0.6
432 388.8
Began 148.2483 286 298 -0.1712963 -0.2314816
Stationary 148.2695 286 298 -0.1712963 -0.2314816
Stationary 148.289 286 298 -0.1712963 -0.2314816
Stationary 148.3007 286 298 -0.1712963 -0.2314816
Stationary 148.3147 286 298 -0.1712963 -0.2314816
Stationary 148.3296 286 298 -0.1712963 -0.2314816
Stationary 148.3445 286 298 -0.1712963 -0.2314816
Stationary 148.3589 286 298 -0.1712963 -0.2314816
Stationary 148.3743 286 298 -0.1712963 -0.2314816
Stationary 148.3897 286 298 -0.1712963 -0.2314816
Stationary 148.406 286 298 -0.1712963 -0.2314816
Moved 148.4206 286 310.4854 -0.1712963 -0.199369
Moved 148.4374 296.222 322.7995 -0.1476343 -0.1676968
Moved 148.453 304.5734 338.0513 -0.1283023 -0.128469
Moved 148.4693 311.5 349 -0.1122685 -0.1003086
Moved 148.4827 318.8169 359.7437 -0.09533127 -0.07267587
Moved 148.4998 328.9003 375.5577 -0.07198999 -0.03200193
Moved 148.5141 336.1116 386.8156 -0.05529716 -0.00304642
Moved 148.5298 342.1793 395.7689 -0.04125163 0.01998175
Moved 148.5449 348.6659 401.6659 -0.02623643 0.03514882
Moved 148.5602 357.2363 413.0453 -0.006397466 0.06441697
Moved 148.5755 366.7383 425.235 0.01559794 0.09576891
Moved 148.5912 375.1516 434.8435 0.03507306 0.1204822
Moved 148.6066 382.674 444.9436 0.05248616 0.1464598
Moved 148.6223 389.931 451.931 0.06928474 0.1644316
Moved 148.637 399.1222 462.1396 0.09056071 0.1906884
Moved 148.6527 403.3879 466.3879 0.1004349 0.2016148
Moved 148.6688 414.0435 478.0435 0.1251007 0.2315931
Moved 148.6838 422.0881 486.0881 0.1437225 0.252284
Moved 148.6987 429.3027 493.3027 0.160423 0.2708402
Moved 148.7142 437.6032 501.504 0.1796371 0.2919341
Moved 148.7294 446.0604 508.717 0.1992139 0.3104859
Moved 148.7443 450.1653 511.5826 0.2087159 0.3178565
Moved 148.7599 453.7353 514.7353 0.2169799 0.3259652
Moved 148.7752 459.2935 518.9702 0.2298461 0.3368573
Moved 148.7911 462.5053 520.5053 0.2372808 0.3408057
Moved 148.8063 466.6259 522.2086 0.2468191 0.3451867
Moved 148.822 470.9386 524.6462 0.2568024 0.3514561
Moved 148.8378 474.1474 526.0737 0.2642301 0.3551278
Moved 148.853 480 529 0.2777778 0.3626543
Moved 148.8682 484.2072 530.4715 0.2875168 0.3664389
Moved 148.8856 488.3224 532.1075 0.2970425 0.3706467
Moved 148.8987 492.5 533.5 0.306713 0.3742283
Moved 148.9149 496.9417 533 0.3169948 0.3729423
Moved 148.9306 499.8467 533 0.3237192 0.3729423
Moved 148.9447 504.5524 533 0.334612 0.3729423
Moved 148.9601 508.8759 533 0.3446202 0.3729423
Moved 148.977 515.5 519.5 0.3599537 0.3382201
Moved 148.991 518.5328 513.09 0.3669742 0.3217335
Moved 149.014 520 488.6969 0.3703704 0.258994
Stationary 149.0246 520 488.6969 0.3703704 0.258994
Moved 149.038 520 472.3021 0.3703704 0.2168264
Moved 149.0534 515.1914 456.186 0.3592394 0.1753755
Moved 149.0692 505.7747 430.2491 0.3374416 0.1086654
Moved 149.0842 497.0658 408.6645 0.317282 0.05314929
Moved 149.0994 489.0266 392.8427 0.2986726 0.01245546
Moved 149.1148 479.014 369.0327 0.2754954 -0.04878433
Moved 149.1305 473.2544 354.636 0.262163 -0.08581271
Moved 149.145 468.488 342.2201 0.2511297 -0.1177468
Moved 149.161 465.3888 333.1664 0.2439556 -0.141033
Moved 149.1767 460.7399 318.973 0.2331942 -0.1775386
Moved 149.1921 457.6047 308.6164 0.2259368 -0.204176
Moved 149.2074 456.7652 301.3566 0.2239936 -0.2228482
Moved 149.2233 453.5005 291.2512 0.2164363 -0.2488395
Moved 149.2381 451.812 282.8721 0.2125278 -0.2703907
Moved 149.2534 449.7519 274.6315 0.2077589 -0.2915858
Moved 149.2698 447.937 267.7479 0.2035578 -0.3092905
Moved 149.285 445 257.5 0.1967593 -0.3356482
Moved 149.2999 445 255.0958 0.1967593 -0.3418318
Moved 149.3146 443.9723 252.9445 0.1943802 -0.3473651
Stationary 149.3302 443.9723 252.9445 0.1943802 -0.3473651
Moved 149.3455 441.1373 252 0.1878178 -0.3497943
Moved 149.3616 436.9338 252 0.1780875 -0.3497943
Moved 149.3774 427.9601 273.2718 0.157315 -0.2950829
Moved 149.392 419.5525 288.6539 0.1378529 -0.25552
Moved 149.4069 414.2666 307.2501 0.1256172 -0.20769
Moved 149.4229 411.3157 322.1057 0.1187864 -0.1694813
Moved 149.438 404.7943 347.5819 0.1036904 -0.1039561
Moved 149.4541 404.329 364.381 0.1026134 -0.06074842
Moved 149.4697 404 378.0333 0.1018518 -0.02563469
Moved 149.4852 403 392.0333 0.09953707 0.0103737
Moved 149.4994 403 404.9028 0.09953707 0.04347432
Moved 149.5152 403 417.9248 0.09953707 0.07696701
Moved 149.5324 403 429.9005 0.09953707 0.1077688
Moved 149.5459 410.912 440.912 0.1178518 0.1360904
Moved 149.5612 413.8639 451.0236 0.1246849 0.1620975
Moved 149.5773 416.717 461.1509 0.1312893 0.1881453
Moved 149.5926 420.9127 471.1296 0.1410015 0.2138106
Moved 149.6074 423.4867 480.2034 0.1469599 0.2371485
Moved 149.6233 425.1862 487.9311 0.150894 0.2570244
Moved 149.6387 428 493 0.1574074 0.2700616
Moved 149.653 429.6956 498.7826 0.1613325 0.2849345
Moved 149.6691 432.2884 505.7209 0.1673342 0.30278
Moved 149.6851 435.1705 509.7558 0.1740058 0.3131578
Moved 149.7 438.0644 514.0966 0.1807046 0.3243224
Moved 149.7158 439.4748 516.9496 0.1839694 0.3316604
Moved 149.7332 442.8197 518.9099 0.1917122 0.3367021
Moved 149.7465 444.3404 521.6808 0.1952324 0.3438291
Moved 149.7613 446.7181 522.3591 0.2007363 0.3455737
Moved 149.7786 448.9093 523.9094 0.2058087 0.3495611
Moved 149.7935 451.6961 524 0.2122594 0.3497942
Moved 149.8087 454.5659 524 0.2189026 0.3497942
