parking lot is full of trucks
Basic
0.4 0.4
288 259.2
Began 152.2798 534 472 0.6041667 0.324074
Stationary 152.2994 534 472 0.6041667 0.324074
Stationary 152.3142 534 472 0.6041667 0.324074
Stationary 152.3297 534 472 0.6041667 0.324074
Stationary 152.3451 534 472 0.6041667 0.324074
Stationary 152.3624 534 472 0.6041667 0.324074
Stationary 152.375 534 472 0.6041667 0.324074
Stationary 152.3906 534 472 0.6041667 0.324074
Moved 152.4081 522.6503 472 0.5647578 0.324074
Moved 152.4233 518.84 472 0.5515276 0.324074
Moved 152.4441 508.7286 472 0.5164187 0.324074
Stationary 152.4553 508.7286 472 0.5164187 0.324074
Moved 152.4687 501.9998 472 0.493055 0.324074
Moved 152.4842 495.1048 472 0.4691137 0.324074
Moved 152.4986 487.2619 472 0.4418815 0.324074
Moved 152.5156 482.0052 478.9927 0.423629 0.3510521
Moved 152.5305 475.1146 479 0.3997034 0.3510802
Moved 152.5472 468.212 479 0.3757362 0.3510802
Moved 152.5616 461.317 479 0.3517949 0.3510802
Moved 152.5767 454.4183 479 0.3278412 0.3510802
Moved 152.5925 448.4261 479 0.3070351 0.3510802
Moved 152.6077 441.6579 479 0.2835344 0.3510802
Moved 152.6221 435.5 479 0.2621528 0.3510802
Moved 152.6386 429.2739 479 0.2405344 0.3510802
Moved 152.6536 423.4726 479 0.220391 0.3510802
Moved 152.6693 416.5 479 0.1961805 0.3510802
Moved 152.6851 410.3954 479 0.1749842 0.3510802
Moved 152.7002 404.8656 479 0.1557833 0.3510802
Moved 152.7167 398.3075 479 0.1330121 0.3510802
Moved 152.7307 392.7519 470.5037 0.1137218 0.3183013
Moved 152.7466 388.6355 469.9089 0.09942874 0.3160063
Moved 152.7639 380.0572 465.5286 0.06964296 0.299107
Moved 152.7759 376.4614 462.3461 0.05715772 0.2868288
Moved 152.7918 370.9173 458.188 0.03790721 0.2707869
Moved 152.8068 364.3626 454.6813 0.01514778 0.2572579
Moved 152.823 357.7732 449.8185 -0.007732064 0.2384973
Moved 152.8392 349.3883 444.2589 -0.03684618 0.2170479
Moved 152.8563 344.5 440 -0.05381941 0.2006171
Moved 152.8699 337.6906 433.6906 -0.07746338 0.1762752
Moved 152.8846 332.0325 428.0325 -0.09710922 0.1544464
Moved 152.9013 324.5366 420.5366 -0.1231368 0.1255269
