my bare face in the wind
Basic
0.4 0.4
288 259.2
Began 170.4523 467 323 0.3715278 -0.2507717
Stationary 170.4712 467 323 0.3715278 -0.2507717
Stationary 170.4842 467 323 0.3715278 -0.2507717
Stationary 170.4993 467 323 0.3715278 -0.2507717
Stationary 170.5165 467 323 0.3715278 -0.2507717
Stationary 170.5312 467 323 0.3715278 -0.2507717
Stationary 170.5466 467 323 0.3715278 -0.2507717
Moved 170.5635 459.5976 333.575 0.3458248 -0.2099733
Moved 170.5788 456.4392 338.9347 0.3348583 -0.1892952
Moved 170.5948 452.7516 347.121 0.3220541 -0.1577124
Moved 170.6097 450.009 352.9819 0.3125313 -0.1351006
Moved 170.6248 447.2371 358.5258 0.3029066 -0.1137122
Moved 170.6404 444.4608 363.3087 0.2932667 -0.0952597
Moved 170.6574 440.5219 369.7968 0.27959 -0.07022834
Moved 170.6714 438 375 0.2708333 -0.05015443
Moved 170.6856 435.6307 378.7385 0.2626067 -0.03573111
Moved 170.7026 433.0805 383.8389 0.2537519 -0.01605363
Moved 170.7177 430.3011 388.0483 0.2441011 0.000186202
Moved 170.7327 428.527 391.473 0.2379408 0.01339889
Moved 170.7476 425.7537 395.3694 0.2283114 0.02843144
Moved 170.7648 424.5 399.5 0.2239583 0.04436722
Moved 170.7783 422.1015 402.797 0.2156302 0.05708718
Moved 170.794 419.4392 405.5608 0.206386 0.0677499
Moved 170.8093 418.7331 407.5338 0.2039343 0.07536175
Moved 170.8242 416.2762 410.4475 0.1954037 0.08660292
Moved 170.8401 413.7682 413.2318 0.1866951 0.09734488
Moved 170.8556 412.5233 415.9533 0.1823728 0.1078444
Moved 170.8707 410.1268 418.7463 0.1740515 0.1186201
Moved 170.8862 407.4886 421.5114 0.164891 0.1292878
Moved 170.9011 404.7187 424.922 0.1552732 0.1424458
Moved 170.918 402.4668 429.0665 0.147454 0.1584353
Moved 170.9334 399.8584 433.2124 0.1383974 0.1744304
Moved 170.9478 397.0859 435.9141 0.1287706 0.1848536
Moved 170.9656 395.1543 438.6914 0.1220634 0.1955686
Moved 170.9782 392.55 442.675 0.1130208 0.2109373
Moved 170.9933 389.7668 445.2333 0.1033568 0.2208073
Moved 171.0092 386.9926 448.0074 0.09372427 0.2315098
Moved 171.0256 385.6104 450.7792 0.08892491 0.2422037
