the five boxing wizards jump quickly
Basic
0.6 0.6
432 129.6
Began 221.0432 338 474 -0.05092591 0.6635804
Stationary 221.0634 338 474 -0.05092591 0.6635804
Stationary 221.0776 338 474 -0.05092591 0.6635804
Stationary 221.0947 338 474 -0.05092591 0.6635804
Stationary 221.1087 338 474 -0.05092591 0.6635804
Moved 221.1238 338 458.4957 -0.05092591 0.5439482
Moved 221.1405 351.111 448.8223 -0.02057642 0.4693081
Moved 221.1559 357 439 -0.006944438 0.3935187
Moved 221.1702 363.7804 428.7422 0.008750956 0.3143694
Moved 221.1862 370.0487 419.4269 0.02326091 0.2424919
Moved 221.2023 376.114 410.4767 0.03730088 0.1734319
Moved 221.2167 380.4263 404.4316 0.04728307 0.1267869
Moved 221.2324 383.7393 399.2607 0.05495211 0.08688785
Moved 221.248 386.0172 394.9485 0.06022493 0.05361522
Moved 221.2638 388.9088 392.0911 0.06691863 0.03156745
Moved 221.278 389.5898 390.4102 0.06849488 0.01859759
Moved 221.2954 391.0271 387.9459 0.07182191 -0.0004176152
Moved 221.3106 392.4603 386.5397 0.0751395 -0.01126737
Moved 221.3249 393.9017 385.0983 0.07847627 -0.0223898
Moved 221.3408 395.3353 383.6647 0.08179456 -0.03345113
Moved 221.3563 396.7736 381.4529 0.08512397 -0.0505179
Moved 221.3708 399.4217 379.7891 0.09125391 -0.06335553
Moved 221.3865 400.2257 377.5486 0.09311497 -0.08064318
Moved 221.4014 402.7479 376.2521 0.09895335 -0.09064709
Moved 221.4169 404.1737 374.8262 0.102254 -0.1016492
Moved 221.4316 404.6137 373.3864 0.1032724 -0.1127596
Moved 221.4477 406.062 371.938 0.1066249 -0.1239346
Stationary 221.463 406.4986 372 0.1076358 -0.1234566
Moved 221.4787 407 371.0641 0.1087963 -0.1306783
Stationary 221.4942 407 371 0.1087963 -0.1311728
Stationary 221.5101 407 371 0.1087963 -0.1311728
Stationary 221.5242 407 371 0.1087963 -0.1311728
Stationary 221.5401 407 371 0.1087963 -0.1311728
Stationary 221.5557 407 371 0.1087963 -0.1311728
Moved 221.5707 397.1803 371 0.08606554 -0.1311728
Moved 221.5877 390.9911 371 0.07173876 -0.1311728
Moved 221.6022 384.0061 377.6585 0.05556971 -0.07979546
Moved 221.6183 376.9513 381.4195 0.03923913 -0.05077551
Moved 221.6334 368.783 385.2868 0.02033104 -0.02093515
Moved 221.6487 359.4233 387.0824 -0.001334846 -0.007080149
Moved 221.6653 349.5 391.5 -0.02430553 0.02700641
Moved 221.6791 341.2436 392.9594 -0.04341761 0.03826706
Moved 221.6946 334.0421 395.7832 -0.06008784 0.06005546
Moved 221.7113 330 396.5 -0.06944443 0.06558666
Moved 221.7254 324.3757 397.9061 -0.08246372 0.07643571
Moved 221.7405 318.6344 400.6828 -0.09575372 0.097861
Moved 221.7564 312.8679 401.783 -0.1091022 0.1063506
Moved 221.7716 307.1381 403.2155 -0.1223656 0.1174038
Moved 221.7875 300.3882 404.3059 -0.1379903 0.1258174
Moved 221.8021 294.6484 406.0879 -0.1512768 0.1395671
Moved 221.8181 290.5 407.5 -0.1608796 0.1504631
Moved 221.8338 285.0532 408.7367 -0.1734879 0.1600055
Moved 221.8491 279.2953 410.1761 -0.1868163 0.1711125
Moved 221.8648 276.1689 411.6104 -0.1940534 0.1821785
Moved 221.88 272.898 413.051 -0.201625 0.193295
Moved 221.8959 268.5313 414.4896 -0.2117331 0.2043947
Moved 221.9116 266.1433 416.8567 -0.2172609 0.2226597
Moved 221.9259 263.2735 418.3632 -0.2239038 0.2342842
Moved 221.9418 259.9519 420.6987 -0.2315927 0.252305
Moved 221.9569 256.2756 422.9081 -0.2401027 0.269353
Moved 221.973 253.3058 425.6942 -0.2469773 0.2908501
Moved 221.989 249.4282 426.7859 -0.2559532 0.2992738
Moved 222.0036 245.3262 428.2246 -0.2654485 0.3103751
Moved 222.0194 242.6715 429.6642 -0.2715939 0.3214833
Moved 222.0346 238.6946 431.1018 -0.2807996 0.3325756
Moved 222.05 237.8732 432.1268 -0.2827009 0.3404845
Moved 222.0653 235.3862 432.6138 -0.2884579 0.3442425
Moved 222.0803 232.8927 433 -0.2942299 0.3472221
Moved 222.0956 231.5075 434.4925 -0.2974363 0.3587384
Moved 222.1114 231.0689 434 -0.2984517 0.3549384
Moved 222.1263 229.634 434 -0.3017732 0.3549384
Moved 222.1413 229 435 -0.3032407 0.3626544
Moved 222.1573 228.0583 435 -0.3054207 0.3626544
Stationary 222.172 228 435 -0.3055556 0.3626544
Ended 222.1875 227 435 -0.3078704 0.3626544
Began 222.4916 308 377 -0.1203704 -0.08487654
Stationary 222.5128 308 377 -0.1203704 -0.08487654
Stationary 222.5262 308 377 -0.1203704 -0.08487654
Stationary 222.5543 308 377 -0.1203704 -0.08487654
Stationary 222.5677 308 377 -0.1203704 -0.08487654
Stationary 222.5826 308 377 -0.1203704 -0.08487654
Stationary 222.5973 308 377 -0.1203704 -0.08487654
Stationary 222.607 308 377 -0.1203704 -0.08487654
Stationary 222.6186 308 377 -0.1203704 -0.08487654
Stationary 222.6337 308 377 -0.1203704 -0.08487654
Moved 222.6503 321.743 384.3145 -0.088558 -0.02843751
Moved 222.6665 326.0701 386.3567 -0.07854144 -0.01267987
Moved 222.6817 330.3918 389.5945 -0.06853744 0.01230369
Moved 222.6984 337.1626 392.465 -0.05286435 0.03445237
Moved 222.7124 340.5 395 -0.0451389 0.05401247
Moved 222.7277 348.046 399.4276 -0.02767126 0.08817602
Moved 222.7431 355.2368 403.7421 -0.01102582 0.1214673
Moved 222.758 360.7983 406.3992 0.001847943 0.1419689
Moved 222.7736 366.4924 409.2462 0.01502881 0.1639369
Moved 222.7893 370.7179 410.5726 0.02480984 0.1741716
Moved 222.8044 375.024 413.0161 0.03477792 0.1930251
Moved 222.8195 379.3407 414.4469 0.04477014 0.2040657
Moved 222.8349 384.1923 416.5481 0.05600075 0.2202784
Moved 222.8507 390.9409 418.9764 0.07162253 0.2390153
Moved 222.8665 398.1345 421.8538 0.08827418 0.2612173
Moved 222.8819 405.2915 423.8583 0.1048415 0.2766841
