coming up with killer sound bites
Basic
0.6 0.6
432 388.8
Began 475.9543 328 171 -0.07407407 -0.5581277
Stationary 475.9723 328 171 -0.07407407 -0.5581277
Stationary 475.9883 328 171 -0.07407407 -0.5581277
Stationary 476.0049 328 171 -0.07407407 -0.5581277
Stationary 476.0206 328 171 -0.07407407 -0.5581277
Moved 476.0356 328 179.4063 -0.07407407 -0.5365066
Moved 476.0511 340.4969 186.9427 -0.04514609 -0.5171225
Moved 476.0662 346 200 -0.03240739 -0.4835392
Moved 476.0807 367.8502 233.2753 0.01817177 -0.3979546
Moved 476.0973 390.8727 267.8091 0.07146467 -0.3091329
Moved 476.1123 397.8796 281.946 0.08768439 -0.2727726
Moved 476.128 406.4549 297.6674 0.1075345 -0.2323371
Moved 476.1429 412.4307 311.2337 0.1213674 -0.1974442
Moved 476.158 418.4998 326.2495 0.1354162 -0.1588235
Moved 476.1739 425.5 340 0.1516204 -0.1234569
Moved 476.1894 428.6272 349.568 0.1588593 -0.09884783
Moved 476.2065 435.4679 367.2166 0.1746942 -0.05345536
Moved 476.221 440.1353 379.3383 0.1854984 -0.02227814
Moved 476.2354 444.9216 390.8171 0.1965778 0.007245727
Moved 476.2512 447.8173 402.2691 0.2032806 0.03670029
Moved 476.2653 451.7086 411.9799 0.2122883 0.06167663
Moved 476.2816 454.5934 422.0771 0.2189663 0.08764679
Moved 476.2975 455.862 430.8792 0.2219028 0.1102858
Moved 476.3122 457 441.2429 0.2245371 0.1369415
Moved 476.3277 458.313 448.5649 0.2275764 0.155774
Moved 476.3431 458 453.2872 0.2268519 0.1679196
Moved 476.3582 459.1783 457.535 0.2295794 0.178845
Moved 476.3741 459 460.2541 0.2291666 0.1858386
Moved 476.3934 459 464.2039 0.2291666 0.1959976
Moved 476.4062 459 466.2552 0.2291666 0.2012735
Moved 476.4202 459 468.6149 0.2291666 0.2073428
Moved 476.4374 459 471.1133 0.2291666 0.2137686
Moved 476.4531 459 472.4938 0.2291666 0.2173194
Moved 476.4665 459 473.934 0.2291666 0.2210235
Moved 476.4818 459 475.3766 0.2291666 0.2247342
Moved 476.4975 459 476.5 0.2291666 0.2276234
Stationary 476.513 459 476.5 0.2291666 0.2276234
Moved 476.5283 459 478.3271 0.2291666 0.2323228
Stationary 476.5435 459 478.3271 0.2291666 0.2323228
Moved 476.559 459 479.3734 0.2291666 0.2350138
Moved 476.5748 459 480.3203 0.2291666 0.2374491
Moved 476.5896 459 481.0411 0.2291666 0.2393032
Moved 476.605 459.518 483.0359 0.2303657 0.244434
Moved 476.6208 460 484.7201 0.2314815 0.2487655
Moved 476.6369 462.1419 488.2129 0.2364397 0.2577491
Moved 476.6528 463.5095 491.5286 0.2396054 0.266277
Moved 476.6664 464.951 494.902 0.2429422 0.2749537
Moved 476.6826 466.3899 496.3898 0.2462728 0.2787804
Moved 476.6998 466.8286 498 0.2472886 0.2829217
Moved 476.713 467 499.2673 0.2476852 0.2861814
Moved 476.7283 467 500.5 0.2476852 0.2893518
Moved 476.7443 467 501.5 0.2476852 0.2919238
Moved 476.7587 467 501 0.2476852 0.2906378
Stationary 476.773 467 501 0.2476852 0.2906378
Stationary 476.7881 467 501 0.2476852 0.2906378
Stationary 476.8034 467 501 0.2476852 0.2906378
Stationary 476.8198 467 501 0.2476852 0.2906378
Stationary 476.8352 467 501 0.2476852 0.2906378
Stationary 476.852 467 501 0.2476852 0.2906378
Stationary 476.8676 467 501 0.2476852 0.2906378
Stationary 476.8826 467 501 0.2476852 0.2906378
Stationary 476.9122 467 501 0.2476852 0.2906378
Stationary 476.9283 467 501 0.2476852 0.2906378
Stationary 476.9415 467 501 0.2476852 0.2906378
Stationary 476.9527 467 501 0.2476852 0.2906378
Stationary 476.9628 467 501 0.2476852 0.2906378
Stationary 476.9743 467 501 0.2476852 0.2906378
Stationary 476.9898 467 501 0.2476852 0.2906378
Stationary 477.0045 467 501 0.2476852 0.2906378
Stationary 477.0209 467 501 0.2476852 0.2906378
Stationary 477.0361 467 501 0.2476852 0.2906378
Stationary 477.0508 467 501 0.2476852 0.2906378
Moved 477.0681 455.9573 482.8861 0.2221234 0.2440486
Moved 477.0839 447.1752 459.4672 0.2017944 0.1838146
Moved 477.0991 443.4881 438.9524 0.1932595 0.1310504
Moved 477.1146 440.3248 419.611 0.185937 0.08130387
Moved 477.1289 438.2176 402.6109 0.1810592 0.0375794
Moved 477.1455 436.7783 376.7867 0.1777274 -0.02884084
Moved 477.1608 436 356.0773 0.1759259 -0.0821057
Moved 477.1763 436 332.7919 0.1759259 -0.1419961
Moved 477.191 436 305.6696 0.1759259 -0.2117553
Moved 477.2069 436 294.4613 0.1759259 -0.2405831
Moved 477.2233 444.7233 280.0958 0.1961189 -0.2775314
Moved 477.239 444.5321 270.8072 0.1956763 -0.3014219
Moved 477.2527 445 263.1451 0.1967593 -0.321129
Moved 477.2681 446.4138 258.7584 0.2000321 -0.3324114
Moved 477.2846 446 256.7375 0.199074 -0.3376094
Moved 477.3003 446 255.0576 0.199074 -0.3419301
Moved 477.3148 446 253.6227 0.199074 -0.3456208
Stationary 477.3298 446 254 0.199074 -0.3446502
Stationary 477.3453 446 254 0.199074 -0.3446502
Moved 477.36 446 264.4636 0.199074 -0.3177377
Moved 477.3759 438.0235 279.2555 0.18061 -0.2796927
Moved 477.3921 436 291.5 0.1759259 -0.2481996
Moved 477.4069 436 308.9536 0.1759259 -0.2033087
Moved 477.4221 434.8462 326.8461 0.173255 -0.1572888
Moved 477.4386 435 343.5137 0.1736111 -0.1144195
Moved 477.4528 435 363.4635 0.1736111 -0.06310828
Moved 477.4678 438.3075 381.6699 0.1812672 -0.01628114
Moved 477.4836 443.8173 401.6298 0.1940215 0.03505589
Moved 477.4996 446.702 419.2121 0.2006992 0.08027802
Moved 477.5157 447.3416 433.7822 0.2021796 0.1177524
Moved 477.53 449.8941 451.7295 0.2080883 0.1639132
Moved 477.5459 452.6734 469.0403 0.2145218 0.208437
Moved 477.5614 455.5345 487.7416 0.2211448 0.2565369
Moved 477.5766 457.2046 499.4324 0.2250107 0.286606
