my bare face in the wind
Basic
0.6 0.6
432 129.6
Began 377.7778 526 294 0.3842592 -0.7253087
Stationary 377.7953 526 294 0.3842592 -0.7253087
Stationary 377.809 526 294 0.3842592 -0.7253087
Stationary 377.8239 526 294 0.3842592 -0.7253087
Stationary 377.8395 526 294 0.3842592 -0.7253087
Stationary 377.8546 526 294 0.3842592 -0.7253087
Stationary 377.8726 526 294 0.3842592 -0.7253087
Stationary 377.8879 526 294 0.3842592 -0.7253087
Stationary 377.9025 526 294 0.3842592 -0.7253087
Stationary 377.9174 526 294 0.3842592 -0.7253087
Stationary 377.933 526 294 0.3842592 -0.7253087
Stationary 377.9476 526 294 0.3842592 -0.7253087
Stationary 377.9633 526 294 0.3842592 -0.7253087
Stationary 377.9791 526 294 0.3842592 -0.7253087
Stationary 377.9944 526 294 0.3842592 -0.7253087
Stationary 378.01 526 294 0.3842592 -0.7253087
Moved 378.0256 519.2948 304.9158 0.368738 -0.641082
Moved 378.041 519 306.4045 0.3680556 -0.6295949
Moved 378.0571 517.1619 309.6761 0.3638007 -0.604351
Moved 378.0734 515.7303 313.809 0.3604869 -0.5724618
Moved 378.0873 512.5819 320.5453 0.3531988 -0.5204839
Moved 378.1029 509.6962 326.6076 0.346519 -0.4737068
Moved 378.1198 506.5187 332.9626 0.3391636 -0.4246717
Moved 378.1344 500.9986 342.3356 0.3263857 -0.3523485
Moved 378.1498 495.614 349.4826 0.3139212 -0.2972019
Moved 378.1656 489.304 359.2352 0.2993148 -0.2219504
Moved 378.1808 483.0779 366.9026 0.2849025 -0.162788
Moved 378.1963 475.9237 375.4916 0.2683418 -0.09651561
Moved 378.2106 467.7119 384.2881 0.2493332 -0.02864108
Moved 378.2273 461.1394 390.8606 0.2341191 0.0220725
Moved 378.242 452.5284 398.0597 0.2141861 0.07762109
Moved 378.2576 446.6036 403.5473 0.2004713 0.1199638
Moved 378.2734 442.1244 406.5837 0.1901028 0.1433931
Moved 378.2885 436.1097 411.1677 0.17618 0.1787633
Moved 378.3044 431.4915 415.5085 0.1654895 0.2122573
Moved 378.321 426.178 418.2147 0.1531898 0.2331377
Moved 378.3346 422.6955 420.5363 0.1451286 0.2510518
Moved 378.3502 418.6212 423.2525 0.1356973 0.2720099
Moved 378.3653 414.2806 425.1463 0.1256495 0.2866226
Moved 378.381 409.9644 427.0119 0.1156582 0.3010179
Moved 378.3962 405.6356 429.9096 0.105638 0.3233765
Moved 378.4132 401.3241 431.892 0.09565771 0.3386727
Moved 378.4279 398.3306 433.3347 0.08872817 0.3498051
Moved 378.4429 394.5 436 0.07986108 0.3703703
Moved 378.4581 392.1818 436.9091 0.07449488 0.3773851
Moved 378.4753 389.3116 438.3442 0.06785104 0.3884583
Moved 378.4892 387.216 439.784 0.06300012 0.3995681
Moved 378.5043 384.5547 441.2227 0.05683948 0.4106686
Moved 378.5207 382.3357 442.6643 0.05170295 0.4217925
Moved 378.5351 379.8002 444.0999 0.04583389 0.4328693
Moved 378.5502 378.5 444 0.04282405 0.432099
Moved 378.5675 377.3556 445.6443 0.04017502 0.4447867
Moved 378.5825 375.9138 446 0.03683736 0.4475308
Moved 378.5967 374.5 446 0.03356477 0.4475308
Moved 378.6125 374.0365 447 0.03249188 0.4552471
Stationary 378.6274 374 447 0.03240744 0.4552471
Moved 378.6426 373.1586 448 0.03045966 0.462963
Stationary 378.6591 373 448 0.0300926 0.462963
Moved 378.6744 371.746 448 0.02718985 0.462963
Moved 378.6885 372 449.5 0.02777775 0.4745372
Stationary 378.7034 372 449.5 0.02777775 0.4745372
Stationary 378.7197 372 449.5 0.02777775 0.4745372
Ended 378.7347 372 450 0.02777775 0.4783951
Began 379.597 407 344 0.1087963 -0.3395062
Stationary 379.6152 407 344 0.1087963 -0.3395062
Stationary 379.629 407 344 0.1087963 -0.3395062
Stationary 379.6437 407 344 0.1087963 -0.3395062
Stationary 379.6585 407 344 0.1087963 -0.3395062
Stationary 379.6763 407 344 0.1087963 -0.3395062
Stationary 379.6898 407 344 0.1087963 -0.3395062
Stationary 379.7051 407 344 0.1087963 -0.3395062
Stationary 379.7218 407 344 0.1087963 -0.3395062
Moved 379.7363 407 356.2845 0.1087963 -0.2447185
Moved 379.7524 407 356.9274 0.1087963 -0.2397577
Moved 379.7719 407 358.4095 0.1087963 -0.2283217
Moved 379.7845 407 361.6864 0.1087963 -0.2030368
Moved 379.8007 407 363.2803 0.1087963 -0.1907382
Moved 379.8135 407 365.4466 0.1087963 -0.1740232
Moved 379.8301 407 366.8588 0.1087963 -0.1631268
Moved 379.8451 398.2966 368.2433 0.08864949 -0.1524433
Moved 379.8599 398.316 370.368 0.08869449 -0.1360498
Moved 379.876 395.7542 372.1229 0.08276432 -0.1225083
Moved 379.8916 394.439 374.561 0.07971992 -0.1036962
Moved 379.907 393.001 375.999 0.0763913 -0.0926006
Moved 379.9224 390.1234 377.8766 0.06973008 -0.07811276
Moved 379.9376 387.5757 380.4243 0.06383269 -0.05845435
Moved 379.9536 384.8736 383.1264 0.0575777 -0.03760491
Moved 379.97 381.9933 384.5034 0.05091031 -0.02698015
Moved 379.9832 379.113 386.887 0.04424304 -0.008587779
Moved 379.9991 377.6177 388.3823 0.0407817 0.002950268
Moved 380.0147 374.3522 390.6478 0.03322273 0.02043053
Moved 380.0302 370.2122 393.5252 0.0236393 0.04263289
Moved 380.0452 368 394.5 0.01851857 0.05015444
Moved 380.0616 361.7843 397.6078 0.004130304 0.07413464
Moved 380.0778 356.0294 399.2426 -0.009191086 0.08674869
Moved 380.0913 349.5928 401.6815 -0.02409066 0.1055668
Moved 380.1073 344.6299 403.1234 -0.03557905 0.116693
Moved 380.123 338.7466 404.5634 -0.04919777 0.1278038
Moved 380.1378 333.99 406.0033 -0.06020829 0.1389145
Moved 380.1535 328.2314 406 -0.07353852 0.1388888
Moved 380.1695 323.1233 406 -0.08536274 0.1388888
Moved 380.184 316.1917 406 -0.1014082 0.1388888
Moved 380.1991 307.6786 406 -0.1211145 0.1388888
Moved 380.2162 299.0226 406 -0.1411514 0.1388888
