my bare face in the wind
Basic
0.6 0.6
432 129.6
Began 229.7394 483 329 0.2847222 -0.4552467
Stationary 229.7727 483 329 0.2847222 -0.4552467
Stationary 229.7844 483 329 0.2847222 -0.4552467
Stationary 229.7967 483 329 0.2847222 -0.4552467
Stationary 229.8081 483 329 0.2847222 -0.4552467
Stationary 229.8209 483 329 0.2847222 -0.4552467
Stationary 229.8349 483 329 0.2847222 -0.4552467
Stationary 229.8523 483 329 0.2847222 -0.4552467
Stationary 229.8667 483 329 0.2847222 -0.4552467
Stationary 229.8815 483 329 0.2847222 -0.4552467
Stationary 229.8965 483 329 0.2847222 -0.4552467
Stationary 229.9121 483 329 0.2847222 -0.4552467
Ended 229.9266 483 329 0.2847222 -0.4552467
Began 230.0179 472 327 0.2592593 -0.470679
Stationary 230.0362 472 327 0.2592593 -0.470679
Stationary 230.0509 472 327 0.2592593 -0.470679
Stationary 230.0659 472 327 0.2592593 -0.470679
Stationary 230.0809 472 327 0.2592593 -0.470679
Stationary 230.0983 472 327 0.2592593 -0.470679
Stationary 230.1131 472 327 0.2592593 -0.470679
Stationary 230.1284 472 327 0.2592593 -0.470679
Stationary 230.1437 472 327 0.2592593 -0.470679
Stationary 230.1605 472 327 0.2592593 -0.470679
Stationary 230.175 472 327 0.2592593 -0.470679
Stationary 230.1925 472 327 0.2592593 -0.470679
Stationary 230.2075 472 327 0.2592593 -0.470679
Stationary 230.222 472 327 0.2592593 -0.470679
Stationary 230.2359 472 327 0.2592593 -0.470679
Stationary 230.2507 472 327 0.2592593 -0.470679
Stationary 230.2662 472 327 0.2592593 -0.470679
Stationary 230.2821 472 327 0.2592593 -0.470679
Stationary 230.2973 472 327 0.2592593 -0.470679
Stationary 230.3133 472 327 0.2592593 -0.470679
Stationary 230.3272 472 327 0.2592593 -0.470679
Stationary 230.3453 472 327 0.2592593 -0.470679
Stationary 230.3599 472 327 0.2592593 -0.470679
Moved 230.3748 463 327 0.2384259 -0.470679
Stationary 230.3893 463 327 0.2384259 -0.470679
Stationary 230.4049 463 327 0.2384259 -0.470679
Moved 230.4201 462 327 0.2361111 -0.470679
Stationary 230.4381 462 327 0.2361111 -0.470679
Stationary 230.4524 462 327 0.2361111 -0.470679
Moved 230.4665 460.9072 327 0.2335815 -0.470679
Stationary 230.4822 460.9072 327 0.2335815 -0.470679
Moved 230.498 459.9979 327 0.2314767 -0.470679
Stationary 230.5134 460 327 0.2314815 -0.470679
Moved 230.529 459.1159 334 0.2294351 -0.4166664
Moved 230.5449 459 335.3262 0.2291666 -0.4064341
Moved 230.5596 458.2337 335 0.2273929 -0.4089506
Moved 230.5756 458 335.926 0.2268519 -0.4018056
Moved 230.591 456.6577 337.3423 0.2237446 -0.390877
Moved 230.6062 454.2189 338.7811 0.2180993 -0.3797753
Moved 230.6217 452.7802 340.2198 0.2147688 -0.368674
Moved 230.638 449.6675 342.3325 0.2075636 -0.3523723
Moved 230.6528 447.8973 343 0.2034659 -0.3472222
Moved 230.6678 444.3698 345.5434 0.1953005 -0.327597
Moved 230.6851 441.528 346.736 0.1887222 -0.3183947
Moved 230.6999 439.9109 348.0891 0.1849789 -0.3079544
Moved 230.7139 435.9446 350.0554 0.1757976 -0.292782
Moved 230.7295 434.0309 351.9692 0.1713677 -0.2780156
Moved 230.7451 431.1841 353.408 0.1647779 -0.2669137
Moved 230.7686 427.4291 355.2855 0.1560858 -0.252427
Stationary 230.7785 427.4291 355.2855 0.1560858 -0.252427
Moved 230.7911 426.5 356.5 0.1539352 -0.2430556
Moved 230.8067 425.2024 356.7976 0.1509315 -0.2407592
Moved 230.8224 423.763 358.237 0.1475995 -0.2296528
Moved 230.8376 421.33 359 0.1419675 -0.2237652
Moved 230.8527 421 360.1152 0.1412037 -0.2151607
Moved 230.8684 418.4525 361.5475 0.1353067 -0.2041089
Moved 230.8838 417.0137 362.9863 0.1319762 -0.1930067
Moved 230.8993 415.575 363 0.1286458 -0.1929012
Moved 230.914 412.919 365.081 0.1224977 -0.1768442
Moved 230.9303 410.0444 366.9778 0.1158436 -0.1622085
Moved 230.9473 407.1671 368.4164 0.1091832 -0.1511077
Moved 230.961 404.2733 370.8633 0.1024845 -0.1322273
Moved 230.9762 401.3949 372.3026 0.09582163 -0.1211223
Moved 230.9935 396.7699 375.4868 0.08511554 -0.09655282
Moved 231.0069 392.4615 378.359 0.07514228 -0.07439061
Moved 231.0224 390.5976 380.4025 0.0708277 -0.05862295
Moved 231.0397 387.5818 382.7091 0.06384671 -0.04082456
Moved 231.053 385.8513 385.2973 0.05984108 -0.02085391
Moved 231.0689 383.4114 387.1772 0.05419303 -0.006348646
Moved 231.0845 381.971 390.058 0.05085876 0.01588021
Moved 231.0993 380.0649 391.4676 0.04644652 0.02675622
Moved 231.1141 379 392.9094 0.04398147 0.03788089
Moved 231.1304 377.9669 394.0331 0.04158993 0.04655203
Moved 231.1467 377 395.4849 0.03935188 0.05775358
Moved 231.1617 376.0764 397.8471 0.03721396 0.07598077
Moved 231.1762 374.6338 399.3662 0.03387451 0.08770236
Stationary 231.1933 374.6338 399.3662 0.03387451 0.08770236
Moved 231.207 374 401.2426 0.03240744 0.1021806
Moved 231.2236 372.3138 402.6862 0.02850413 0.1133198
Moved 231.2398 372 403.839 0.02777775 0.1222147
Moved 231.2544 370.7773 406.4454 0.02494752 0.1423257
Moved 231.2699 369.3281 407.6719 0.02159278 0.1517896
Moved 231.2852 367.8947 409.1053 0.01827488 0.1628497
Moved 231.301 367.4567 411.0867 0.01726081 0.1781379
Moved 231.3156 366.0166 412 0.01392742 0.1851853
Moved 231.3318 366 413.4222 0.01388888 0.1961588
Moved 231.3471 365 414.6316 0.01157403 0.2054906
Moved 231.3625 364.0677 415.9323 0.009415945 0.2155271
Moved 231.3769 364 417.3708 0.009259283 0.2266268
Moved 231.3932 363.1875 418.8125 0.007378459 0.2377507
Moved 231.4077 363 420.2441 0.006944438 0.2487974
Moved 231.4233 363 421.5 0.006944438 0.2584878
Moved 231.4451 363 423.5 0.006944438 0.2739196
Stationary 231.4554 363 423.5 0.006944438 0.2739196
