parking lot is full of trucks
Basic
0.4 0.4
288 86.39999
Began 1091.016 507 391 0.5104166 0.03472222
Stationary 1091.036 507 391 0.5104166 0.03472222
Stationary 1091.051 507 391 0.5104166 0.03472222
Stationary 1091.066 507 391 0.5104166 0.03472222
Stationary 1091.083 507 391 0.5104166 0.03472222
Stationary 1091.098 507 391 0.5104166 0.03472222
Stationary 1091.115 507 391 0.5104166 0.03472222
Stationary 1091.13 507 391 0.5104166 0.03472222
Stationary 1091.144 507 391 0.5104166 0.03472222
Stationary 1091.161 507 391 0.5104166 0.03472222
Stationary 1091.175 507 391 0.5104166 0.03472222
Stationary 1091.191 507 391 0.5104166 0.03472222
Stationary 1091.207 507 391 0.5104166 0.03472222
Stationary 1091.222 507 391 0.5104166 0.03472222
Stationary 1091.236 507 391 0.5104166 0.03472222
Stationary 1091.251 507 391 0.5104166 0.03472222
Stationary 1091.266 507 391 0.5104166 0.03472222
Stationary 1091.282 507 391 0.5104166 0.03472222
Stationary 1091.298 507 391 0.5104166 0.03472222
Stationary 1091.314 507 391 0.5104166 0.03472222
Stationary 1091.328 507 391 0.5104166 0.03472222
Stationary 1091.343 507 391 0.5104166 0.03472222
Stationary 1091.36 507 391 0.5104166 0.03472222
Stationary 1091.375 507 391 0.5104166 0.03472222
Stationary 1091.389 507 391 0.5104166 0.03472222
Stationary 1091.406 507 391 0.5104166 0.03472222
Stationary 1091.422 507 391 0.5104166 0.03472222
Stationary 1091.437 507 391 0.5104166 0.03472222
Stationary 1091.453 507 391 0.5104166 0.03472222
Stationary 1091.468 507 391 0.5104166 0.03472222
Stationary 1091.484 507 391 0.5104166 0.03472222
Stationary 1091.5 507 391 0.5104166 0.03472222
Stationary 1091.515 507 391 0.5104166 0.03472222
Stationary 1091.53 507 391 0.5104166 0.03472222
Stationary 1091.546 507 391 0.5104166 0.03472222
Stationary 1091.562 507 391 0.5104166 0.03472222
Stationary 1091.576 507 391 0.5104166 0.03472222
Stationary 1091.598 507 391 0.5104166 0.03472222
Stationary 1091.609 507 391 0.5104166 0.03472222
Stationary 1091.621 507 391 0.5104166 0.03472222
Moved 1091.636 507 401.8739 0.5104166 0.1605776
Moved 1091.655 507 401.0369 0.5104166 0.1508904
Moved 1091.67 507 402.295 0.5104166 0.1654515
Moved 1091.684 507 403.5 0.5104166 0.1793981
