he is still on our team
Basic
0.8 0.8
575.9999 518.4
Began 329.9536 375 339 0.02604164 -0.0945216
Stationary 329.971 375 339 0.02604164 -0.0945216
Stationary 329.9837 375 339 0.02604164 -0.0945216
Stationary 330.0038 375 339 0.02604164 -0.0945216
Stationary 330.0194 375 339 0.02604164 -0.0945216
Stationary 330.0316 375 339 0.02604164 -0.0945216
Stationary 330.0477 375 339 0.02604164 -0.0945216
Stationary 330.0658 375 339 0.02604164 -0.0945216
Stationary 330.0756 375 339 0.02604164 -0.0945216
Stationary 330.0899 375 339 0.02604164 -0.0945216
Stationary 330.1072 375 339 0.02604164 -0.0945216
Stationary 330.1226 375 339 0.02604164 -0.0945216
Stationary 330.1387 375 339 0.02604164 -0.0945216
Stationary 330.1556 375 339 0.02604164 -0.0945216
Stationary 330.1717 375 339 0.02604164 -0.0945216
Stationary 330.1869 375 339 0.02604164 -0.0945216
Stationary 330.2025 375 339 0.02604164 -0.0945216
Stationary 330.2182 375 339 0.02604164 -0.0945216
Stationary 330.2344 375 339 0.02604164 -0.0945216
Stationary 330.246 375 339 0.02604164 -0.0945216
Moved 330.2617 375 350.3889 0.02604164 -0.07255241
Moved 330.2764 375 348.7042 0.02604164 -0.07580203
Moved 330.2929 375 349.834 0.02604164 -0.07362259
Moved 330.3083 375 351.2252 0.02604164 -0.07093906
Stationary 330.324 375 351.2252 0.02604164 -0.07093906
Moved 330.339 375 354.1948 0.02604164 -0.06521077
Moved 330.3546 375 355.5262 0.02604164 -0.06264233
Moved 330.3705 375 356.9663 0.02604164 -0.05986437
Moved 330.3857 375 359.8021 0.02604164 -0.05439404
Moved 330.4024 375 362 0.02604164 -0.05015432
Moved 330.4171 375 364.9212 0.02604164 -0.04451934
Moved 330.4325 375 367.775 0.02604164 -0.03901422
Moved 330.4484 382.8267 371.6534 0.03962971 -0.03153271
Moved 330.4631 384.2654 373.2654 0.04212744 -0.02842314
Moved 330.4781 386.4067 374.7034 0.04584498 -0.02564942
Moved 330.4937 388.1397 377.2794 0.04885368 -0.02068019
Moved 330.509 391 378.5 0.05381941 -0.01832568
Moved 330.525 391.6615 379.6614 0.05496785 -0.01608519
Moved 330.54 393.1002 381.1002 0.05746558 -0.01330988
Moved 330.5559 395.5403 382.5403 0.06170183 -0.01053192
Moved 330.5706 396.9749 383.9749 0.06419264 -0.007764439
Moved 330.5863 399.8354 384 0.0691586 -0.007716049
Moved 330.6028 400.8556 385.8556 0.07092983 -0.004136621
Moved 330.6183 403.588 387.294 0.07567361 -0.0013619
Moved 330.6325 405.6616 389.6616 0.0792735 0.003205111
Moved 330.6473 409.6222 394.6222 0.08614972 0.01277423
Moved 330.6634 413.9306 397.6204 0.09362943 0.0185577
Moved 330.6789 417.258 401.2579 0.09940616 0.02557466
Moved 330.694 421.5439 404.3626 0.1068471 0.03156361
Moved 330.7097 423.2545 406.6273 0.1098169 0.03593221
Moved 330.7253 427.1709 408.057 0.1166162 0.03869021
Moved 330.7405 428.1245 409.1245 0.1182718 0.04074941
Moved 330.756 431.2112 411.2112 0.1236305 0.04477456
Moved 330.7714 435.1208 413.0403 0.1304182 0.04830295
Moved 330.7878 437.9499 414.475 0.1353297 0.05107052
Moved 330.8036 439.8249 414.9124 0.1385849 0.05191432
Moved 330.8314 443.7897 416.7897 0.1454683 0.05553557
Moved 330.8491 444.8927 417 0.1473831 0.05594129
Moved 330.864 445.5 417 0.1484375 0.05594129
Moved 330.8794 446.7283 418 0.15057 0.05787031
Moved 330.895 447.5 418 0.1519097 0.05787031
Moved 330.9098 448 419 0.1527778 0.05979938
Stationary 330.9262 448 419 0.1527778 0.05979938
Moved 330.9407 448 420.2343 0.1527778 0.0621803
Moved 330.9568 448 420.6907 0.1527778 0.06306074
Moved 330.9716 439.9063 424.0352 0.1387262 0.0695122
Moved 330.9868 434.1807 426.9097 0.128786 0.07505719
Moved 331.0017 421.8598 436.2476 0.1073956 0.09307022
Moved 331.0174 411.7097 442.3088 0.08977368 0.1047622
Moved 331.0326 399.6074 450.8519 0.06876289 0.121242
Moved 331.0487 385.8112 460.5321 0.04481122 0.1399153
Moved 331.064 379 466.5 0.0329861 0.1514274
Moved 331.0794 368.1843 472.6348 0.01420885 0.1632615
Moved 331.0948 354.3423 482.1604 -0.009822472 0.1816365
Moved 331.1105 345.3559 490.0367 -0.02542384 0.1968301
Moved 331.1262 336.7237 497.2303 -0.04041031 0.2107065
Moved 331.1416 329.597 504.4031 -0.05278308 0.2245429
Moved 331.1568 325.2378 507.7622 -0.06035111 0.2310227
Moved 331.1713 319.5774 512.067 -0.07017817 0.2393266
Moved 331.1878 315.5154 515.4846 -0.0772303 0.2459193
Moved 331.2036 311.2206 518.8529 -0.08468638 0.2524168
Moved 331.226 302.6018 525.5988 -0.09964958 0.2654296
Stationary 331.2367 302.6018 525.5988 -0.09964958 0.2654296
Moved 331.2494 298.2679 528.4881 -0.1071739 0.2710032
Moved 331.2645 293.9616 532.0384 -0.1146499 0.2778517
Moved 331.2797 289.6482 536.3518 -0.1221385 0.2861724
Moved 331.2956 285.3417 538.3292 -0.1296151 0.2899867
Moved 331.3106 280.373 542.9703 -0.1382414 0.2989395
Moved 331.3268 275.7165 547.2835 -0.1463255 0.3072598
Moved 331.3432 273 550 -0.1510417 0.3124999
Moved 331.357 269.084 552.944 -0.1578402 0.3181788
Moved 331.3716 266.1704 554.4148 -0.1628986 0.3210161
Moved 331.3867 263.3058 557.6942 -0.1678719 0.3273422
Moved 331.4028 260.1919 560.8081 -0.173278 0.3333489
Moved 331.4189 255.9587 563.6942 -0.1806273 0.3389162
Moved 331.4336 253.4485 566.5515 -0.1849853 0.344428
Moved 331.449 250.5842 568.2079 -0.189958 0.3476232
Moved 331.4648 247.0699 571.2867 -0.1960591 0.3535622
Moved 331.4797 243.8338 575.2493 -0.2016774 0.361206
Moved 331.4953 240.959 576.5205 -0.2066684 0.3636583
Moved 331.5103 237.8293 577.7236 -0.2121019 0.365979
Moved 331.5265 234.7521 580.2479 -0.2174442 0.3708484
Moved 331.5429 231.8806 581.5597 -0.2224295 0.3733789
Moved 331.5572 229.0028 582.9986 -0.2274256 0.3761546
Moved 331.5729 226.1226 584.4387 -0.2324261 0.3789326
Moved 331.5879 224.1214 585 -0.2359003 0.3800153
Moved 331.6053 222.6809 585 -0.2384011 0.3800153
Moved 331.6188 221.5 586.5 -0.2404514 0.3829089
Moved 331.6341 220.5 587.5 -0.2421875 0.3848379
Moved 331.6498 219.8533 587 -0.2433102 0.3838734
Moved 331.6652 220 587.7291 -0.2430556 0.3852798
Ended 331.6809 220 588 -0.2430556 0.3858024
Began 332.0935 495 534 0.234375 0.2816358
Stationary 332.114 495 534 0.234375 0.2816358
Stationary 332.1277 495 534 0.234375 0.2816358
Stationary 332.1427 495 534 0.234375 0.2816358
Stationary 332.158 495 534 0.234375 0.2816358
Stationary 332.1733 495 534 0.234375 0.2816358
Stationary 332.1892 495 534 0.234375 0.2816358
Stationary 332.2118 495 534 0.234375 0.2816358
Stationary 332.2274 495 534 0.234375 0.2816358
Stationary 332.2402 495 534 0.234375 0.2816358
