just in time for the party
Basic
0.8 0.8
575.9999 518.4
Began 500.2229 438 519 0.1354167 0.2527006
Stationary 500.239 438 519 0.1354167 0.2527006
Stationary 500.2534 438 519 0.1354167 0.2527006
Stationary 500.2688 438 519 0.1354167 0.2527006
Stationary 500.2848 438 519 0.1354167 0.2527006
Stationary 500.3 438 519 0.1354167 0.2527006
Stationary 500.3159 438 519 0.1354167 0.2527006
Stationary 500.3319 438 519 0.1354167 0.2527006
Stationary 500.3479 438 519 0.1354167 0.2527006
Stationary 500.3636 438 519 0.1354167 0.2527006
Stationary 500.3777 438 519 0.1354167 0.2527006
Stationary 500.3939 438 519 0.1354167 0.2527006
Stationary 500.4101 438 519 0.1354167 0.2527006
Stationary 500.4244 438 519 0.1354167 0.2527006
Stationary 500.4399 438 519 0.1354167 0.2527006
Stationary 500.456 438 519 0.1354167 0.2527006
Stationary 500.4716 438 519 0.1354167 0.2527006
Stationary 500.4855 438 519 0.1354167 0.2527006
Stationary 500.502 438 519 0.1354167 0.2527006
Stationary 500.5184 438 519 0.1354167 0.2527006
Stationary 500.5311 438 519 0.1354167 0.2527006
Moved 500.5464 438 528.2426 0.1354167 0.2705296
Stationary 500.5617 438 528.2426 0.1354167 0.2705296
Stationary 500.5769 438 528.2426 0.1354167 0.2705296
Stationary 500.5927 438 528.2426 0.1354167 0.2705296
Stationary 500.6083 438 528.2426 0.1354167 0.2705296
Stationary 500.623 438 528.2426 0.1354167 0.2705296
Stationary 500.6382 438 528.2426 0.1354167 0.2705296
Stationary 500.6536 438 528 0.1354167 0.2700616
Stationary 500.6714 438 528 0.1354167 0.2700616
Moved 500.6857 438 519.034 0.1354167 0.2527661
Moved 500.7022 438 513.5677 0.1354167 0.2422216
Moved 500.7168 438 508.3759 0.1354167 0.2322066
Moved 500.7328 438 503.1506 0.1354167 0.2221268
Moved 500.7477 438 498.7707 0.1354167 0.2136779
Moved 500.7639 438 493.0721 0.1354167 0.2026854
Moved 500.7791 438 487.0566 0.1354167 0.1910813
Moved 500.7942 438 479.8498 0.1354167 0.1771793
Moved 500.811 438 471.8304 0.1354167 0.1617097
Moved 500.8243 438 467.0983 0.1354167 0.1525815
Moved 500.8398 438 461.0254 0.1354167 0.1408668
Moved 500.8556 438 456.4486 0.1354167 0.1320381
Moved 500.8709 438 451 0.1354167 0.1215277
Moved 500.8862 438 447.8224 0.1354167 0.1153982
Moved 500.9031 438 442.3387 0.1354167 0.10482
Moved 500.9182 442.2182 436.987 0.1427398 0.09449646
Moved 500.9402 446.4801 426.0797 0.150139 0.07345602
Stationary 500.9515 446.4801 426.0797 0.150139 0.07345602
Moved 500.9632 446 421.3188 0.1493055 0.06427228
Moved 500.9796 447.3565 415.574 0.1516606 0.05319044
Moved 500.9966 447 413.0645 0.1510417 0.0483496
Moved 501.0107 448 408.3962 0.1527778 0.03934454
Moved 501.025 448 405.3846 0.1527778 0.03353513
Moved 501.0416 449 402.2549 0.1545139 0.02749793
Moved 501.0567 450.1515 399.697 0.156513 0.0225637
Moved 501.0725 450.5893 398.4107 0.157273 0.02008238
Moved 501.0876 451 396.9735 0.1579861 0.01730995
Moved 501.1027 452.1048 394.7904 0.1599041 0.01309874
Stationary 501.1181 452.1048 394.7904 0.1599041 0.01309874
Moved 501.1333 454.0195 392.9805 0.1632283 0.009607355
Moved 501.1483 454 391.5444 0.1631944 0.006837197
Moved 501.1642 455.8944 391.1056 0.1664834 0.005990664
Moved 501.1803 457.3343 389.6657 0.1689831 0.003213146
Moved 501.1951 458.7723 390 0.1714797 0.003857965
Moved 501.2104 459.8955 389.1045 0.1734296 0.002130549
Moved 501.2261 461.2987 389 0.1758657 0.001929012
Moved 501.2426 462.7311 388.2689 0.1783526 0.0005187517
Moved 501.2567 464.1704 388 0.1808514 -2.943439E-08
Moved 501.2725 466.2201 388 0.1844099 -2.943439E-08
Moved 501.2881 467 388 0.1857639 -2.943439E-08
Moved 501.303 468.484 388 0.1883402 -2.943439E-08
Moved 501.3195 469.7105 388 0.1904697 -2.943439E-08
Stationary 501.3336 470 388 0.1909722 -2.943439E-08
Moved 501.3511 471.4939 388 0.1935658 -2.943439E-08
Stationary 501.3646 471.4939 388 0.1935658 -2.943439E-08
Moved 501.3793 472 388 0.1944444 -2.943439E-08
Stationary 501.3975 472 388 0.1944444 -2.943439E-08
Moved 501.4099 472 398.5161 0.1944444 0.02028568
Moved 501.4258 472 401 0.1944444 0.02507707
Moved 501.4422 472 405.1984 0.1944444 0.03317583
Moved 501.4578 472 410.9469 0.1944444 0.04426476
Moved 501.4718 467.2703 418.3784 0.1862331 0.05860019
Moved 501.4886 462.7701 425.5748 0.1784202 0.07248227
Moved 501.5038 460.3479 432.3041 0.1742151 0.08546322
Moved 501.519 457.0152 440.9543 0.1684292 0.1021494
Moved 501.5343 454.1429 446.7141 0.1634426 0.1132601
Moved 501.5499 452.0123 452.963 0.1597436 0.1253144
Moved 501.5653 449.1319 460.6702 0.1547429 0.1401818
Moved 501.5807 446.2516 465.1226 0.1497424 0.1487703
Moved 501.5976 444.3759 471.2481 0.146486 0.1605865
Moved 501.611 442.7483 475.7552 0.1436601 0.1692808
Moved 501.6273 440.3091 479.3819 0.1394255 0.1762768
Moved 501.6426 437.7487 484.5027 0.1349803 0.1861548
Moved 501.6574 436.8175 486.3649 0.1333637 0.1897471
Moved 501.6727 434.321 490.3581 0.1290294 0.19745
Moved 501.6887 432.8808 495.4767 0.1265292 0.2073239
Moved 501.7039 430.4422 499.6733 0.1222955 0.2154192
Moved 501.7195 429.0089 502.9822 0.1198071 0.221802
Moved 501.735 427.5728 507.2815 0.1173139 0.2300954
Moved 501.7528 426.1433 511.5702 0.1148321 0.2383684
Moved 501.7663 425.0333 513.9333 0.112905 0.2429269
Moved 501.7809 425 518.1868 0.1128472 0.251132
Moved 501.7978 424 521.5085 0.1111111 0.2575396
Moved 501.8118 424 524.5446 0.1111111 0.2633961
Moved 501.828 424 528.4265 0.1111111 0.2708844
Moved 501.8433 424 533.6006 0.1111111 0.2808653
Moved 501.8582 424 537.7672 0.1111111 0.2889026
Moved 501.8803 424 545.3212 0.1111111 0.3034744
Stationary 501.8903 424 545.3212 0.1111111 0.3034744
Moved 501.9039 424 550.4072 0.1111111 0.3132855
Moved 501.9202 424 554.0641 0.1111111 0.3203396
Moved 501.9358 431 556.9456 0.1232639 0.3258981
Moved 501.9512 431 559.8297 0.1232639 0.3314614
Moved 501.9667 432.3557 561.3557 0.1256175 0.3344052
Moved 501.9823 432 561 0.125 0.333719
Moved 501.9981 432 562 0.125 0.3356481
Moved 502.0119 432 563.3297 0.125 0.338213
Moved 502.0276 432 563.7723 0.125 0.3390668
Stationary 502.0431 432 564 0.125 0.3395061
Moved 502.058 432 564.6491 0.125 0.3407583
Stationary 502.0737 432 565 0.125 0.3414351
Stationary 502.0894 432 565 0.125 0.3414351
Moved 502.1054 427.1966 565 0.1166607 0.3414351
Moved 502.1209 421.9445 565 0.1075426 0.3414351
Moved 502.136 419.0468 565 0.1025119 0.3414351
Moved 502.1517 415.2577 565 0.09593352 0.3414351
