healthy food is good for you
Basic
0.6 0.6
432 388.8
Began 397.836 504 395 0.3333333 0.01800408
Stationary 397.8523 504 395 0.3333333 0.01800408
Stationary 397.8664 504 395 0.3333333 0.01800408
Stationary 397.8822 504 395 0.3333333 0.01800408
Stationary 397.8972 504 395 0.3333333 0.01800408
Stationary 397.9123 504 395 0.3333333 0.01800408
Stationary 397.9292 504 395 0.3333333 0.01800408
Stationary 397.945 504 395 0.3333333 0.01800408
Stationary 397.9604 504 395 0.3333333 0.01800408
Stationary 397.9773 504 395 0.3333333 0.01800408
Stationary 397.9932 504 395 0.3333333 0.01800408
Stationary 398.0083 504 395 0.3333333 0.01800408
Stationary 398.0225 504 395 0.3333333 0.01800408
Stationary 398.0392 504 395 0.3333333 0.01800408
Stationary 398.054 504 395 0.3333333 0.01800408
Stationary 398.0687 504 395 0.3333333 0.01800408
Stationary 398.0844 504 395 0.3333333 0.01800408
Stationary 398.1005 504 395 0.3333333 0.01800408
Stationary 398.1158 504 395 0.3333333 0.01800408
Stationary 398.1301 504 395 0.3333333 0.01800408
Stationary 398.1464 504 395 0.3333333 0.01800408
Moved 398.1608 494.4259 395 0.3111711 0.01800408
Moved 398.1765 493.221 395 0.3083819 0.01800408
Moved 398.1916 492.5 395 0.306713 0.01800408
Moved 398.2067 490.8114 395 0.3028041 0.01800408
Moved 398.2235 488.9673 395 0.2985354 0.01800408
Moved 398.238 487.5312 395 0.2952112 0.01800408
Moved 398.2553 485.2423 395 0.2899127 0.01800408
Moved 398.2704 482.3627 404.2304 0.283247 0.04174487
Moved 398.285 481.5 402 0.28125 0.03600815
Moved 398.2998 477.4116 402.8628 0.2717861 0.03822723
Moved 398.316 474.3866 403 0.2647837 0.03858017
Moved 398.3314 470.7684 404 0.2564082 0.04115226
Moved 398.3469 466.4601 404 0.2464353 0.04115226
Moved 398.3618 461.4948 404.6263 0.2349415 0.04276299
Moved 398.3792 456.8096 405 0.2240964 0.04372424
Moved 398.3928 451 405 0.2106482 0.04372424
Moved 398.4073 447.6826 405 0.202969 0.04372424
Moved 398.425 442.9501 406.0166 0.1920142 0.04633899
Moved 398.4388 437.1728 406 0.1786408 0.04629618
Moved 398.4542 433.309 407 0.1696967 0.04886827
Moved 398.4696 428.9886 407 0.1596958 0.04886827
Moved 398.4851 423.6614 408 0.1473644 0.05144025
Moved 398.5014 419.3388 409.2204 0.1373583 0.05457917
Moved 398.516 416.2479 409 0.1302036 0.05401234
Moved 398.5313 410.6789 409.7737 0.1173124 0.05600219
Moved 398.5464 406.3604 410 0.1073159 0.05658428
Moved 398.5622 403.0398 410 0.09962916 0.05658428
Moved 398.5774 399.8129 410 0.0921595 0.05658428
Moved 398.5923 397 410 0.0856481 0.05658428
Moved 398.6086 394.0522 410 0.07882466 0.05658428
Moved 398.6238 391.9057 410 0.07385582 0.05658428
Moved 398.6396 389.0178 410 0.06717086 0.05658428
Moved 398.655 387.1175 410 0.06277193 0.05658428
Moved 398.6703 384.2373 410 0.05610476 0.05658428
Moved 398.6859 382.3648 402.1824 0.05177031 0.03647729
Moved 398.7023 380.7448 400.7448 0.04802028 0.03277963
Moved 398.7179 379.3039 398.6078 0.04468491 0.02728332
Moved 398.7392 376.7256 395.7255 0.03871659 0.01987014
Stationary 398.749 376.7256 395.7255 0.03871659 0.01987014
Moved 398.7618 376.2874 394.2874 0.03770232 0.01617129
Moved 398.7801 375.5 393.5 0.03587961 0.01414597
Moved 398.7925 375 392.4056 0.03472219 0.01133122
Moved 398.8085 375 390.9735 0.03472219 0.00764784
Moved 398.8265 373.5163 391 0.03128777 0.007715971
Moved 398.842 374 389.5 0.03240744 0.003857946
Stationary 398.8547 374 389.5 0.03240744 0.003857946
Moved 398.8701 374 387.5309 0.03240744 -0.001206496
Stationary 398.8857 374 387.5309 0.03240744 -0.001206496
Moved 398.9008 374 386.659 0.03240744 -0.003449122
Stationary 398.9165 374 386.659 0.03240744 -0.003449122
Moved 398.9309 374 385.9326 0.03240744 -0.005317578
Stationary 398.9462 374 385.9326 0.03240744 -0.005317578
Stationary 398.9615 374 385.9326 0.03240744 -0.005317578
Moved 398.979 374 384.7775 0.03240744 -0.00828849
Stationary 398.9941 374 384.7775 0.03240744 -0.00828849
Stationary 399.0092 374 384.7775 0.03240744 -0.00828849
Moved 399.0257 374 383.9061 0.03240744 -0.01052958
Stationary 399.0414 374 383.9061 0.03240744 -0.01052958
Stationary 399.0551 374 384 0.03240744 -0.01028807
Stationary 399.0704 374 384 0.03240744 -0.01028807
Stationary 399.0867 374 384 0.03240744 -0.01028807
Stationary 399.1014 374 384 0.03240744 -0.01028807
Stationary 399.117 374 384 0.03240744 -0.01028807
Stationary 399.1315 374 384 0.03240744 -0.01028807
Moved 399.1481 370.6648 393.3352 0.02468705 0.01372212
Moved 399.164 365.5938 398.4063 0.01294851 0.02676501
Moved 399.18 361.393 402.607 0.003224512 0.03756939
Moved 399.1949 354.0202 410.9798 -0.01384213 0.05910434
Moved 399.2103 345.7918 419.2082 -0.03288934 0.0802679
Moved 399.2277 338.633 427.8404 -0.04946068 0.1024701
Moved 399.2419 331.4535 434.5465 -0.0660799 0.1197183
Moved 399.2566 326.9442 441.7596 -0.07651796 0.1382704
Moved 399.2711 321.6292 448.1611 -0.0888214 0.1547353
Moved 399.2878 317.2426 453.6968 -0.09897555 0.1689731
Moved 399.3038 311.5307 460.8366 -0.1121974 0.1873368
Moved 399.3177 307.5951 466.2066 -0.1213077 0.2011485
Moved 399.3332 303.2806 471.9592 -0.1312949 0.2159442
Moved 399.3484 298.2857 477.3928 -0.1428571 0.2299197
Moved 399.3644 294.7716 481.2283 -0.1509916 0.2397847
Moved 399.3801 288.7872 486.766 -0.1648444 0.2540276
Moved 399.3952 284.7728 490.4848 -0.1741371 0.2635925
Moved 399.4114 279.6219 495.3781 -0.1860605 0.2761782
Moved 399.4268 277 499.5 -0.1921296 0.2867798
Moved 399.442 274.0508 502.9238 -0.1989565 0.2955858
Moved 399.4574 269.8068 505.7955 -0.2087806 0.3029718
Moved 399.4743 267.305 508.695 -0.2145717 0.3104295
