he is just like everyone else
Basic
0.6 0.6
432 129.6
Began 322.267 415 374 0.1273148 -0.1080245
Stationary 322.2851 415 374 0.1273148 -0.1080245
Stationary 322.2994 415 374 0.1273148 -0.1080245
Stationary 322.3139 415 374 0.1273148 -0.1080245
Stationary 322.3293 415 374 0.1273148 -0.1080245
Stationary 322.3439 415 374 0.1273148 -0.1080245
Stationary 322.3592 415 374 0.1273148 -0.1080245
Stationary 322.3763 415 374 0.1273148 -0.1080245
Moved 322.3911 405.358 374 0.1049953 -0.1080245
Moved 322.4068 402.2142 374 0.09771804 -0.1080245
Moved 322.4229 398.0154 374 0.08799861 -0.1080245
Moved 322.4376 395.4617 379.384 0.08208732 -0.0664817
Moved 322.4529 392.5729 382.2136 0.07540028 -0.04464844
Moved 322.4688 388.696 383.652 0.06642599 -0.03354956
Moved 322.4844 384.7214 386.1857 0.05722542 -0.01399888
Moved 322.5 381.5323 387.1559 0.04984329 -0.00651336
Moved 322.5208 373.7479 390.084 0.03182381 0.01608048
Stationary 322.5319 373.7479 390.084 0.03182381 0.01608048
Moved 322.5464 369.5 391.5 0.02199074 0.02700641
Moved 322.5614 366.0711 392.9644 0.01405358 0.03830557
Moved 322.5779 361.7906 394.4031 0.004144907 0.04940716
Moved 322.591 358.3105 396.8447 -0.00391076 0.06824623
Moved 322.6077 355.1487 397.9504 -0.01122991 0.0767782
Moved 322.623 350.8847 399.3718 -0.02110029 0.0877451
Moved 322.6374 345.5544 401.8152 -0.03343895 0.1065987
Moved 322.6526 341.2351 403.2549 -0.04343723 0.1177078
Moved 322.6691 336.9127 404.6958 -0.05344287 0.1288259
Moved 322.6842 331.4586 406.1354 -0.06606807 0.1399335
Moved 322.6984 326.2728 408.5757 -0.07807215 0.1587636
Moved 322.7144 321.0993 409.7802 -0.09004781 0.1680568
Moved 322.73 315.3772 412.3114 -0.1032935 0.187588
Moved 322.7447 309.6352 413.5912 -0.1165853 0.1974629
Moved 322.7608 304.9102 415.03 -0.1275228 0.2085647
Moved 322.7782 299.1145 416.4714 -0.1409387 0.2196865
Moved 322.793 295.1633 417 -0.150085 0.2237654
Moved 322.8087 289.585 418.3538 -0.1629976 0.2342112
Moved 322.8226 285 419.5 -0.1736111 0.2430557
Moved 322.8376 279.5451 420.891 -0.1862382 0.2537885
Moved 322.8531 275.0467 422.3177 -0.1966511 0.2647973
Moved 322.8712 270.7071 422.7643 -0.2066965 0.2682429
Moved 322.8858 266.399 423 -0.2166689 0.2700617
Moved 322.8999 261.0726 424 -0.2289986 0.2777779
Moved 322.9165 257.8376 424 -0.2364869 0.2777779
Moved 322.9309 253.5 425.5 -0.2465278 0.2893519
Moved 322.9522 248.9408 425 -0.2570815 0.2854938
Stationary 322.9622 248.9408 425 -0.2570815 0.2854938
Moved 322.9763 246.0627 425 -0.2637437 0.2854938
Moved 322.993 244.1851 425 -0.26809 0.2854938
Moved 323.0087 242.6499 426.35 -0.2716436 0.2959107
Moved 323.0252 241.2122 426 -0.2749718 0.2932099
Moved 323.0385 239.7735 426 -0.2783021 0.2932099
Stationary 323.0538 239.7735 426 -0.2783021 0.2932099
Moved 323.0702 238.2095 426 -0.2819223 0.2932099
Moved 323.0858 237.5 426 -0.2835648 0.2932099
Moved 323.0999 236.674 426 -0.2854769 0.2932099
Stationary 323.1169 236.674 426 -0.2854769 0.2932099
Ended 323.1309 237 426 -0.2847222 0.2932099
Began 323.579 526 435 0.3842592 0.3626544
Stationary 323.5936 526 435 0.3842592 0.3626544
Stationary 323.6079 526 435 0.3842592 0.3626544
Stationary 323.6235 526 435 0.3842592 0.3626544
Stationary 323.6401 526 435 0.3842592 0.3626544
Stationary 323.6546 526 435 0.3842592 0.3626544
Stationary 323.673 526 435 0.3842592 0.3626544
Stationary 323.6855 526 435 0.3842592 0.3626544
Moved 323.7018 513.7218 435 0.3558375 0.3626544
Moved 323.718 510.8798 435 0.3492587 0.3626544
Moved 323.7327 508.0046 435 0.3426033 0.3626544
Moved 323.7484 503.7393 435 0.33273 0.3626544
Moved 323.7632 500.3777 435 0.3249483 0.3626544
Moved 323.7789 496.0583 435 0.3149499 0.3626544
Moved 323.7937 491.7613 435 0.3050029 0.3626544
Moved 323.8095 487.4591 435 0.2950443 0.3626544
Moved 323.8256 483.0992 435 0.2849519 0.3626544
Moved 323.8397 477.8026 435 0.2726911 0.3626544
Moved 323.8564 472.2895 435 0.2599294 0.3626544
Moved 323.8711 467.1698 435 0.2480783 0.3626544
Moved 323.8866 461.791 435 0.2356272 0.3626544
Moved 323.9024 457.0432 427.5108 0.224637 0.3048673
Moved 323.9182 451.6303 426.326 0.2121072 0.2957258
Moved 323.9328 445.0262 424.0104 0.1968198 0.2778583
Moved 323.949 437.8403 422.1361 0.180186 0.2633959
Moved 323.965 431.5109 420.1277 0.1655344 0.2478994
Moved 323.9796 424.4445 418.6889 0.149177 0.236797
Moved 323.9951 418.2616 417.2523 0.1348647 0.2257124
Moved 324.01 412.2573 415.8143 0.1209658 0.2146168
Moved 324.0263 405.5 414.5 0.1053241 0.2044754
Moved 324.041 400.2868 412.5147 0.09325653 0.1891568
Moved 324.0565 394.2688 410.8172 0.07932594 0.1760585
Moved 324.0727 386.8777 408.7511 0.06221692 0.1601166
Moved 324.0877 377.5576 405.8736 0.04064272 0.1379137
Moved 324.1035 370.5 403 0.02430558 0.1157407
Moved 324.1189 361.4152 401.1187 0.003275871 0.1012243
Moved 324.1337 354.0635 399.6127 -0.0137418 0.08960453
Moved 324.1492 349.2614 398.6523 -0.02485777 0.08219355
Moved 324.1679 339.4533 395.1813 -0.04756172 0.05541177
Moved 324.1901 326.0515 391.2103 -0.07858455 0.02477057
Moved 324.2098 318.8578 388.5432 -0.09523645 0.004191104
Moved 324.2342 305.4863 384.7946 -0.126189 -0.02473337
Stationary 324.2449 305.4863 384.7946 -0.126189 -0.02473337
Moved 324.2551 302.4153 383.8051 -0.133298 -0.03236794
Moved 324.2733 296.222 381.3055 -0.1476343 -0.05165548
Moved 324.2884 291.6023 379.8674 -0.158328 -0.06275107
