the five boxing wizards jump quickly
Basic
0.6 0.6
432 388.8
Began 288.131 409 558 0.113426 0.4372427
Stationary 288.1484 409 558 0.113426 0.4372427
Stationary 288.1623 409 558 0.113426 0.4372427
Stationary 288.1781 409 558 0.113426 0.4372427
Stationary 288.1985 409 558 0.113426 0.4372427
Stationary 288.2138 409 558 0.113426 0.4372427
Stationary 288.2285 409 558 0.113426 0.4372427
Stationary 288.2404 409 558 0.113426 0.4372427
Moved 288.2553 409 547.687 0.113426 0.4107175
Moved 288.2709 409 543.1813 0.113426 0.3991287
Moved 288.2864 409 538.8618 0.113426 0.3880189
Moved 288.3024 409 533.0609 0.113426 0.3730989
Moved 288.3174 402 528.3057 0.09722222 0.3608686
Moved 288.3332 402 521.1886 0.09722222 0.3425631
Moved 288.3479 401.1914 513.3401 0.09535054 0.3223768
Moved 288.3638 401 508.2469 0.09490739 0.3092769
Moved 288.3788 401 503.9761 0.09490739 0.2982922
Moved 288.3955 401 497.8552 0.09490739 0.2825494
Moved 288.4105 401 492.1117 0.09490739 0.2677769
Moved 288.4261 401 487.3428 0.09490739 0.2555113
Moved 288.4407 401 478.2783 0.09490739 0.2321971
Moved 288.4558 401 473.8265 0.09490739 0.2207471
Moved 288.4711 401 468.4045 0.09490739 0.2068015
Moved 288.4933 401 462.7328 0.09490739 0.1922138
Moved 288.504 401 456.4763 0.09490739 0.176122
Moved 288.5177 401 452.1129 0.09490739 0.1648994
Moved 288.5333 401 445.0888 0.09490739 0.1468333
Moved 288.549 401 439.7408 0.09490739 0.1330781
Moved 288.5641 401 432.7298 0.09490739 0.1150457
Moved 288.5797 401 426.5 0.09490739 0.09902258
Moved 288.5966 401 419.9518 0.09490739 0.08218047
Moved 288.6115 401 414.0065 0.09490739 0.06688919
Moved 288.6287 401 409.2233 0.09490739 0.05458651
Moved 288.641 401 403.451 0.09490739 0.03974016
Moved 288.6572 401 400.272 0.09490739 0.03156371
Moved 288.6727 401 395.9557 0.09490739 0.02046224
Moved 288.6879 401 393.0847 0.09490739 0.01307774
Moved 288.7041 401 389.834 0.09490739 0.004716959
Moved 288.7188 408.9692 386.0616 0.1133546 -0.004985676
Moved 288.7333 410.4119 381.7644 0.1166942 -0.01603805
Moved 288.749 411.8499 378.3002 0.120023 -0.02494812
Moved 288.7653 414.5839 375.4161 0.1263516 -0.03236598
Moved 288.7805 415.7319 371.5362 0.129009 -0.04234526
Moved 288.7971 418.3496 368.6504 0.1350685 -0.04976759
Moved 288.8105 419.2389 366.5223 0.137127 -0.05524105
Moved 288.8267 421.4996 362.7506 0.1423601 -0.06494184
Moved 288.8422 422 360.8115 0.1435185 -0.0699292
Moved 288.8582 423.6319 358.3681 0.1472961 -0.07621372
Moved 288.8726 425.0687 356.9313 0.1506219 -0.07990919
Moved 288.8907 425 355.5 0.150463 -0.08359061
Moved 288.9036 426 354.051 0.1527777 -0.08731756
Moved 288.9194 426 353.5 0.1527777 -0.08873464
Moved 288.9359 426 354 0.1527777 -0.08744855
Stationary 288.9498 426 354 0.1527777 -0.08744855
Stationary 288.9687 426 354 0.1527777 -0.08744855
Moved 288.9799 420.3327 366.048 0.1396592 -0.05646081
Moved 288.9963 414.0063 374.4905 0.1250146 -0.03474655
Moved 289.011 406.5501 386.8298 0.107755 -0.003009921
Moved 289.0262 401.719 394.7418 0.09657165 0.01734004
Moved 289.042 393.7694 405.6408 0.0781699 0.04537237
Moved 289.0576 386.7782 414.8661 0.06198655 0.0691001
Moved 289.0718 380.6673 422.4158 0.04784107 0.08851805
Moved 289.0877 375 429.5 0.03472219 0.1067386
Moved 289.105 368.1462 437.8173 0.01885692 0.1281308
Moved 289.1192 361.0088 446.3895 0.002335111 0.1501786
Moved 289.1363 355.4608 452.174 -0.01050731 0.1650564
Moved 289.1492 350.1805 457.8195 -0.02273038 0.1795769
Moved 289.1658 345.686 463.752 -0.03313417 0.1948352
Moved 289.1813 338.4553 469.5447 -0.0498721 0.2097344
Moved 289.1977 332.6987 475.3013 -0.06319746 0.2245404
Moved 289.2124 328.7014 479.2986 -0.07245059 0.2348215
Moved 289.2279 324.3832 483.6168 -0.08244628 0.2459278
Moved 289.2424 319 487.5 -0.09490739 0.2559156
Moved 289.2589 314.3402 493.6598 -0.105694 0.2717586
Moved 289.2733 308.3011 499.6989 -0.1196734 0.2872913
Moved 289.2907 300.5711 506.4289 -0.1375669 0.304601
Moved 289.3051 295.8877 512.1498 -0.1484082 0.3193152
Moved 289.3205 291.5202 516.4798 -0.158518 0.3304521
Moved 289.3374 287.23 519.8467 -0.168449 0.3391118
Moved 289.3521 284.2753 522.7247 -0.1752887 0.3465141
Moved 289.3659 280.8319 524.7787 -0.1832594 0.3517971
Moved 289.3813 277.1187 527.8813 -0.1918548 0.3597769
Moved 289.3967 274.2093 529.3954 -0.1985896 0.3636711
Moved 289.412 270.3495 531.8252 -0.2075242 0.3699206
Moved 289.4275 267.4762 533.2619 -0.2141754 0.3736159
Moved 289.4432 265.2987 534.7014 -0.219216 0.3773182
Moved 289.4585 262.7263 536.1368 -0.2251706 0.3810103
Moved 289.4794 260.6411 536 -0.2299974 0.3806583
Moved 289.4905 257.6541 537 -0.2369118 0.3832304
Moved 289.5044 254.7711 538.1144 -0.2435855 0.3860967
Moved 289.5193 251.8993 538.5504 -0.2502332 0.3872178
Moved 289.5345 250.0137 539 -0.2545979 0.3883744
Moved 289.5508 247.1418 539 -0.2612458 0.3883744
Moved 289.566 244.1362 540 -0.2682031 0.3909464
Moved 289.5818 242.099 540 -0.2729189 0.3909464
Moved 289.5977 240.6292 541.3708 -0.2763214 0.3944722
Moved 289.6125 239.1904 541 -0.2796519 0.3935184
Moved 289.6277 237.7517 541 -0.2829822 0.3935184
Ended 289.6434 238 542 -0.2824074 0.3960905
Began 290.4443 317 344 -0.09953702 -0.1131688
Stationary 290.4597 317 344 -0.09953702 -0.1131688
Stationary 290.4754 317 344 -0.09953702 -0.1131688
Stationary 290.4917 317 344 -0.09953702 -0.1131688
Stationary 290.5064 317 344 -0.09953702 -0.1131688
