just in time for the party
Basic
0.4 0.4
288 259.2
Began 183.6716 471 359 0.3854166 -0.1118827
Stationary 183.6906 471 359 0.3854166 -0.1118827
Stationary 183.7049 471 359 0.3854166 -0.1118827
Stationary 183.7206 471 359 0.3854166 -0.1118827
Stationary 183.7368 471 359 0.3854166 -0.1118827
Stationary 183.7516 471 359 0.3854166 -0.1118827
Stationary 183.7664 471 359 0.3854166 -0.1118827
Stationary 183.782 471 359 0.3854166 -0.1118827
Stationary 183.7975 471 359 0.3854166 -0.1118827
Stationary 183.8112 471 359 0.3854166 -0.1118827
Stationary 183.8262 471 359 0.3854166 -0.1118827
Stationary 183.8431 471 359 0.3854166 -0.1118827
Stationary 183.8604 471 359 0.3854166 -0.1118827
Stationary 183.8743 471 359 0.3854166 -0.1118827
Moved 183.8912 463 370.4421 0.3576389 -0.06773877
Moved 183.905 461.4245 373.7265 0.3521684 -0.05506762
Moved 183.9204 459.9837 377.0326 0.3471656 -0.04231264
Moved 183.9367 460 381.3628 0.3472222 -0.02560651
Moved 183.9516 459 384.7842 0.34375 -0.01240689
Moved 183.9672 457.6699 387.6602 0.3391315 -0.001310949
Moved 183.9828 457 391.5359 0.3368056 0.01364172
Moved 183.9981 455.794 395.6179 0.3326182 0.02938994
Moved 184.0164 456 397.4871 0.3333333 0.03660137
Moved 184.0286 455 401.2733 0.329861 0.0512086
Moved 184.0453 453.8056 403.1944 0.3257139 0.05862018
Moved 184.0598 453.3728 406.8816 0.3242111 0.07284564
Moved 184.0756 453 409.0681 0.3229167 0.08128119
Moved 184.0913 451.5 412 0.3177084 0.09259252
Moved 184.1061 451.0614 414.8773 0.3161853 0.1036929
Moved 184.1219 449.9489 417.1021 0.3123226 0.1122766
Moved 184.1375 449.4857 419.0286 0.3107142 0.1197088
Moved 184.1516 448.0442 421.9116 0.3057089 0.1308317
Moved 184.1674 446.6025 424.795 0.3007032 0.1419559
Moved 184.1831 445.1633 426.6733 0.2957059 0.1492026
Moved 184.1989 442.4445 429.5555 0.2862655 0.1603222
Moved 184.2134 441.2786 432.4429 0.2822173 0.1714615
Moved 184.2295 440.1215 434.757 0.2781996 0.1803896
Moved 184.2453 438.7194 437.5613 0.2733311 0.1912085
Moved 184.2598 436.54 440.46 0.2657638 0.2023918
Moved 184.2749 434.831 442.1691 0.2598298 0.2089855
