watch out for low flying objects
Basic
0.4 0.4
288 259.2
Began 395.3488 379 510 0.06597221 0.4706789
Stationary 395.3696 379 510 0.06597221 0.4706789
Stationary 395.3833 379 510 0.06597221 0.4706789
Stationary 395.3978 379 510 0.06597221 0.4706789
Stationary 395.4134 379 510 0.06597221 0.4706789
Stationary 395.4288 379 510 0.06597221 0.4706789
Stationary 395.4437 379 510 0.06597221 0.4706789
Stationary 395.4595 379 510 0.06597221 0.4706789
Stationary 395.4744 379 510 0.06597221 0.4706789
Stationary 395.4915 379 510 0.06597221 0.4706789
Moved 395.5057 369.3547 510 0.03248155 0.4706789
Moved 395.5227 367 510 0.02430558 0.4706789
Moved 395.538 366.059 510 0.02103806 0.4706789
Moved 395.5528 364.6127 500.2889 0.01601636 0.4332132
Moved 395.568 363.4001 502 0.01180574 0.4398147
Moved 395.5844 361.2111 501.1055 0.004205107 0.4363638
Moved 395.5998 359.67 499.67 -0.001145974 0.4308255
Moved 395.6153 357.2346 498.2346 -0.009602009 0.4252878
Moved 395.6309 354.5945 496.7972 -0.01876928 0.4197423
Moved 395.6471 351.7189 495.3595 -0.02875373 0.4141954
Moved 395.6606 348.8455 493.9227 -0.03873095 0.4086524
Moved 395.6757 346 491 -0.04861109 0.3973763
Moved 395.6934 343.7303 489.7303 -0.05649186 0.392478
Moved 395.7079 340.857 487.9285 -0.06646863 0.3855267
Moved 395.7229 338 485 -0.07638887 0.3742283
Moved 395.7393 335.0902 483.0451 -0.08649222 0.3666863
Moved 395.7545 330.8188 480.2126 -0.1013234 0.3557583
Moved 395.769 326.5028 475.5029 -0.1163096 0.337588
Moved 395.7845 322.1864 471.1864 -0.1312972 0.3209351
Moved 395.7999 319.2094 466.9459 -0.1416341 0.304575
Moved 395.8151 315.4092 463.6138 -0.1548292 0.2917197
Moved 395.8315 311.2976 459.2976 -0.1691055 0.2750678
Moved 395.8467 307.0014 455.0014 -0.1840229 0.258493
Moved 395.8609 302.6822 450.6822 -0.1990203 0.2418293
Moved 395.8768 299.9138 446.9138 -0.2086326 0.2272906
Moved 395.8928 296.0584 443.0584 -0.2220195 0.2124165
Moved 395.9086 292.7153 439.7153 -0.2336276 0.1995187
Moved 395.9242 289.8691 436.8691 -0.2435101 0.188538
Moved 395.9387 286.9875 433.9875 -0.2535157 0.1774208
