the dow jones index has risen
Basic
0.8 0.8
575.9999 172.8
Began 1057.103 271 539 -0.1545139 0.8738427
Stationary 1057.124 271 539 -0.1545139 0.8738427
Stationary 1057.139 271 539 -0.1545139 0.8738427
Stationary 1057.153 271 539 -0.1545139 0.8738427
Stationary 1057.173 271 539 -0.1545139 0.8738427
Stationary 1057.184 271 539 -0.1545139 0.8738427
Stationary 1057.198 271 539 -0.1545139 0.8738427
Stationary 1057.214 271 539 -0.1545139 0.8738427
Stationary 1057.231 271 539 -0.1545139 0.8738427
Stationary 1057.247 271 539 -0.1545139 0.8738427
Moved 1057.26 278.5078 529.347 -0.1414794 0.8179806
Moved 1057.277 279.6469 525.7063 -0.139502 0.7969115
Moved 1057.292 282.0207 521.9689 -0.1353807 0.7752832
Moved 1057.307 283.3729 519.2542 -0.1330332 0.7595732
Moved 1057.322 284.7367 515.5267 -0.1306655 0.7380015
Moved 1057.338 286.6498 513.3502 -0.127344 0.7254059
Moved 1057.353 288.132 509.6039 -0.1247707 0.7037262
Moved 1057.369 290.4915 506.5256 -0.1206745 0.685912
Moved 1057.384 291.8564 503.2873 -0.1183049 0.6671718
Moved 1057.399 294.4518 499.3223 -0.113799 0.6442264
Moved 1057.415 297.17 496.8301 -0.1090799 0.6298036
Moved 1057.431 299.9045 493.1432 -0.1043324 0.6084676
Moved 1057.446 302.6371 490.3629 -0.0995884 0.5923781
Moved 1057.462 303.3068 488.3864 -0.09842566 0.5809395
Moved 1057.477 306.5181 485.4819 -0.09285059 0.5641316
Moved 1057.492 309.2385 482.7615 -0.08812766 0.5483886
Moved 1057.509 313.4581 478.5419 -0.08080196 0.5239696
Moved 1057.525 316.5512 476.2992 -0.07543187 0.5109908
Moved 1057.54 321.8631 471.1369 -0.06620988 0.4811163
Moved 1057.554 325.7253 467.2747 -0.05950477 0.4587657
Moved 1057.571 329.857 463.8573 -0.05233165 0.4389891
Moved 1057.587 333.9703 461.0198 -0.04519038 0.4225682
Moved 1057.601 338.058 458.2946 -0.03809366 0.4067975
Moved 1057.617 342.1456 454.5696 -0.03099717 0.3852407
Moved 1057.631 346.2244 451.8504 -0.02391592 0.3695047
Moved 1057.647 351.766 447.6755 -0.01429517 0.3453446
Moved 1057.663 356.2219 444.5836 -0.00655923 0.3274511
Moved 1057.678 360.4948 441.6702 0.0008589774 0.3105912
Moved 1057.695 364.5529 438.5853 0.007904395 0.2927392
Moved 1057.709 369.1924 435.3557 0.01595892 0.2740493
Moved 1057.724 375.5407 430.3674 0.02698042 0.245182
Moved 1057.74 382.3696 424.9044 0.03883608 0.213567
Moved 1057.755 389.1833 421.09 0.05066544 0.1914931
Moved 1057.77 396.0044 416.9973 0.06250769 0.1678085
Moved 1057.786 402.8171 411.5463 0.07433525 0.1362635
Moved 1057.802 407 408.5 0.08159719 0.1186343
Moved 1057.818 413.7072 404.0774 0.09324156 0.09304038
Moved 1057.832 418.4486 399.5514 0.1014733 0.06684842
Moved 1057.847 424 395.5 0.1111111 0.04340278
Moved 1057.862 427.655 392.23 0.1174565 0.02447941
Moved 1057.877 431.7528 388.2471 0.1245709 0.001430247
Moved 1057.902 434.9727 384.0545 0.130161 -0.02283273
Moved 1057.916 435.9987 383.0013 0.1319422 -0.02892777
Stationary 1057.927 435.9987 383.0013 0.1319422 -0.02892777
Moved 1057.939 437.3682 381.6318 0.1343197 -0.03685262
Moved 1057.955 437.7327 381 0.1349525 -0.04050926
Moved 1057.97 438.5 381 0.1362847 -0.04050926
Moved 1057.986 438 379.7704 0.1354167 -0.0476249
Moved 1058.002 423.5849 380 0.1103904 -0.04629612
Moved 1058.018 410.1309 380 0.08703284 -0.04629612
Moved 1058.033 397 390.5 0.06423607 0.01446759
Moved 1058.049 383.8146 393.5186 0.04134483 0.03193617
Moved 1058.064 369.0582 397.9825 0.01572609 0.05776944
Moved 1058.078 358.1165 403.4418 -0.003269985 0.08936211
Moved 1058.094 347.2087 406.1717 -0.02220705 0.1051603
Moved 1058.11 337.3689 410.2704 -0.03929011 0.12888
Moved 1058.127 330.7378 411.4525 -0.05080248 0.1357202
Moved 1058.141 320.9525 414.619 -0.06779089 0.1540453
Moved 1058.156 315.5628 415.8875 -0.07714789 0.1613857
Moved 1058.171 308.9306 417.2139 -0.08866213 0.1690617
Moved 1058.187 302.699 418.5753 -0.0994809 0.1769401
Moved 1058.201 297.2342 419.9415 -0.1089683 0.1848466
Moved 1058.217 291.7834 421.3041 -0.1184315 0.1927322
Moved 1058.233 287.3152 422.6712 -0.1261888 0.2006435
Moved 1058.248 281.8616 423 -0.1356569 0.2025463
Moved 1058.264 279.2057 424.3972 -0.1402678 0.2106318
Moved 1058.279 276.0751 424 -0.145703 0.2083334
Moved 1058.297 272.754 424 -0.1514687 0.2083334
Moved 1058.31 269.7763 425.1119 -0.1566384 0.2147679
Moved 1058.326 267.0512 425 -0.1613694 0.2141204
Moved 1058.341 265.3261 425 -0.1643644 0.2141204
Moved 1058.356 262.5945 425 -0.1691068 0.2141204
Moved 1058.371 261.5 426.5 -0.1710069 0.222801
Moved 1058.386 260.2887 426 -0.1731099 0.2199074
Moved 1058.403 258.0242 426 -0.1770413 0.2199074
Moved 1058.42 256.646 426 -0.1794341 0.2199074
Moved 1058.434 255.2844 426 -0.181798 0.2199074
Moved 1058.449 253.9218 426 -0.1841635 0.2199074
Moved 1058.464 252.5553 426 -0.1865359 0.2199074
Moved 1058.479 251.1919 427 -0.188903 0.2256945
Moved 1058.495 249.8256 427 -0.191275 0.2256945
Moved 1058.51 247.6829 427 -0.194995 0.2256945
Moved 1058.526 246.4311 427.5689 -0.1971682 0.2289867
Moved 1058.541 245.0674 428 -0.1995358 0.2314815
Moved 1058.557 243.7013 428 -0.2019075 0.2314815
Moved 1058.573 242.3369 428.6631 -0.2042762 0.2353189
Moved 1058.587 240.9744 429 -0.2066417 0.2372686
Moved 1058.603 239.608 429 -0.2090138 0.2372686
Moved 1058.619 238.5 429 -0.2109375 0.2372686
Moved 1058.635 238 429.8397 -0.2118055 0.2421279
Moved 1058.65 236.8062 430 -0.2138782 0.2430556
Moved 1058.673 235.5 430 -0.2161458 0.2430556
Stationary 1058.683 235.5 430 -0.2161458 0.2430556
Moved 1058.695 233.7132 431 -0.219248 0.2488425
Stationary 1058.71 233.7132 431 -0.219248 0.2488425
Moved 1058.726 232.6453 431 -0.221102 0.2488425
Stationary 1058.742 232.6453 431 -0.221102 0.2488425
Moved 1058.758 231.8681 431 -0.2224513 0.2488425
Ended 1058.774 232 431 -0.2222222 0.2488425
Began 1059.832 268 331 -0.1597222 -0.3298611
Stationary 1059.852 268 331 -0.1597222 -0.3298611
Stationary 1059.867 268 331 -0.1597222 -0.3298611
Stationary 1059.882 268 331 -0.1597222 -0.3298611
Stationary 1059.897 268 331 -0.1597222 -0.3298611
Stationary 1059.913 268 331 -0.1597222 -0.3298611
Stationary 1059.929 268 331 -0.1597222 -0.3298611
Stationary 1059.944 268 331 -0.1597222 -0.3298611
Stationary 1059.959 268 331 -0.1597222 -0.3298611
Stationary 1059.974 268 331 -0.1597222 -0.3298611
