the five boxing wizards jump quickly
Basic
0.4 0.4
288 86.39999
Began 144.5779 318 420 -0.1458333 0.3703704
Stationary 144.6102 318 420 -0.1458333 0.3703704
Stationary 144.6236 318 420 -0.1458333 0.3703704
Stationary 144.6351 318 420 -0.1458333 0.3703704
Stationary 144.6455 318 420 -0.1458333 0.3703704
Stationary 144.6584 318 420 -0.1458333 0.3703704
Stationary 144.6735 318 420 -0.1458333 0.3703704
Stationary 144.6893 318 420 -0.1458333 0.3703704
Stationary 144.7069 318 420 -0.1458333 0.3703704
Stationary 144.7217 318 420 -0.1458333 0.3703704
Stationary 144.7366 318 420 -0.1458333 0.3703704
Stationary 144.7514 318 420 -0.1458333 0.3703704
Stationary 144.766 318 420 -0.1458333 0.3703704
Stationary 144.781 318 420 -0.1458333 0.3703704
Stationary 144.7973 318 420 -0.1458333 0.3703704
Stationary 144.8126 318 420 -0.1458333 0.3703704
Stationary 144.8268 318 420 -0.1458333 0.3703704
Stationary 144.8433 318 420 -0.1458333 0.3703704
Stationary 144.8607 318 420 -0.1458333 0.3703704
Stationary 144.8747 318 420 -0.1458333 0.3703704
Stationary 144.8898 318 420 -0.1458333 0.3703704
Stationary 144.905 318 420 -0.1458333 0.3703704
Stationary 144.9207 318 420 -0.1458333 0.3703704
Stationary 144.9353 318 420 -0.1458333 0.3703704
Stationary 144.9507 318 420 -0.1458333 0.3703704
Stationary 144.9662 318 420 -0.1458333 0.3703704
Stationary 144.9807 318 420 -0.1458333 0.3703704
Stationary 144.9961 318 420 -0.1458333 0.3703704
Stationary 145.0136 318 420 -0.1458333 0.3703704
Stationary 145.0272 318 420 -0.1458333 0.3703704
Stationary 145.0429 318 420 -0.1458333 0.3703704
Stationary 145.0593 318 420 -0.1458333 0.3703704
Stationary 145.074 318 420 -0.1458333 0.3703704
Stationary 145.0892 318 420 -0.1458333 0.3703704
Stationary 145.1045 318 420 -0.1458333 0.3703704
Stationary 145.1204 318 420 -0.1458333 0.3703704
Stationary 145.1357 318 420 -0.1458333 0.3703704
Stationary 145.1508 318 420 -0.1458333 0.3703704
Stationary 145.1668 318 420 -0.1458333 0.3703704
Moved 145.1826 327.7516 414.7389 -0.1119737 0.3094779
Moved 145.2005 329.1903 413 -0.1069782 0.2893519
Moved 145.215 330.6291 412 -0.1019823 0.2777779
