he is just like everyone else
Basic
0.4 0.4
288 86.39999
Began 361.7128 308 420 -0.1805556 0.3703704
Stationary 361.7328 308 420 -0.1805556 0.3703704
Stationary 361.7478 308 420 -0.1805556 0.3703704
Stationary 361.7666 308 420 -0.1805556 0.3703704
Stationary 361.7808 308 420 -0.1805556 0.3703704
Stationary 361.7934 308 420 -0.1805556 0.3703704
Stationary 361.8087 308 420 -0.1805556 0.3703704
Stationary 361.8248 308 420 -0.1805556 0.3703704
Stationary 361.8442 308 420 -0.1805556 0.3703704
Stationary 361.8544 308 420 -0.1805556 0.3703704
Moved 361.8709 318.0207 411.9835 -0.1457615 0.2775863
Moved 361.8883 322.3473 409.1018 -0.1307385 0.2442339
Moved 361.9021 325.6672 406.1109 -0.119211 0.2096171
Moved 361.9166 328.6562 403.3438 -0.1088326 0.1775904
Moved 361.9337 331 401 -0.1006944 0.1504628
Moved 361.9495 333.7782 398.2218 -0.09104803 0.1183081
Moved 361.9666 337.9843 395.3438 -0.07644325 0.08499693
Moved 361.98 340.5381 394.231 -0.06757609 0.07211774
Moved 361.9944 343.4171 392.7915 -0.05757965 0.0554574
Moved 362.0103 344.6491 391.3509 -0.05330182 0.03878346
Moved 362.0261 347.1715 389.9142 -0.04454337 0.0221558
Moved 362.0413 348.5 388.5 -0.03993057 0.00578686
Moved 362.0565 350.6148 387.3852 -0.03258735 -0.007115823
Moved 362.0724 352.0547 387 -0.02758801 -0.0115739
Moved 362.0881 353.4933 385.5067 -0.02259254 -0.02885801
Moved 362.1025 355.8643 384.0679 -0.0143601 -0.04551075
Moved 362.1192 357 383.5 -0.01041666 -0.05208333
Moved 362.1341 358.7468 382.6266 -0.004351288 -0.06219228
Moved 362.1491 360.2516 381.8742 0.0008736551 -0.07090039
Moved 362.1663 361.298 380.702 0.004506856 -0.08446728
Moved 362.1796 362.8267 380.1733 0.009814948 -0.09058741
Moved 362.1954 364.2654 378.7346 0.01481056 -0.1072389
Moved 362.2102 365.7042 378.2958 0.01980617 -0.112317
Moved 362.2261 366.5 377.5 0.02256945 -0.1215278
Moved 362.2413 367.5833 377 0.02633095 -0.1273148
Moved 362.2577 369.0204 377 0.03132075 -0.1273148
Moved 362.2727 369 375.908 0.03124997 -0.1399538
Moved 362.2885 370.5618 376 0.0366728 -0.1388892
