just in time for the party
Basic
0.8 0.8
575.9999 518.4
Began 287.5635 382 422 0.03819443 0.06558638
Stationary 287.5823 382 422 0.03819443 0.06558638
Stationary 287.5976 382 422 0.03819443 0.06558638
Stationary 287.6134 382 422 0.03819443 0.06558638
Stationary 287.627 382 422 0.03819443 0.06558638
Moved 287.6427 382 407.5984 0.03819443 0.03780559
Moved 287.6595 387.5667 401.819 0.0478588 0.02665705
Moved 287.6754 391.4602 396.0797 0.05461834 0.01558569
Moved 287.69 393.5035 391.993 0.05816578 0.007702568
Moved 287.7061 397.5538 384.8923 0.06519764 -0.005994726
Moved 287.7214 400.4305 376.7086 0.07019176 -0.02178139
Moved 287.7363 403.3129 371.3743 0.07519595 -0.0320713
Moved 287.7508 406.1896 365.6207 0.08019038 -0.04316995
Moved 287.7658 407.5 361.5 0.08246525 -0.05111882
Moved 287.7816 409.9428 356.1144 0.08670628 -0.06150775
Moved 287.7972 411.0484 353.9033 0.08862562 -0.06577303
Moved 287.8134 412.5034 349.9932 0.09115174 -0.07331571
Moved 287.8287 413 348.0583 0.09201391 -0.07704811
Moved 287.8442 414.3762 345.2477 0.09440302 -0.08246981
Moved 287.8606 414.8135 344.1865 0.09516231 -0.08451679
Moved 287.8745 415 342.7602 0.09548611 -0.08726814
Moved 287.889 416 341.3172 0.09722225 -0.09005169
Moved 287.9059 416 340.1382 0.09722225 -0.09232608
Moved 287.9214 416 339.5 0.09722225 -0.09355715
Moved 287.9363 417.3483 340 0.09956308 -0.09259264
Moved 287.9511 417 338.931 0.09895831 -0.09465475
Moved 287.9683 418.5 339 0.1015625 -0.0945216
Moved 287.9814 419.0044 339 0.1024383 -0.0945216
Stationary 287.9975 419.0044 339 0.1024383 -0.0945216
Moved 288.0135 422.3284 339 0.1082089 -0.0945216
Moved 288.0283 425.9887 339 0.1145638 -0.0945216
Moved 288.0445 433.1322 350.4115 0.1269655 -0.07250874
Moved 288.0605 442.2592 353.5061 0.1428111 -0.06653921
Moved 288.0756 452.1989 359.2565 0.1600676 -0.05544662
Moved 288.09 460.1831 363.9618 0.173929 -0.04637006
Moved 288.1069 469.0996 368.5498 0.1894091 -0.03751966
Moved 288.1222 475.5 372.5 0.2005208 -0.02989975
Moved 288.1371 481.4429 376.0657 0.2108384 -0.02302134
Moved 288.1524 486.3904 379.2603 0.2194279 -0.01685896
Moved 288.1684 489 382 0.2239583 -0.01157413
Moved 288.1836 491.0036 384.0035 0.2274367 -0.007709279
Moved 288.2001 492.446 385.446 0.2299411 -0.00492661
Moved 288.215 493.8831 386.8831 0.232436 -0.002154538
Moved 288.2287 494 388.3214 0.2326389 0.0006199765
Moved 288.2436 494 389.3284 0.2326389 0.002562499
Moved 288.2594 495 390.8705 0.234375 0.005537315
Moved 288.2758 495 392.3088 0.234375 0.008311771
Moved 288.2903 495 396.2675 0.234375 0.01594799
Moved 288.3062 495 399.3737 0.234375 0.02193989
Moved 288.3225 495 402.8801 0.234375 0.02870392
Moved 288.3362 495 407.2136 0.234375 0.03706328
Moved 288.3515 486.0787 410.3455 0.2188866 0.04310463
Moved 288.3672 482.2176 417.9706 0.2121833 0.0578137
Moved 288.3833 475.8374 428.2602 0.2011065 0.07766237
Moved 288.3997 471.5876 438.2957 0.1937284 0.09702099
Moved 288.4159 466.352 446.472 0.1846389 0.1127933
Moved 288.4296 463.3069 453.7327 0.1793523 0.1267991
Moved 288.4459 460.2068 460.1729 0.1739701 0.1392222
Moved 288.461 459.0594 465.7031 0.1719781 0.1498902
Moved 288.4753 457.5725 475.9926 0.1693967 0.1697387
Moved 288.4996 457 493.4982 0.1684028 0.2035072
Stationary 288.5103 457 493.4982 0.1684028 0.2035072
Moved 288.5217 457 501.7277 0.1684028 0.2193821
Moved 288.5373 457 508.9313 0.1684028 0.2332779
Moved 288.5516 457 514.4592 0.1684028 0.2439413
Moved 288.5686 457 519.9465 0.1684028 0.2545263
Moved 288.5839 457 529.0775 0.1684028 0.2721402
Moved 288.5984 457 536.9798 0.1684028 0.2873838
Moved 288.6164 457 544.0864 0.1684028 0.3010926
Moved 288.63 457 548.4321 0.1684028 0.3094755
Moved 288.6456 457 552.7365 0.1684028 0.3177785
Moved 288.6637 457 557.053 0.1684028 0.3261053
Moved 288.6766 457 559 0.1684028 0.3298611
Moved 288.6908 457 561.5863 0.1684028 0.33485
Moved 288.7072 457 563.3109 0.1684028 0.3381767
Moved 288.722 457 564.7434 0.1684028 0.3409402
Moved 288.7368 457 566.1901 0.1684028 0.3437308
Stationary 288.7516 457 566.1901 0.1684028 0.3437308
Moved 288.7679 457 567.3718 0.1684028 0.3460104
Moved 288.7833 454.5074 568.2463 0.1640753 0.3476973
Moved 288.7989 451.7853 568 0.1593495 0.3472221
Moved 288.8163 446.8158 568 0.1507219 0.3472221
Moved 288.8301 442.5328 568 0.1432861 0.3472221
Moved 288.8452 434.4246 561.4954 0.1292094 0.3346746
Moved 288.8611 425.8615 558.2872 0.1143429 0.328486
Moved 288.8765 414.555 550.3607 0.09471357 0.3131956
Moved 288.8916 403.0076 542.7548 0.07466598 0.2985238
Moved 288.9084 395.0054 536.5041 0.06077334 0.2864661
Moved 288.9226 378.021 521.7964 0.0312864 0.2580949
Moved 288.9373 363.8933 509.104 0.00675924 0.233611
Moved 288.9529 352.1158 498.1158 -0.01368776 0.2124148
Moved 288.9693 340.2443 487.3387 -0.03429815 0.1916256
Moved 288.986 328.2672 474.2672 -0.05509175 0.1664104
Moved 288.9999 317.2017 464.1765 -0.07430262 0.1469454
Moved 289.0167 309.4002 457.4859 -0.08784692 0.1340391
Moved 289.0319 299.7399 448.7399 -0.1046182 0.117168
Moved 289.0465 291.0318 442.0212 -0.1197364 0.1042076
Moved 289.0609 282.4254 434.7127 -0.1346781 0.09010935
Moved 289.0767 274.6405 429.5124 -0.1481935 0.08007788
Moved 289.0925 267.5004 426.4001 -0.1605895 0.07407432
Moved 289.1081 260.2833 421.0267 -0.1731192 0.06370883
Moved 289.1235 254.5925 418.237 -0.1829991 0.05832748
Moved 289.1386 247.6015 414.1609 -0.1951362 0.05046462
Moved 289.1537 240.6335 410.8168 -0.2072334 0.04401377
Moved 289.1693 234.3636 408.8409 -0.2181186 0.0402024
Moved 289.1855 228.5821 405.791 -0.2281561 0.03431905
Moved 289.1999 222.8509 402.9254 -0.2381061 0.02879128
Moved 289.2152 217.0947 400.0474 -0.2480995 0.02323951
Moved 289.2308 212.3123 398.3281 -0.2564023 0.0199229
Moved 289.2463 207.0433 396.0217 -0.2655498 0.01547384
Moved 289.2688 196.5889 391.2944 -0.2836998 0.006354943
Stationary 289.2789 196.5889 391.2944 -0.2836998 0.006354943
Moved 289.2919 192.1376 389.7125 -0.2914277 0.003303451
Moved 289.3078 187.802 387.5347 -0.2989548 -0.00089769
Moved 289.3248 184.6638 385.8319 -0.3044031 -0.004182303
Moved 289.3403 182 384.5 -0.3090278 -0.006751542
Moved 289.3546 179.5492 384.2746 -0.3132827 -0.007186377
Moved 289.3705 177.8376 384 -0.3162542 -0.007716049
Moved 289.3838 176.3937 384 -0.3187609 -0.007716049
