reading week is just about here
Basic
0.8 0.8
575.9999 518.4
Began 461.5894 367 487 0.01215279 0.1909722
Stationary 461.6081 367 487 0.01215279 0.1909722
Stationary 461.6231 367 487 0.01215279 0.1909722
Moved 461.6382 357.6232 487 -0.00412643 0.1909722
Moved 461.6544 349.4465 487 -0.01832209 0.1909722
Moved 461.6695 339.0583 481.0583 -0.03635712 0.1795105
Moved 461.6847 327.5328 475.4498 -0.05636666 0.1686917
Moved 461.7003 318.5 473 -0.0720486 0.163966
Moved 461.717 311.911 470.546 -0.08348781 0.1592323
Moved 461.7296 304.1715 468.8343 -0.09692453 0.1559303
Moved 461.7455 296.9688 466.3937 -0.1094292 0.1512224
Moved 461.7629 290.8156 466 -0.1201118 0.1504629
Moved 461.7772 286.5456 464.5152 -0.127525 0.1475987
Moved 461.7924 282.1586 464 -0.1351413 0.1466049
Moved 461.8087 279.2809 464 -0.1401373 0.1466049
Moved 461.8241 276.0552 464 -0.1457374 0.1466049
Moved 461.8388 274.1302 464 -0.1490795 0.1466049
Moved 461.8539 271.3837 464 -0.1538478 0.1466049
Moved 461.8693 269.2502 464 -0.1575516 0.1466049
Moved 461.8848 267.8148 464 -0.1600436 0.1466049
Moved 461.9006 266.3752 464 -0.162543 0.1466049
Moved 461.9156 264.9396 464 -0.1650353 0.1466049
Moved 461.9311 263.8684 464 -0.166895 0.1466049
Moved 461.9468 262.3852 464 -0.1694701 0.1466049
Moved 461.964 260.9484 464 -0.1719646 0.1466049
Moved 461.9779 259.019 467.4337 -0.1753143 0.1532286
Moved 461.9927 257.0733 471.9267 -0.1786921 0.1618955
Moved 462.0098 254.254 474.746 -0.1835868 0.167334
Moved 462.0239 253.1898 479.4306 -0.1854344 0.1763707
Moved 462.0386 252.0775 484.6125 -0.1873654 0.1863666
Moved 462.0553 250.6662 489.0015 -0.1898157 0.194833
Moved 462.0702 249.2246 495.1017 -0.1923184 0.2066005
Moved 462.085 247.7823 500.8706 -0.1948223 0.2177287
Moved 462.116 244.9112 511.3553 -0.199807 0.2379538
Moved 462.1474 242.2518 519.2446 -0.204424 0.2531724
Moved 462.159 240.8852 523.3445 -0.2067966 0.2610812
Moved 462.1699 240.4543 526.637 -0.2075446 0.2674325
Stationary 462.1814 240.4543 526.637 -0.2075446 0.2674325
Moved 462.1922 239.0222 528.9778 -0.2100309 0.2719478
Moved 462.2082 237.5795 533.2616 -0.2125356 0.2802113
Moved 462.2241 237.1114 536.666 -0.2133483 0.2867784
Moved 462.2394 235.6732 538.3268 -0.2158451 0.2899822
Moved 462.2551 234.5 542.5 -0.2178819 0.2980323
Moved 462.2698 234.1305 542.8694 -0.2185234 0.298745
Moved 462.2857 234 544.312 -0.21875 0.3015276
Moved 462.3001 233 545.7498 -0.2204861 0.3043011
Moved 462.3157 233 548.3772 -0.2204861 0.3093695
Moved 462.3304 232.3709 549.6291 -0.2215783 0.3117844
Moved 462.3474 232 551.0688 -0.2222222 0.3145618
Moved 462.3628 232 552.5 -0.2222222 0.3173225
Moved 462.3777 232 554.5822 -0.2222222 0.3213389
Moved 462.3932 232 557.0408 -0.2222222 0.3260817
Moved 462.4102 232 559.9183 -0.2222222 0.3316324
Moved 462.4247 232 560.8925 -0.2222222 0.3335117
Moved 462.4392 232 563.6619 -0.2222222 0.3388539
Moved 462.4555 232 565.7642 -0.2222222 0.3429093
Moved 462.471 232 567.1854 -0.2222222 0.3456507
Moved 462.4865 232 569.4834 -0.2222222 0.3500836
Moved 462.5017 239 570.7441 -0.2100694 0.3525155
Moved 462.5176 240.1762 572.1762 -0.2080274 0.3552781
Moved 462.5331 240.6216 573.6216 -0.2072542 0.3580663
Moved 462.5492 241 575.0604 -0.2065972 0.3608416
Moved 462.5645 241 576.4991 -0.2065972 0.363617
Moved 462.5784 242 576.9375 -0.2048611 0.3644626
Moved 462.5941 242 577.5 -0.2048611 0.3655477
Moved 462.611 242 578.1964 -0.2048611 0.366891
Stationary 462.6263 242 578 -0.2048611 0.3665123
Stationary 462.6393 242 578 -0.2048611 0.3665123
Stationary 462.6542 242 578 -0.2048611 0.3665123
Stationary 462.6709 242 578 -0.2048611 0.3665123
Moved 462.6848 233.6809 578 -0.2193039 0.3665123
Moved 462.7006 230.4481 578 -0.2249165 0.3665123
Moved 462.7162 223.8078 568.0924 -0.2364449 0.3474004
Moved 462.7322 217.6264 564.9758 -0.2471765 0.3413884
Moved 462.7482 211.5536 560.6652 -0.2577195 0.3330731
Moved 462.7631 204.234 555.7872 -0.2704271 0.3236634
Moved 462.7785 198.032 551.024 -0.2811944 0.3144752
Moved 462.7945 193.7079 548.1386 -0.2887016 0.3089093
Moved 462.8101 189.0312 544.0312 -0.2968208 0.300986
Moved 462.8252 183.0829 538.0829 -0.3071477 0.2895117
Moved 462.841 177.3115 532.3115 -0.3171675 0.2783786
Moved 462.8631 166.112 516.816 -0.336611 0.2484877
Stationary 462.873 166.112 516.816 -0.336611 0.2484877
Moved 462.8864 161.8082 511.8082 -0.3440829 0.2388276
Moved 462.9012 157.5139 505.1899 -0.3515383 0.2260607
Moved 462.9182 153.5 498.5 -0.3585069 0.2131557
Moved 462.9324 150.6314 494.2629 -0.3634871 0.2049823
Moved 462.948 146.631 488.5081 -0.3704322 0.1938812
Moved 462.9649 143.8822 483.7645 -0.3752045 0.1847307
Moved 462.9798 141.0104 479.0156 -0.3801903 0.1755701
Moved 462.9935 138.133 473.2661 -0.3851857 0.1644792
Moved 463.0109 136.261 468.3916 -0.3884357 0.1550763
Moved 463.0256 134.6956 464.0867 -0.3911535 0.1467721
Moved 463.0397 133.6835 462.3669 -0.3929107 0.1434547
Moved 463.0555 131.2888 458.4332 -0.3970681 0.1358663
Moved 463.0717 129.7061 455.4122 -0.3998158 0.1300389
Moved 463.0871 127.5534 451.5533 -0.4035532 0.1225951
Moved 463.1025 127 448.6741 -0.4045138 0.1170411
Moved 463.1178 124.3887 445.7774 -0.4090474 0.1114533
Moved 463.1333 124 443.9599 -0.4097222 0.1079472
Moved 463.1486 122.8977 441.7954 -0.4116359 0.103772
Moved 463.1643 121.4252 438.8503 -0.4141923 0.09809084
Moved 463.1794 119.9882 435.9763 -0.4166872 0.09254687
Moved 463.196 118.5493 431.6479 -0.4191852 0.08419722
Moved 463.2104 117.1106 428.2213 -0.4216828 0.07758722
Moved 463.2256 117 424.0043 -0.421875 0.06945265
Moved 463.241 115.2331 419.6994 -0.4249424 0.06114847
Moved 463.2578 114.074 416.222 -0.4269548 0.05444052
Moved 463.2726 114 411.9729 -0.4270833 0.04624393
Moved 463.2877 113 409.4592 -0.4288194 0.04139491
Moved 463.3031 113 406.576 -0.4288194 0.0358334
Moved 463.318 112 403.6791 -0.4305556 0.0302451
Moved 463.3331 112 401.8997 -0.4305556 0.0268127
Moved 463.3486 111 399.8176 -0.4322916 0.02279626
Moved 463.3642 111 398.2281 -0.4322916 0.01973005
Moved 463.3788 111 396.8615 -0.4322916 0.01709381
Moved 463.3943 111 394 -0.4322916 0.01157404
Stationary 463.4105 111 393.9921 -0.4322916 0.01155885
Moved 463.426 111 392.5605 -0.4322916 0.008797262
