come and see our new car
Basic
0.6 0.6
432 388.8
Began 177.0486 360 379 0 -0.02314815
Stationary 177.0781 360 379 0 -0.02314815
Stationary 177.089 360 379 0 -0.02314815
Stationary 177.0992 360 379 0 -0.02314815
Moved 177.1126 360 366.9493 0 -0.05414264
Moved 177.1292 350.7093 361.7731 -0.02150635 -0.06745593
Moved 177.1537 342.5 346.5 -0.04050925 -0.1067387
Moved 177.1666 339.6209 339.2418 -0.0471738 -0.1254069
Stationary 177.178 339.6209 339.2418 -0.0471738 -0.1254069
Moved 177.1901 333.9078 329.8617 -0.06039868 -0.1495328
Moved 177.2064 329.5 321 -0.07060184 -0.1723252
Moved 177.2216 326.0993 313.1985 -0.07847389 -0.1923905
Moved 177.2392 321.7669 307.3559 -0.08850247 -0.207418
Moved 177.252 319.4501 303.6002 -0.09386545 -0.2170779
Moved 177.2683 317.7135 300.4271 -0.09788533 -0.2252391
Moved 177.2837 315.3922 297.0882 -0.1032589 -0.2338267
Moved 177.2987 313.3238 294.3239 -0.1080467 -0.2409367
Moved 177.3135 311.7154 292.7154 -0.1117699 -0.2450736
Moved 177.3298 310.2825 290.2825 -0.1150868 -0.2513312
Moved 177.3447 310 287.6848 -0.1157407 -0.2580125
Moved 177.3598 308.4022 286.4022 -0.1194395 -0.2613114
Moved 177.3748 307.5 285.5 -0.1215278 -0.2636318
Moved 177.3909 308 284.947 -0.1203704 -0.2650542
Moved 177.4074 306.4362 283.4362 -0.1239903 -0.26894
Moved 177.4216 304.9976 281.9976 -0.1273204 -0.2726399
Moved 177.437 303.5575 279.1149 -0.130654 -0.2800542
Moved 177.4528 300.2383 275.2382 -0.1383374 -0.2900251
Moved 177.4681 297.3447 272.3447 -0.1450355 -0.2974674
Moved 177.483 294.7043 268.7043 -0.1511475 -0.3068305
Moved 177.4989 292.1514 264.3028 -0.157057 -0.3181513
Moved 177.5143 287.9756 258.6341 -0.1667232 -0.3327312
Moved 177.5299 285.6553 253.0922 -0.1720943 -0.3469852
Moved 177.5457 283.7817 248.3451 -0.1764312 -0.3591947
Moved 177.5608 282.3381 245.6761 -0.179773 -0.3660593
Moved 177.5756 280.901 241.7031 -0.1830994 -0.376278
Moved 177.5909 280 240.459 -0.1851852 -0.379478
Moved 177.6063 279.2663 239.2664 -0.1868836 -0.3825454
Moved 177.6223 279 237.9165 -0.1875 -0.3860173
Stationary 177.638 279 237.9165 -0.1875 -0.3860173
Stationary 177.6513 279 238 -0.1875 -0.3858025
Stationary 177.6678 279 238 -0.1875 -0.3858025
Stationary 177.6835 279 238 -0.1875 -0.3858025
Stationary 177.6979 279 238 -0.1875 -0.3858025
Moved 177.7209 294.5251 256.1037 -0.1515622 -0.3392394
Stationary 177.7336 294.5251 256.1037 -0.1515622 -0.3392394
Moved 177.7458 303.3523 270.2538 -0.1311289 -0.3028451
Moved 177.7618 316.0902 285.4436 -0.1016431 -0.2637767
Moved 177.7776 326.7361 300.0516 -0.07699967 -0.2262047
Moved 177.7923 338 314 -0.05092591 -0.1903292
Moved 177.8066 349.6219 329.5273 -0.0240235 -0.1503929
Moved 177.8287 372.3534 354.3535 0.02859593 -0.08653954
Stationary 177.8394 372.3534 354.3535 0.02859593 -0.08653954
Moved 177.8523 387.487 370.487 0.06362736 -0.04504388
Moved 177.869 396.2996 382.066 0.08402675 -0.01526224
Moved 177.8844 405.9484 392.7732 0.1063621 0.01227669
Moved 177.8994 418.3973 405.3973 0.1351791 0.0447462
Moved 177.9151 426.8801 411.4858 0.1548149 0.06040577
Moved 177.9306 435.8294 419.8294 0.175531 0.08186568
Moved 177.9452 440.8438 426.0126 0.1871384 0.09776893
Moved 177.9617 449.3217 435.986 0.2067631 0.1234208
Moved 177.9771 456.5128 442.4102 0.2234091 0.1399439
Moved 177.9937 464.1782 450.7228 0.2411533 0.1613239
Moved 178.0089 469.9544 456.9543 0.2545241 0.1773517
Moved 178.0228 474.2866 462.7154 0.2645522 0.1921691
Moved 178.0376 480.4366 466.5775 0.2787885 0.2021024
Moved 178.0534 482.9891 468.9891 0.2846969 0.2083052
Moved 178.0691 487.2994 473.2994 0.2946745 0.2193915
Moved 178.0851 489.7465 475.7465 0.300339 0.2256852
Moved 178.1004 491.3097 478.6194 0.3039576 0.2330744
Moved 178.116 493.7536 481.7535 0.3096147 0.2411356
Moved 178.1329 494 484.3876 0.3101851 0.2479105
Moved 178.1454 495.6311 485.6311 0.3139608 0.2511087
Moved 178.1622 496 486.8035 0.3148148 0.2541241
Moved 178.1776 497.1747 488.1747 0.317534 0.2576508
Moved 178.1923 497 489.6183 0.3171296 0.2613639
Moved 178.2082 497 491.0585 0.3171296 0.265068
Moved 178.2234 498 491.4943 0.3194444 0.2661891
Moved 178.2389 498 492.9331 0.3194444 0.2698896
Moved 178.2546 499.3772 494.3772 0.3226324 0.2736039
Moved 178.2697 499 495.5 0.3217593 0.2764916
Moved 178.2878 501.7714 499.6571 0.3281746 0.2871838
Moved 178.3067 503.3224 502.6449 0.3317649 0.2948685
Moved 178.3179 504.7657 504.7657 0.3351058 0.3003232
Moved 178.3318 506.193 506.1931 0.3384097 0.3039944
Moved 178.3471 507 507.6426 0.3402778 0.3077227
Moved 178.3631 507 509.0838 0.3402778 0.3114294
Moved 178.3777 508.5 509 0.34375 0.3112139
Stationary 178.393 508.5 509 0.34375 0.3112139
Moved 178.4091 508 509 0.3425926 0.3112139
Stationary 178.4248 508 509 0.3425926 0.3112139
Stationary 178.4387 508 509 0.3425926 0.3112139
Stationary 178.4551 508 509 0.3425926 0.3112139
Moved 178.4704 491.9546 486.7501 0.3054504 0.2539867
Moved 178.4902 481.9319 469.4547 0.2822497 0.2095026
Moved 178.5023 477.5999 461.4799 0.272222 0.1889914
Moved 178.5171 464.0977 428.9272 0.2409669 0.1052653
Moved 178.534 458.1119 412.5576 0.2271108 0.06316248
Moved 178.5481 452.0497 393.549 0.2130781 0.01427199
Moved 178.5636 446.6071 374.7232 0.2004795 -0.03414821
Moved 178.5779 444 361 0.1944444 -0.06944452
Moved 178.594 441.083 348.3735 0.1876922 -0.10192
