did you have a good time
Basic
0.8 0.8
575.9999 172.8
Began 286.3057 361 371 0.001736134 -0.09837963
Stationary 286.3239 361 371 0.001736134 -0.09837963
Stationary 286.3393 361 371 0.001736134 -0.09837963
Stationary 286.3534 361 371 0.001736134 -0.09837963
Stationary 286.3687 361 371 0.001736134 -0.09837963
Stationary 286.384 361 371 0.001736134 -0.09837963
Stationary 286.403 361 371 0.001736134 -0.09837963
Stationary 286.4192 361 371 0.001736134 -0.09837963
Stationary 286.434 361 371 0.001736134 -0.09837963
Stationary 286.4469 361 371 0.001736134 -0.09837963
Stationary 286.462 361 371 0.001736134 -0.09837963
Stationary 286.4768 361 371 0.001736134 -0.09837963
Stationary 286.4922 361 371 0.001736134 -0.09837963
Stationary 286.5079 361 371 0.001736134 -0.09837963
Stationary 286.5234 361 371 0.001736134 -0.09837963
Moved 286.5385 370.218 371 0.01773961 -0.09837963
Moved 286.563 371.374 371 0.0197465 -0.09837963
Stationary 286.5732 371.374 371 0.0197465 -0.09837963
Moved 286.5845 372.3597 371 0.02145775 -0.09837963
Stationary 286.6002 372.3597 371 0.02145775 -0.09837963
Stationary 286.6159 372.3597 371 0.02145775 -0.09837963
Stationary 286.6316 372.3597 371 0.02145775 -0.09837963
Stationary 286.6483 372 371 0.02083331 -0.09837963
Stationary 286.6632 372 371 0.02083331 -0.09837963
Stationary 286.6768 372 371 0.02083331 -0.09837963
Stationary 286.6922 372 371 0.02083331 -0.09837963
Stationary 286.7086 372 371 0.02083331 -0.09837963
Moved 286.7247 360.077 371 0.0001335889 -0.09837963
Moved 286.7407 354.5707 376.6683 -0.009425841 -0.06557694
Moved 286.756 350.1549 378.9613 -0.01709223 -0.05230727
Moved 286.7715 345.8305 379 -0.02459977 -0.05208316
Moved 286.7868 341.5425 380.8192 -0.03204424 -0.04155565
Moved 286.8027 337.1801 381 -0.03961779 -0.04050926
Moved 286.8166 332.903 381.699 -0.04704341 -0.03646409
Moved 286.8336 328.5727 383.1425 -0.0545613 -0.02811061
Moved 286.854 324.262 383.5793 -0.06204519 -0.02558249
Moved 286.8651 320.7158 384 -0.06820168 -0.02314797
Moved 286.8783 317.7524 384 -0.07334646 -0.02314797
Moved 286.8934 313.8752 384.5624 -0.08007775 -0.01989356
Moved 286.9095 309.9971 385 -0.08681062 -0.01736111
Moved 286.9255 305.6767 385 -0.09431134 -0.01736111
Moved 286.9412 302.356 386 -0.1000763 -0.01157407
Moved 286.9565 299.3571 386 -0.1052829 -0.01157407
Moved 286.9708 297 386 -0.109375 -0.01157407
Moved 286.9871 292.4986 387 -0.1171899 -0.005786949
Moved 287.0029 289.4654 388.2673 -0.1224559 0.001546807
Moved 287.0176 285.5764 388.7118 -0.1292077 0.004119078
Moved 287.0333 282.6961 389 -0.1342082 0.005787214
Moved 287.0488 280.8123 389 -0.1374786 0.005787214
Moved 287.0639 277.9356 390.0322 -0.1424729 0.01176066
Moved 287.0783 275.0549 390 -0.1474741 0.01157407
Moved 287.0964 274.4121 390 -0.14859 0.01157407
Moved 287.1108 271.9498 390 -0.152865 0.01157407
Moved 287.1255 270.5318 390 -0.1553267 0.01157407
Moved 287.1416 269.0942 390 -0.1578225 0.01157407
Moved 287.156 267.6544 390 -0.1603223 0.01157407
Moved 287.1709 266.2141 390 -0.1628227 0.01157407
Moved 287.1866 264.774 390 -0.1653229 0.01157407
Moved 287.2023 263.7687 390 -0.1670682 0.01157407
Moved 287.2186 262.2469 390 -0.1697102 0.01157407
Moved 287.2334 260.8101 390 -0.1722046 0.01157407
Moved 287.2485 259.3694 390 -0.1747059 0.01157407
Moved 287.2634 257.9292 390 -0.1772062 0.01157407
Stationary 287.2793 257.9292 390 -0.1772062 0.01157407
Moved 287.2968 256.0487 390 -0.1804709 0.01157407
Moved 287.3104 254.9337 390 -0.1824067 0.01157407
Moved 287.3258 253.4705 390 -0.184947 0.01157407
Moved 287.3412 252.0331 390 -0.1874425 0.01157407
Moved 287.3571 251.5 390 -0.188368 0.01157407
Moved 287.3734 250.1529 390 -0.1907068 0.01157407
Moved 287.3882 248.7127 390 -0.193207 0.01157407
Stationary 287.4027 248.7127 390 -0.193207 0.01157407
Moved 287.418 247.6271 390 -0.1950918 0.01157407
Stationary 287.4337 247.6271 390 -0.1950918 0.01157407
Stationary 287.4489 247.6271 390 -0.1950918 0.01157407
Stationary 287.4636 247.6271 390 -0.1950918 0.01157407
Stationary 287.4803 247.6271 390 -0.1950918 0.01157407
Moved 287.4964 248 391.0035 -0.1944444 0.0173816
Moved 287.5111 248 392.4696 -0.1944444 0.02586577
Moved 287.5273 258.6529 394.3264 -0.1759498 0.0366112
Moved 287.5426 266.8572 395.9796 -0.1617062 0.04617841
Moved 287.5585 276.9381 398.8395 -0.1442047 0.06272864
Moved 287.5734 288.6957 399.7101 -0.1237922 0.06776721
Moved 287.5885 301.7162 401.3018 -0.1011872 0.07697803
Moved 287.6109 331.9846 405.3608 -0.04863776 0.1004678
Stationary 287.6224 331.9846 405.3608 -0.04863776 0.1004678
Moved 287.6335 345 405 -0.02604168 0.09837972
Moved 287.6504 354.3737 405 -0.009767971 0.09837972
Moved 287.666 365.23 405 0.009079948 0.09837972
Moved 287.6808 377.0866 405 0.02966433 0.09837972
Moved 287.6978 390.2811 405 0.05257136 0.09837972
Moved 287.7129 400.1905 405 0.06977521 0.09837972
Moved 287.7281 415.1039 405 0.09566657 0.09837972
Moved 287.7427 425.4604 405 0.1136465 0.09837972
Moved 287.7591 436.2182 407.6436 0.1323234 0.1136784
Moved 287.7738 446.9651 410.7413 0.1509812 0.1316046
Moved 287.7892 457.1191 414.9082 0.1686096 0.1557189
Moved 287.8044 465.4673 417.4891 0.183103 0.1706547
Moved 287.8194 472.9747 419.1949 0.1961367 0.1805264
Moved 287.8338 478.417 421.6042 0.2055851 0.1944689
Moved 287.8527 482.8948 422.9649 0.213359 0.2023432
Moved 287.8658 486.225 425.15 0.2191406 0.2149886
Moved 287.8813 490.5 426.5 0.2265625 0.222801
Moved 287.8975 493.9506 427.9753 0.2325532 0.2313383
Moved 287.9132 498.2344 429.4115 0.2399903 0.2396499
Moved 287.9278 500.7057 430.8528 0.2442807 0.2479911
Moved 287.943 503.5787 432.2894 0.2492686 0.2563041
Moved 287.9578 506.4606 433.7303 0.2542718 0.2646429
Moved 287.974 509.6057 435.7371 0.2597321 0.2762565
Moved 287.989 513.833 438.5554 0.2670712 0.2925658
Moved 288.0051 517.4252 439.7126 0.2733077 0.299263
Moved 288.0199 521.4558 443.4558 0.2803052 0.3209248
Moved 288.0361 525.1749 445.1749 0.286762 0.3308736
Moved 288.052 528.0472 448.0472 0.2917486 0.3474953
Moved 288.0663 530.9113 449.4556 0.2967209 0.3556461
Moved 288.0823 532.6584 451.6584 0.2997541 0.3683936
Moved 288.0992 533.9683 452 0.3020282 0.3703704
Moved 288.1128 535.4084 453.4084 0.3045284 0.3785208
Moved 288.1274 536.5 454.5 0.3064236 0.384838
Moved 288.1426 537.1443 455.1443 0.3075422 0.3885668
Stationary 288.1583 537.1443 455.1443 0.3075422 0.3885668
Moved 288.173 538 456.172 0.3090278 0.3945138
